4|A||Abbreviation for ampere; adenine; alanine; alanyl.&#&As a subscript, refers to alveolar gas.&#&Symbol (usually capitalized italic, A) for absorbance.&#&Symbol for adenosine or adenylic acid in polynucleotides; alanine or alanyl in polypeptides.&#&First substrate in a multisubstrate enzyme-catalyzed reaction.
9|a||Symbol for specific absorption coefficient; abbreviation for absorptivity; activity.
8|a||Abbreviation for total acidity; ante; area; asymmetric; auris; artery; arteria [TA].&#&Symbol for atto-.&#&As a subscript, refers to systemic arterial blood.
7|A||Symbol for absorbance; affinity; Helmholtz energy.
9361|A bands||the dark-staining anisotropic cross striations in the myofibrils of muscle fibers, comprising regions of overlapping thick (myosin) and thin (actin) filaments.
10175|A bile||bile from the common duct.
15446|A cells||alpha cells of pancreas or of anterior lobe of hypophysis.
16420|A chain||the shorter polypeptide component of insulin containing 21 amino acyl residues, beginning with a glycyl residue (NH₂-terminus); insulin consists of an A chain linked to a B chain by two disulfide bonds; the amino-acid composition of the A chain is a function of species;&#&in general, one of the polypeptides in a multiprotein complex.
25153|A discs||
32822|A fibers||myelinated nerve fibers in somatic nerves, measuring 1–22 mcm in diameter, conducting nerve impulses at a rate of 6–120 meters per second.
99665|A wave||the initial negative deflection in the electroretinogram, presumably reflecting retinal photoreceptor activity;&#&an atrial deflection in an electrogram recorded from within the atrium of the heart;&#&the first positive deflection of the atrial and venous pulses due to atrial systole.
10|a-||Not, without, -less; equivalent to L. in- and E. un-.
45216|a-c interval||the interval between the onset of the a wave and that of the c wave of the jugular pulse.
23750|A-DNA||a form of DNA in which the helix is right handed and the overall appearance is short and broad.
3055|A-E amputation||acronym for above-the-elbow amputation.
3056|A-K amputation||acronym for above-the-knee amputation.
2934|A-mode|mōd|In diagnostic ultrasound, a one-dimensional presentation of a reflected sound wave in which echo amplitude (A) is displayed along the vertical axis and echo delay (depth) along the horizontal axis; the echo information derives from tissue interfaces along a single line in the direction of the sound beam.
5310|A-P-C||Abbreviation for adenoidal-pharyngeal-conjunctival; antigen-presenting cells, under cell.
98744|A-P-C virus||
30455|A-pattern esotropia||convergent strabismus greater in upward than in downward gaze.
31025|A-pattern exotropia||divergent strabismus greater in downward than in upward gaze.
85228|A-pattern strabismus||
85224|A-strabismus||strabismus in which esotropia is more marked in looking upward than downward;&#&strabismus in which exotropia is more marked on looking downward than upward.
8892|A-V shunt|shŭnt|arteriovenous shunt.
87698|A-V strabismus syndrome||strabismus in which the angle of deviation is more marked on looking upward or downward.
96676|A-V valves||abbreviation for the cardiac atrioventricular valves; the mitral and tricuspid valves.
72233|A.B.C. process||purification of water or deodorization of sewage by a mixture of alum, blood, and charcoal.
355|a.c.||Abbreviation for L. ante cibum, before a meal or ante cibos, before meals.
1027|A.D.||Abbreviation for auris dextra [L.], right ear.
7810|A.S.||Abbreviation for auris sinistra [L.], left ear.
8564|A.U.||Abbreviation for auris utraque [L.], each ear or both ears.
18236|A/T cloning||cloning of fragments in which the only overhanging (or uncomplemented) ends are the A or T bases; occurs often in use of specific enzymes to cut or make DNA fragments.
80570|A1 segment of anterior cerebral artery||
80571|A2 segment of anterior cerebral artery||
75911|A:G ratio||abbreviation for albumin:globulin ratio.
91117|A₂ thalassemia||β thalassemia, heterozygous state.
6|A−||Symbol for anion.
12|aa||Abbreviation for arteries [TA], arteriae [TA].
11|AA||Abbreviation for amino acid; aminoacyl.
3186|AA amyloidosis||
14|AAA||Older abbreviation for abdominal aortic aneurysm; commonly, procedure for surgical correction of an AAA.
25246|aaa disease||endemic anemia of ancient Egypt, ascribed in the Papyrus Ebers to intestinal infestation with ancylostoma; now called ancylostomiasis.
15|Aad||Abbreviation for α-aminoadipic acid.
16|Aagenaes|aj′ĕ-nēz|O., Norwegian physician.
87615|Aagenaes syndrome||an idiopathic form of familial intrahepatic cholestasis associated with lymphedema of the lower extremities.
17|AAMC||Abbreviation for Association of American Medical Colleges.
18|AAR||Abbreviation for antigen-antibody reaction.
19|Aaron|ar′on|Charles D., U.S. physician, 1866–1951.
81801|Aaron sign|ar′ŏn|in acute appendicitis, a referred pain or feeling of distress in the epigastrium or precordial region on continuous firm pressure over the McBurney point.
20|Aarskog|ahrs′kog|Dagfinn J., 20th-century Norwegian pediatrician.
87616|Aarskog-Scott syndrome|ahrs′kog-skot|
21|AASH||Abbreviation for adrenal androgen-stimulating hormone.
22|AAV||Abbreviation for adeno-associated virus.
24|Ab||Abbreviation for antibody.
23|AB||Abbreviation for abortion.
110|ab initio|ahb i-nish-ē-ō|From the beginning.
25|ab-||From, away from, off.&#&Prefix applied to electrical units in the CGS-electromagnetic system to distinguish them from units in the CGS-electrostatic system (prefix stat-) and those in the metric system or SI (no prefix).
29038|abacterial thrombotic endocarditis||
26|Abadie|ah-bah′dē|Joseph Louis Irénée Jean, French neurosurgeon, 1873–1946.
81802|Abadie sign of tabes dorsalis|ah-bah′dē|insensibility to pressure over the tendo achillis.
27|abampere|ab-am′pēr|Electromagnetic unit of current equal to 10 absolute amperes; a current that exerts a force of 2π dynes on a unit magnetic pole at the center of a circle of wire 1 cm in radius.
28|abapical|ă-bap′i-kăl|Opposite the apex.
70686|abapical pole||in an oocyte, the pole opposite the animal pole (vegetal pole).
29|abarognosis|ā-bar′og-nō′sis|Loss of ability to appreciate the weight of objects held in the hand, or to differentiate among objects of different weights. When the primary senses are intact, caused by a lesion of the contralateral parietal lobe.
30|abasia|ă-bā′zē-ă|Inability to walk.
32|abasia-astasia|ă-bā′zē-ă-ă-stā′zē-ă|
33|abasic|ă-bā′sik|Affected by, or associated with, abasia.&#&Refers to loss of pyrimidine sites in DNA.
34|abatement|ă-bāt′ment|A diminution or easing.&#&Reduction, ultimately elimination, of public-health nuisances such as smoke or loud noise.
36|abatic|ă-bat′ik|
37|abaxial|ab-ak′sē-ăl, -ak′sīl|Lying outside the axis of any body or part.&#&Situated at the opposite extremity of the axis of a part.
39|Abbé|ah-bā′|Ernst K., German physicist, 1840–1905.
19652|Abbé condenser|ah-bā′|a system of two or three wide-angle, achromatic, convex, and planoconvex lenses that may be moved upward or downward beneath the stage of a microscope, thereby regulating the concentration of light (directly from a bulb or reflected from a mirror) that passes through the material to be examined on the stage.
38|Abbe|ab′ē|Robert W., U.S. surgeon, 1851–1928.
33837|Abbe flap|ah-bĕ′|triangular wedge of the lower lip (usually midline) transferred into the upper lip and vascularized by the labial artery.
40|Abbott|ab′ŏt|Alexander C., U.S. bacteriologist, 1860–1935.
41|Abbott|ab′ŏt|W. Osler, U.S. physician, 1902–1943.
6931|Abbott artery|ab′ŏt|an anomalous artery arising from the posteromedial proximal descending aorta, important during coarctation repair.
84306|Abbott stain for spores|ab′ŏt|spores are stained blue with alkaline methylene blue; bodies of the bacilli become pink with eosin counterstain.
94364|Abbott tube|ab′ŏt|
48559|ABC leads||the leads for recording one kind of vectorcardiogram utilizing the Arrighi triangle; supplanted by XYZ leads.
72937|ABC transporter proteins||a superfamily of carrier proteins that bind two highly conserved ATP-binding cassettes and function in transporting peptides, sugars, polysaccharides, and ions across the cell membrane. Mutations in the gene that codes for one of these ABC transporter proteins is believed to be responsible for cystic fibrosis.
42|abcoulomb|ab-kū-lom′|A unit of electrical charge equal to 10 coulombs. The charge that passes over a given surface in 1 second if a current of 1 abampere is flowing across the surface.
43|abdomen|ab-dō′men, ab′dō-men|The part of the trunk that lies between the thorax and the pelvis. The abdomen does not include the vertebral region posteriorly but is considered by some anatomists to include the pelvis (abdominopelvic cavity). It includes the greater part of the abdominal cavity (cavitas abdominis [TA]) and is divided by arbitrary planes into nine regions.
47|abdomen obstipum||obsolete rarely used term for deformity of the abdomen due to congenitally short rectus muscles.
52|abdominal|ab-dom′i-năl|Relating to the abdomen.
3913|abdominal angina||intermittent abdominal pain, frequently occurring at a fixed time after eating, caused by inadequacy of the mesenteric circulation resulting from arteriosclerosis or other arterial disease.
5250|abdominal aorta||the part of the descending aorta that is distal (inferior) to the aortic hiatus of the diaphragm, which occurs at the T-12 vertebral level.
69773|abdominal aortic (nerve) plexus||an autonomic plexus surrounding the abdominal aorta, directly continuous with the thoracic aortic plexus superiorly and continuing inferiorly to the bifurcation of the aorta as the superior hypogastric plexus.
5601|abdominal apoplexy||mesenteric hemorrhage, thrombosis, or embolus involving the mesenteric or abdominal blood vessels.
8611|abdominal aura||epileptic aura characterized by abdominal discomfort, including nausea, malaise, pain, and hunger; some phenomena reflect ictal autonomic dysfunction.
9341|abdominal ballottement||palpation of the abdomen to detect excessive amounts of fluid (ascites) by causing organs to bob up and down in the fluid milieu.
13578|abdominal canal||
15259|abdominal cavity||
87617|abdominal compartment syndrome||a constellation consisting of cardiovascular, pulmonary, and renal compromise produced by increased intraabdominal pressure from bleeding (intraabdominal or retroperitoneal), ileus, peritonitis, or insufflation.
87618|abdominal cutaneous nerve entrapment syndrome||
26707|abdominal dropsy||
56575|abdominal external oblique (muscle)||
33172|abdominal fibromatosis||
33521|abdominal fissure||congenital failure of the ventral body wall to close.
33628|abdominal fistula||a fistulous passage connecting one of the abdominal viscera to the external surface.
38709|abdominal guarding||a spasm of abdominal wall muscles, detected on palpation, to protect inflamed abdominal viscera from pressure; usually a result of inflammation of the parietal peritoneal surface as in appendicitis, diverticulitis, or generalized peritonitis.
40513|abdominal hernia||a hernia protruding through or into any part of the abdominal wall.
43163|abdominal hysterectomy||removal of the uterus through an incision in the abdominal wall.
43203|abdominal hysteropexy||attachment of the uterus to the anterior abdominal wall.
43218|abdominal hysterotomy||transabdominal incision into the uterus.
56576|abdominal internal oblique muscle||
51699|abdominal lymph nodes (parietal and visceral)||the parietal and visceral lymph nodes of the abdomen, collectively.
55409|abdominal migraine||migraine in children accompanied by paroxysmal abdominal pain. This must be distinguished from similar symptoms requiring surgical attention.&#&a disorder that causes intermittent abdominal pain and is believed to be related to migraine; abdominal migraine has some of the features of migraine, there may be a strong family history of migraine headaches, and the condition may be relieved by sleep; however, a headache may not be present.  The diagnosis depends on excluding other causes of abdominal pain.
87619|abdominal muscle deficiency syndrome||congenital absence (partial or complete) of abdominal muscles, in which the outline of the intestines is visible through the protruding abdominal wall; in men, genitourinary anomalies (urinary tract dilation and cryptorchidism) are also found; genetics unclear.
58494|abdominal myomectomy||removal of a myoma of the uterus through an abdominal incision.
59145|abdominal nephrectomy||transperitoneal removal of the kidney by an incision through the anterior abdominal wall.
62021|abdominal obesity||
63896|abdominal ostium of uterine tube||the fimbriated or ovarian extremity of an oviduct.
64412|abdominal pad||
65768|abdominal part of descending aorta||
65769|abdominal part of esophagus||the portion of the esophagus from where it passes through the diaphragm to where it enters the stomach.
65770|abdominal part of pectoralis major (muscle)||portion of pectoralis major originating from the rectus sheath.
65771|abdominal part of peripheral autonomic plexuses and ganglia||portion of the autonomic nervous system (networks composed largely of autonomic nerve fibers—but also including visceral afferent fibers—and ganglia associated with blood vessels and organs) that occur both retro- and intraperitoneally in the abdominal cavity.
65772|abdominal part of thoracic duct||the part of the thoracic duct between the cisterna chyli and the aortic hiatus of the diaphragm.
65773|abdominal part of ureter||the part of the ureter between the renal pelvis and the brim of the pelvis.
71172|abdominal pool||the volume of blood within the abdomen.
71776|abdominal pregnancy||the implantation and development of the ovum in the peritoneal cavity, usually secondary to an early rupture of a tubal pregnancy; very rarely, primary implantation may occur in the peritoneal cavity. The blastocyst commonly implants in the rectouterine pouch of peritoneum.
71960|abdominal pressure||pressure surrounding the bladder; estimated from rectal, gastric, or intraperitoneal pressure.
73975|abdominal pulse||the soft, compressible aortic pulse occurring in certain abdominal disorders.
76654|abdominal reflexes||contraction of the muscles of the abdominal wall on stimulation of the skin (superficial a. reflexs) or tapping on neighboring bony structures (deep a. reflexes).
77115|abdominal regions||
77629|abdominal respiration||breathing effected mainly by the action of the diaphragm.
78682|abdominal ring||
79269|abdominal sac||the part of the embryonic celom that becomes the abdominal cavity.
79464|abdominal salpingectomy||removal of one or both uterine tubes through an abdominal incision.
79497|abdominal salpingotomy||incision into the uterine tube through an opening in the abdominal wall.
80520|abdominal section||
90946|abdominal testis||an undescended testis that has never descended from the retroperineal/abdominal origin through the internal inguinal ring.
95294|abdominal typhoid||
100457|abdominal zones||
53|abdomino-|ab-dom′i-nō|Combining form indicating the abdomen, abdominal.
76655|abdominocardiac reflex||mechanical stimulation (usually distention) of abdominal viscera causing changes (usually a slowing) in the heart rate or the occurrence of extrasystoles.
54|abdominocentesis|ab-dom′i-nō-sen-tē′sis|Paracentesis of the abdomen.
55|abdominocyesis|ab-dom′i-nō-sī-ē′sis|
56|abdominocystic|ab-dom′i-nō-sis′tik|
57|abdominogenital|ab-dom′i-nō-gen′i-tăl|Relating to the abdomen and the genital organs.
58|abdominohysterectomy|ab-dom′i-nō-his-ter-ek′tō-mē|
59|abdominohysterotomy|ab-dom′i-nō-his-ter-ot′ō-mē|
76997|abdominojugular reflux||
60|abdominopelvic|ab-dom′i-nō-pel′vik|Relating to the abdomen and pelvis, especially the combined abdominal and pelvic cavities.
15260|abdominopelvic cavity||the combined and continuous abdominal and pelvic cavities.
59276|abdominopelvic splanchnic nerves||visceral branches of the sympathetic trunks conveying presynaptic sympathetic fibers to and visceral afferent fibers from the prevertebral ganglia and paraaortic/hypogastric plexuses for the innervation of viscera located below the diaphragm. The greater, lesser, lowest, lumbar, and sacral splanchnic nerves belong to this group.
61|abdominoperineal|ab-dom′i-nō-per-i-nē′ăl|Relating to both abdomen and perineum, as in abdominoperineal resection of the rectum.
77501|abdominoperineal resection (APR)||a surgical cancer treatment involving resection of the lower sigmoid colon, rectum, anus, and surrounding skin and formation of a sigmoid colostomy; performed as a synchronous or sequential transabdominal and perineal procedure.
62|abdominoplasty|ab-dom′i-nō-plas-tē|An operation performed on the abdominal wall for cosmetic purposes.
63|abdominoscopy|ab-dom-i-nos′kŏ-pē|
64|abdominoscrotal|ab-dom′i-nō-skrō′tăl|Relating to the abdomen and the scrotum.
65|abdominothoracic|ab-dom′i-nō-thō-ras′ik|Relating to both the abdomen and the thorax.
5949|abdominothoracic arch||a bell-shaped line defined by the lower end of the sternum and the costal arches on each side, constituting a boundary line between the anterolateral portions of the thoracic and abdominal walls.
66|abdominovaginal|ab-dom′i-nō-vaj′i-năl|Relating to both the abdomen and the vagina.
43164|abdominovaginal hysterectomy||a combined vaginal and abdominal surgical dissection that allows partial or complete removal of vagina, vulva, rectum, and perineum (abdominoperineal approach) as well as pelvic organs; usually done in cases of advanced pelvic cancer.
