15489|B lymphocyte
51896|B cell2
98755|cercopithecrine herpesvirus
31636|interleukin-4
31638|interleukin-6
31634|carnitine
9069|piroplasmosis
67907|Babinski sign1
76681|Babinski sign1
81811|Babinski phenomenon
81811|Babinski reflex
81811|great-toe reflex
81811|paradoxic extensor reflex
81811|toe phenomenon
87701|nursing bottle caries
92534|deciduous tooth
81812|aphonic pectoriloquy
48286|layer of rods and cones
9084|Calmette-Guérin bacillus
92744|anthrax toxin
96396|BCG vaccine
9100|Johne disease
9104|grass bacillus
9104|hay bacillus
58060|reverse mutation
76682|Mendel instep reflex
9164|genu recurvatum
9158|vertebral column
9159|testcross
9165|apical lordotic projection
21971|posterior curvature
9169|bacteriemia
28816|encephalitis pyogenica
28816|purulent encephalitis
28816|suppurative encephalitis
69407|dental plaque2
69407|mucous plaque
69407|mucinous plaque
96578|Gardnerella vaginitis
96578|nonspecific vaginitis
9177|bacteriocidal
9178|bacteriocide
9181|bacteremia
9186|bactericidal
9187|bactericide
31635|bacteriocinogenic plasmids
31635|under plasmid
69447|bacteriocin factors
69447|bacteriocinogens
9190|bacteriocinogenic plasmids
9190|under plasmid
9205|phage
9214|protobiology
9222|bacteriostatic agent
1665|bacteriostat
9234|Johne disease
9243|Prevotella disiens
9247|Prevotella melaninogenica
9248|Dichelobacter nodosus
9252|Tissierella praeacuta
48930|Lohlein-Baehr lesion
25276|cheilitis glandularis
98074|manual ventilation
9367|Baillarger lines
9367|under line
50338|stria laminae granularis internae
50338|stria laminae pyramidalis internae
50338|Baillarger bands
27882|baker's itch
46065|baker's eczema
82653|sodium bicarbonate
7743|balanced occlusion
10501|balanced occlusion
62104|balanced articulation
62104|balanced bite
20040|balancing occlusal surface
86877|balancing contact
43034|glanular hypospadias
9298|plasma cell balanitis
27220|balantidiasis
9306|balantidial dysentery
9306|balantidosis
9310|balantidiasis
9311|glans penis
25277|encephalitis periaxialis concentrica
92434|atrophic glossitis
92434|atrophic glossitis
9314|alopecia
9790|Balkan frame
35425|Balkan beam
35425|Balkan splint
59214|danubian endemic familial nephropathy
83987|Balkan frame
46300|articulatio spheroidea
46300|enarthrosis
46300|spheroidal joint
46300|articulatio cotylica
46300|cotyloid joint
