13148|C||Abbreviation or symbol for large calorie; carbon; cathodal; cathode; cervical vertebra (C1–C7); closure (of an electrical circuit); congius (gallon); contraction; coulomb; curie; cylinder; cylindric lens; cytidine; cysteine; cytosine; component of complement (C1–C9); third substrate in a multisubstrate enzyme-catalyzed reaction.&#&When followed by subscript letters, Ciₙ, indicates renal clearance of a substance (inulin). When followed by subscript numbers, C₁₉, indicates the number of carbon atoms in a molecule, 19.
13149|c||Abbreviation or symbol for centi-; small calorie; centum; concentration; speed of light in a vacuum; circumference; curie.&#&As a subscript, refers to blood capillary.
10177|C bile||bile from the hepatic duct.
4843|C carbohydrate antigen||an antigen found in the cell wall of Streptococcus species and denoting different strains.
15519|C cell||a cell of the pancreatic islets of the guinea pig;&#&calcitonin-secreting round or spindle shaped follicular thyroid cell; ultrastructurally contains numerous 60–550 nm neuroendocrine granules; best identified immunohistochemically with antibodies to calcitonin.
16423|C chain||
31643|C factors||
32841|C fibers||unmyelinated fibers, 0.4–1.2 mcm in diameter, conducting nerve impulses at a velocity of 0.7–2.3 m/sec.
36615|C gene||the gene coding for the constant regions of immunoglobulin chains.
98781|C group viruses||a serologic group of the genus Bunyavirus (formerly called group C arboviruses), composed of about 14 species including Caraparu, Murutucu, and Oriboca virus.
17950|c kit||
90313|C terminus||the end of a peptide or protein having a free carboxyl (—COOH) group.
96646|C value||the total amount of DNA in a haploid genome.
99673|C wave||a monophasic positive deflection in the electroretinogram arising in the pigment epithelium of the retina.&#&wave in the venous and atrial pulses occurring during isovolumic ventricular contraction in which the closed atrioventricular valves (mitral and tricuspid) are abruptly displaced into the atria with creation of a pressure transient.
15363|C-banding||
84330|C-banding stain||a selective chromosome banding stain used in human cytogenetics, employing Giemsa stain after most of the DNA is denatured or extracted by treatment with alkali, acid, salt, or heat; only heterochromatic regions close to the centromeres and rich in satellite DNA stain, except for the Y chromosome its long arm usually stains throughout.
18488|c-mp1||A cell-surface receptor on megakaryocytes, platelets, and CD34-positive hematopoietic precursor cells; appears to be the receptor for regulation of megakaryocytopoiesis and platelet production.
50188|c-Mpl ligand||humoral compound that affects blood platelet production by stimulating megakaryocytes.
21027|C-peptide|pep′tiīd|The 30-amino-acid chain that connects the A and B chains of insulin in proinsulin; removed in the conversion of proinsulin to insulin.
72967|C-reactive protein (CRP)||a β-globulin found in the serum of various people with certain inflammatory, degenerative, and neoplastic diseases; although the protein is not a specific antibody, it precipitates in vitro the C polysaccharide present in all types of pneumococci.
21758|C-section|sek′shŭn|
15371|C.C.||Abbreviation for chief complaint, as recorded on a patient's medical history.
18472|C.M.||Abbreviation for Chirurgiae Magister, Master in Surgery, in the U.K.
21023|c.p.||Abbreviation for chemically pure.
18507|c/o||Abbreviation for complains of.
30486|C1 esterase||subunit of the first component of complement (C1) involved in the activation of the classical pathway.
44642|C1 esterase inhibitor||an α₂-neuraminoglycoprotein that inhibits the enzymatic activity of C1 esterase, the activated first component of complement. A deficiency of this inhibitor results in a lack of inhibition of C1r and C1s leading to uncontrolled activation of the complement cascade and angioedema.
13156|Ca||Abbreviation for cathode.&#&Symbol for calcium.
13154|CA||Abbreviation for cancer; carcinoma; cardiac arrest; chronologic age; cytosine arabinoside.
98773|CA virus||abbreviation for croup-associated virus.
13155|CA-125||Abbreviation for cancer antigen 125 and the test for it.
4837|CA-125 antigen||tumor marker elevated in 85% of women with advanced ovarian cancer.
4838|CA-15-3 antigen||antigen present in some patients with breast cancer.
4839|CA-19-9 antigen||tumor antigen present in cholangiocarcinomas and pancreatic carcinomas.
13159|ca.||Abbreviation for L. circa (about, approximately).
13160|caapi|ka′pē|A hallucinogenic preparation obtained from Banisteria caapi (family Malpighaceae), a South American jungle vine; contains harmine and other psychotomimetic principles.
