4843|β-hemolytic streptococci
4843|under streptococcus
15363|C-banding stain
21758|cesarean section
13155|cancer antigen 125 test
13163|Cabot ring bodies
13163|under body
13163|Cabot-Locke murmur
13165|caco-
13168|De Sanctis-Cacchione syndrome
13191|dysosmia
61364|locus caeruleus
13214|Caffey disease
13214|Caffey syndrome
13214|Caffey-Kempe syndrome
13214|Caffey-Silverman syndrome
87772|battered child syndrome
81718|decompression sickness
13217|Cajal cell
13217|horizontal cell of Cajal
13217|Cajal astrocyte stain
13217|interstitial nucleus of Cajal
13237|talipes calcaneovalgus
13238|talipes calcaneovarus
13275|metastatic calcification
13277|metastatic calcification
13326|leucovorin calcium
81844|aortic dissection
13405|Caldani ligament
13408|Caldwell-Moloy classification
13407|Caldwell-Luc operation
13409|Caldwell projection
13409|Caldwell view
13423|hepatitis E virus
13423|Norwalk agent
13441|Calkins sign
13442|Call-Exner bodies
13442|under body
13444|Callahan method
13445|Callander amputation
13446|islands of Calleja
13446|under island
13448|Callison fluid
13466|bacille Calmette-Guérin
13466|bacillus Calmette-Guérin vaccine
13466|Calmette test
13466|Calmette-Guérin bacillus
13466|Calmette-Guérin vaccine
13472|Calori bursa
13492|Calot triangle
13503|Calvé-Perthes disease
13503|Legg-Calvé-Perthes disease
31644|CAMP test
13538|Campbell ligament
13537|Williams-Campbell syndrome
13539|Campbell sound
13540|Camper chiasm
13540|fatty layer of subcutaneous tissue of abdomen
13540|Camper ligament
13540|Camper line
13540|Camper plane
13558|camptomelic syndrome
13575|Cronkhite-Canada syndrome
13681|processus vaginalis of peritoneum
13817|semicircular canals (of bony labyrinth)
13817|under canal
13814|semicircular canals (of bony labyrinth)
13814|under canal
13815|semicircular canals (of bony labyrinth)
13815|under canal
13827|Canavan disease
13827|Canavan sclerosis
13827|Canavan-van Bogaert-Bertrand disease
86228|sucrose
13887|aphtha
13894|Cannizzaro reaction
13895|Cannon ring
13895|Cannon theory
13895|Cannon-Bard theory
13895|Bernard-Cannon homeostasis
81846|doll's eye sign
13922|Cantor tube
13965|Capgras phenomenon
13965|Capgras syndrome
98496|blood capillary
98496|lymph capillary
13998|Caplan nodules
13998|under nodule
13998|Caplan syndrome
14008|Capps reflex
14026|virion
14111|Capuron points
14111|under point
14123|humeral head
14124|humeral head
14131|lateral head
14132|lateral head
14134|long head
14135|long head
14136|long head
14140|medial head
14141|medial head
14142|medial head
14146|oblique head
14147|oblique head
14154|medial head
14166|transverse head
14167|transverse head
14170|ulnar head
14171|ulnar head
14172|ulnar head
14175|cusp of Carabelli
14175|Carabelli tubercle
14207|carbonium
14213|carb-
14215|carbonium
14218|saccharide
35658|Ziehl stain
14255|carboxamide
90300|C terminus
14275|serine carboxypeptidase
14291|carcinoid tumor
14291|carcinoid syndrome
14417|Carden amputation
14419|cardio-
6382|cardiac dysrhythmia
40833|dextrocardia
92214|cardiac muscle
72890|valve2
97163|anterior cardiac veins
97163|great cardiac vein
97163|middle cardiac vein
97163|smallest cardiac veins
14429|ectopia cordis
14439|HACEK group
14595|Carlen tube
14597|Carman sign
14605|Carmody-Batson operation
14610|Carnett sign
14611|Carney complex
14624|Carnoy fixative
14628|Caroli disease
7015|common carotid artery
7015|external carotid artery
7015|internal carotid artery
