15558|delta cell of pancreas
29555|4-α-d-glucanotransferase
51303|displacement loop
21948|high-frequency current
67928|Twort-d'Herelle phenomenon
2835|ampicillin
40475|sedoheptulose
29884|quinovose
35976|pectic acid
37678|cellohexose
37688|Cori ester
37689|Robison ester
37689|Robison-Embden ester
37712|glucurone
37865|glycogenetic
52650|manna sugar
52650|mannite
90487|Doerfler-Stewart test
82938|ketose reductase
25403|epidemic pleurodynia
94856|papillary intralymphatic angioendothelioma
22773|dacryoadenitis
22775|dacryadenitis
22777|dacryocystocele
22778|lacrimal sac
22782|dacryocele
22787|lacrimal calculus
22787|ophthalmolith
22787|tear stone
22796|actinomycin D
22797|digit
22799|dactylodynia
22807|dactylalgia
22809|cheirology
22809|chirology
22810|megadactyly
22813|digit
22820|inulin
22821|podolite
50368|accretion lines
34105|Dakin solution
82792|Dakin fluid
93467|Carrel treatment
48162|law of partial pressures
22842|deoxyadenosine methylase
72188|Damus-Stancel-Kaye anastomosis
3433|Damus-Kaye-Stancel procedure
62799|posterior rhizotomy
52455|ballerina-foot pattern
17258|procursive chorea
22854|pityriasis capitis
22854|scurf
22854|seborrhea sicca2
32614|dengue
25404|anesthetic leprosy
25405|anesthetic leprosy
59215|Balkan nephropathy
60194|motor dapsone neuropathy
25406|keratosis follicularis
1043|scotopic adaptation
31265|scotopic eye
43524|dark-ground illumination
43525|dark-field illumination
25407|histoplasmosis
22869|Johne disease
31983|tunica dartos
31983|superficial fascia of scrotum
31983|membrana carnosa
31983|tunica carnea
56682|musculus dartos
94494|auricular tubercle
32615|dengue
22885|Jamestown weed
22885|jimson weed
22885|stink weed
22885|thorn apple
22886|duboisine
4139|occipital angle of parietal bone2
84639|polar star
15561|Paneth granular cells
25408|endomyocardial fibrosis
28820|subacute sclerosing panencephalitis
10713|hemeralopia
81777|nyctalopia
10942|Döhle inclusions
10942|leukocyte inclusions
44052|Döhle bodies
44052|under body
87889|Amsterdam syndrome
87889|Cornelia de Lange syndrome
84116|senile hemangioma
87891|septooptic dysplasia
81880|Musset (de Musset) sign
25419|radial styloid tendovaginitis
91990|subacute granulomatous thyroiditis
33415|acroasphyxia
73920|necrotic pulp
1620|Amanita phalloides
60478|belladonna
22922|O-diethylaminoethyl cellulose
22937|amidohydrolases
22939|desamidize
29556|amidohydrolases
22941|deaminating enzymes
29557|deaminases
22946|mors
44863|aggressive instinct
66242|cell-death pathway
75865|crude death rate
75865|lethality rate
75865|mortality rate
75865|mortality2
34735|magic forceps
23193|brancher glycogen storage disease
24254|glycogenosis type 3
29558|debranching factors
31660|debranching enzymes
31660|under enzyme
87884|Kocher-Debré-Sémélaigne syndrome
22995|caprin
26448|dopamine
23010|putrefaction
19980|disintegration constant
19980|radioactive constant
19980|transformation constant
71492|extensor response
78647|decerebrate state
84682|decerebrate rigidity
23021|dechlorination
23021|dechloruration
23022|dechloridation
23023|dechloridation
23028|decidua serotina
23029|decidua reflexa
23029|membrana adventitia2
23032|decidua vera
23034|decidua capsularis
23035|decidua basalis
23037|decidua parietalis
23042|placentoma
23664|deciduous tooth
53890|caduca
53890|Hunter membrane
53890|membrana decidua
82455|keratolysis2
92547|dens deciduus
92547|baby tooth
92547|deciduous dentition
92547|dens lacteus
92547|first dentition
92547|milk tooth
92547|primary dentition
92547|primary tooth
92547|temporary tooth
67924|declamping shock
81562|declamping phenomenon
23053|onychectomy
23056|declivis
23056|lobulus clivi
23057|declive
23058|apozem
23058|apozema
23063|putrefaction
25409|decompression sickness
81723|caisson disease
81723|decompression disease
81723|diver's palsy
23078|decongestive
23079|decongestant1
71493|flexor response
78648|decorticate state
84683|decorticate rigidity
36276|decubitus ulcer
33344|right or left lateral decubitus film
74915|lateral decubitus radiograph
95410|bedsore
