68993|pilus2
31909|Fañanás cell
31312|Fab fragment
31311|FAB classification
31314|Faber anemia
31314|Faber syndrome
31318|bursa fabricii
31319|Fabry disease
71934|cephalic presentation
24767|facilitated transport
31633|complement pathways
31659|complement pathways
31700|thromboplastin
31846|Faget sign
31847|Fahr disease
31848|Fahraeus-Lindqvist effect
31849|Fahrenheit scale
31882|pentalogy of Fallot
31882|Fallot tetrad
31882|Fallot triad
31882|trilogy of Fallot
31886|Munchausen syndrome
42417|familial hyperlipoproteinemia
42236|familial hyperlipoproteinemia type II
100145|familial hyperlipoproteinemia type II
42257|familial hyperlipoproteinemia type II
42428|familial hyperlipoproteinemia type I
42428|familial hyperlipoproteinemia type II
42428|familial hyperlipoproteinemia type III
42428|familial hyperlipoproteinemia type IV
42428|familial hyperlipoproteinemia type V
65089|hyperkalemic periodic paralysis
65089|hypokalemic periodic paralysis
65089|normokalemic periodic paralysis
31910|Fanconi anemia
31910|Fanconi pancytopenia
31910|Fanconi syndrome
31916|Farabeuf amputation
31916|Farabeuf triangle
31918|farad
31918|faraday
31918|Faraday constant
31918|Faraday laws
31918|under law
19988|faraday
31927|Farber disease
31927|Farber syndrome
31940|Farnsworth-Munsell color test
31941|Farr laws
31941|under law
31942|fluid
31943|Farre line
76370|Fas
32233|occipitofrontal fasciculus
32234|occipitofrontal fasciculus
32235|occipitofrontal fasciculus
32245|fasciculi proprii
32246|fasciculi proprii
32256|semilunar fasciculus
92943|fastigiospinal fibers
92943|under fiber
86232|glucose tolerance test
32316|fast
28503|bone marrow embolism
64414|fat-pad
32366|Gamna-Favre bodies
32366|under body
32366|Nicolas-Favre disease
32366|Favre-Durand-Nicolas disease
32366|Goldmann-Favre syndrome
32366|Favre dystrophy
34942|Förster uveitis
32370|Fc fragment
32398|Weber-Fechner law
32398|Fechner-Weber law
32404|Riga-Fede disease
32405|biofeedback
89290|feedback
32417|Feer disease
32419|Fehling reagent
32419|Fehling solution
32420|Klippel-Feil syndrome
32421|Feiss line
32423|Dale-Feldberg law
32424|Sabin-Feldman dye test
32429|Weil-Felix reaction
32429|Weil-Felix test
32433|silhouette sign of Felson
32434|neuropil
32435|Felty syndrome
32449|cutaneous pseudolymphoma
32449|Spiegler-Fendt sarcoid
32462|Fenn effect
32464|Fenton reaction
32466|Fenwick-Hunner ulcer
32468|Ferguson reflex
32469|Fergusson incision
32479|fermium
32481|reaction
32482|Fernbach flask
32485|Ferrein canal
32485|Ferrein cords
32485|under cord
32485|Ferrein foramen
32485|Ferrein ligament
32485|Ferrein pyramid
32485|Ferrein tube
32485|Ferrein vasa aberrantia
32485|under vas
32485|processus ferreini
20360|vocal fold
32516|Ferry-Porter law
92425|fetal heart rate
32562|Feulgen cytometry
76123|Feulgen stain
91350|pyrotherapy
32817|5
32817|6
32817|7
32817|8-tetrahydrofolate dehydrogenase
32817|tetrahydrofolate methyltransferase
32999|fibro-
33003|external arcuate fibers
33003|under fiber
33004|external arcuate fibers
33004|under fiber
33035|longitudinal pontine fasciculi
33035|under fasciculus
66959|pericardium
81417|fibrous tendon sheath
81417|fibrous sheaths of digits of hand
81417|fibrous sheaths of toes
93923|right fibrous trigone (of heart)
93923|left fibrous trigone (of heart)
95641|nonunion
100132|fibroxanthoma
33249|Fick method
33249|Fick principle
33254|Fiedler myocarditis
33275|stain
33274|Fielding membrane
33277|Fiessinger-Leroy-Reiter syndrome
76124|fight or flight response
33325|Filaria
33327|Filatov flap
33327|Filatov-Gillies flap
33326|Filatov disease
33334|filial generation
33359|Adair-Koshland-Némethy-Filmer model
33359|Koshland-Némethy-Filmer model
33365|Ebola virus
33407|Finckh test
33446|nail
33451|Fink-Heimer stain
33452|Warthin-Finkeldey cells
33452|under cell
33453|Finney operation
33453|Finney pyloroplasty
