1739|flagellar agglutinin
22004|characteristic curve
9378|H disc
9378|Hensen disc
9378|Hensen line
39342|heavy chain
25174|H band
36642|histocompatibility gene
38201|H shunt
81616|H graft
86025|released substance
33676|H-type tracheoesophageal fistula
33677|H-type fistula
98871|hemadsorption virus type 1
98872|hemadsorption virus type 2
38964|habenula2
38966|frenulum
38966|habena3
38969|foramina nervosa
38969|under foramen
19271|commissura habenularum
61471|ganglion habenulae
86364|sulcus habenularis
93926|trigonum habenulae
93926|trigone of habenula
92952|retroflex fasciculus
17263|tic
83228|tic
148|recurrent abortion
91247|gastrea theory
48188|recapitulation theory
38992|blood
39002|Mycoplasma haemofelis
39005|rodent mite
39009|Actinobacillus actinomycetemcomitans
39010|Koch-Weeks bacillus
39012|Ducrey bacillus
39014|influenza bacillus
39014|Weeks bacillus
96407|Hib vaccine
31691|factor XII
23251|Haglund disease
25527|Haglund deformity
25528|benign familial chronic pemphigus
39036|pilus1
14879|pseudonit
21485|cruces pilorum
34408|folliculus pili
64838|papilla pili
78918|radix pili
81375|scapus pili
85398|flumina pilorum
99885|vortices pilorum
35331|capillary fracture
98502|corkscrew vessels
39047|scalp hair
39065|vibrissa
39069|pilar
39069|pilary
39069|pilose
39522|fibrinous pericarditis
55722|nevus pilosus
92449|glossotrichia
92449|trichoglossia
10969|trachoma bodies
98609|Towne projection
72634|Towne projection
83329|clerical spectacles
83329|pantoscopic spectacles
83329|pulpit spectacles
39083|lunule of nail
39090|halosteresis
39093|fetor oris
39093|ozostomia
39093|stomatodysodia
4527|communicating branch of facial nerve with glossopharyngeal nerve
5213|Haller insula
17721|vascular circle of optic nerve
17721|areolar venous plexus
19750|lobules of epididymis
19750|under lobule
38968|Scarpa habenula
44920|Haller anulus
50395|linea splendens
77790|rete testis
94055|celiac (arterial) trunk
95017|vascular layer of eyeball
95608|calcarine spur
96930|inferior aberrant ductule
92232|vascular lamina of choroid
88055|dyscephalia mandibulooculofacialis
88056|dyscephalia mandibulooculofacialis
88057|Hallervorden-Spatz syndrome
25529|Hallervorden-Spatz syndrome
88058|Hallervorden syndrome
88058|Hallervorden-Spatz disease
88058|status dysmyelinisatus
39100|great toe [I]
25530|pemphigus vegetans2
39123|psychedelic drug
39123|psychodysleptic drug
39123|psycholytic drug
39123|psychotomimetic drug
39125|psychedelic
39128|great toe [I]
39129|great toe [I]
39130|painful toe
39132|hallux malleus
39133|hallux flexus
39134|stiff toe
39137|areola4
60387|leukoderma acquisitum centrifugum
60387|Sutton nevus
39149|halisteresis
9749|Tactual Performance Test
39155|popliteal fossa
90554|acidified serum test
39157|witch hazel
11239|hamatum
11239|hooked bone
11239|os hamatum
11239|unciform bone
11239|unciforme
11239|uncinatum
39168|hamate (bone)
67954|chloride shift
34889|Hamilton-Stewart method
54807|Hamilton-Stewart formula
54807|indicator dilution method
54807|Stewart-Hamilton method
25531|Hamman syndrome
88060|Hamman disease
88061|idiopathic pulmonary fibrosis
39173|malleus
33420|mallet finger
61078|rhinophyma
25532|athetosis
61155|groove of pterygoid hamulus
72279|lacrimal hamulus
72280|pterygoid hamulus
39180|hook2
39181|hamulus of spiral lamina
39183|lacrimal hamulus
39184|hamulus of spiral lamina
39188|hamulus laminae spiralis
39188|hamulus cochleae
39188|hook of spiral lamina
39185|hook of hamate
39187|pterygoid hamulus
39191|manus
39191|main
88062|vibration syndrome
75987|digital rays of hand
75987|radii manus
88063|sickle cell dactylitis
25533|hand-foot-and-mouth syndrome
88065|hand-foot-and-mouth disease
25534|Christian disease1
25534|Christian syndrome
25534|normal cholesteremic xanthomatosis
25534|Schüller disease
25534|Schüller syndrome
39212|manubrium mallei
88066|micrognathia with peromelia
88066|peromellia
17829|primary biliary cirrhosis
9124|Mycobacterium leprae
25535|leprosy
39226|eggshell nail
39227|Pitres sign1
39232|monoploid
39240|incomplete antigen
39240|partial antigen
25536|Harada syndrome
88069|Harada disease
88069|uveoencephalitis
88069|uveomeningitis syndrome
14990|nuclear cataract
16489|chancre
64482|palatum durum
64891|papilloma durum
65010|paraffin2
73995|pulsus durus
82620|Castile soap
82948|chancre
95423|chancre
