38957|H||Symbol for enthalpy, heat content, in the equation for free energy; fluence; magnetic field strength.
38955|H||Abbreviation or symbol for hydrogen (a superscript number preceeding indicates the isotope); hyperopia; hyperopic; horizontal; Hauch; Holzknecht unit; henry, unit of electrical inductance; the Fraunhofer line at λ 3968 due to calcium; histidine; magnetic field strength; heroin; histone; histamine.
38960|h||Symbol for Planck constant; Hill coefficient.
38958|h||Symbol for hecto-; height; hour.
1739|H agglutinin||an agglutinin that is formed as the result of stimulation by, and which reacts with, the thermolabile antigen(s) in the flagella of motile strains of microorganisms;
22004|H and D curve||
4872|H antigen||the antigen in the flagella of motile bacteria; important in serologic classification of enteric bacteria.&#&the chemical precursor of antigens of the ABO blood group locus.
9378|H band||the paler area in the center of the A band of a striated muscle fiber, comprising the central portion of thick (myosin) filaments that are not overlapped by thin (actin) filaments.
39342|H chain||
19038|H colony||a colony of motile organisms forming a thin film of growth.
25174|H disc||
33262|H fields||
36642|H gene||
38201|H graft||
75986|H rays||a stream of hydrogen nuclei; protons.
76787|H reflex||a monosynaptic reflex consistently obtained in normal adults only by electrically stimulating the tibial nerve, generally in the popliteal fossa, while recording from the gastrocnemius-soleus muscle group; similar to the clinically elicited Achilles reflex, except that the neuromuscular spindles are bypassed. Widely used in the EMG laboratory to diagnose S1 radiculopathies and polyneuropathies.
81616|H shunt||a side-to-side shunt between adjacent vessels that uses a connecting conduit; this shunt is most commonly placed between the superior mesentary vein and the inferior vena cava in patients with portal hypertension.
86025|H substance||designation given by Thomas Lewis to a diffusible substance in skin, indistinguishable in action from histamine, liberated by injury and causes the triple response.
4873|H-2 antigens||antigens that are coded by the H-2 complex of genes in mice and are involved in self/nonself recognition. H-2 antigen system is analogous to HLA.
19426|H-2 complex||term that denotes genes of the major histocompatibility complex in the mouse.
33251|H-ficolin||also known as Hakata antigen or ficolin3, structurally resembles mannose-binding lectin (MBL). The polypeptide chains have a N-terminal region, a collagenlike domain and a globular region, which is fibrinogenlike. H-ficolin is a plasma protein generated in the liver. H-ficolin can form oligomers and is capable of activating complement.
