46132|J||Symbol for coupling constant.
46131|J||Symbol for joule; Joule equivalent; electric current density.
16428|J chain||a glycopeptide, cysteine-rich polypeptide that is bonded to polymeric IgA and IgM; its function is to ensure correct polymerization of the subunits of IgA and IgM and to be secreted externally.
70584|J point||the point marking the end of the QRS complex and the beginning of the S or T wave in the electrocardiogram.
19434|j-g complex||
23254|J-sella deformity||pear-shaped or J-shaped deformity of sella turcica caused by increased pressure on growing sphenoid bone; noted in the mucopolysaccharide storage diseases.
46133|Jaborandi|jha′bō-rahn′dē|
46134|Jaboulay|zhah′bū-lā′|Mathieu, French surgeon, 1860–1913.
3094|Jaboulay amputation|zhah′bū-lā′|
74351|Jaboulay pyloroplasty|zhah′bū-lā′|a side-to-side gastroduodenostomy, useful when the pylorus and proximal duodenum are extensively scarred or indurated by peptic ulcer disease.
46135|Jaccoud|zhah-kū′|François Sigismond, French physician, 1830–1913.
7562|Jaccoud arthritis|zhah-kū′|a rare form of chronic arthritis, reported to occur after attacks of acute rheumatic fever, characterized by an unusual form of bone erosion of the metacarpal heads and by ulnar deviation of the fingers; it resembles rheumatoid arthritis but with less overt inflammation, and rheumatoid factor is absent.
7616|Jaccoud arthropathy|zhah-kū′|
46136|jack||
4549|jack jumper ant||
83300|jack spavin||
46137|jacket|jak′et|A fixed bandage applied around the body to immobilize the spine.&#&In dentistry, a term commonly used in reference to an artificial crown composed of fired porcelain or acrylic resin.
21533|jacket crown||a hollow crown of acrylic resin, fused porcelain or cast gold, combinations of gold and acrylic or gold and porcelain; it fits over the prepared stump of the natural crown.
46139|jackscrew|jak′skrū|A threaded device used in appliances for the separation of approximated teeth or jaws.
46141|Jackson|jak′sŏn|Jabez N., U.S. surgeon, 1868–1935.
46140|Jackson|jak′sŏn|John Hughlings, English neurologist, 1835–1911.
48203|Jackson law|jak′sŏn|loss of mental functions due to disease retraces in reverse order its evolutionary development.
53931|Jackson membrane|jak′sŏn|
79175|Jackson rule|jak′sŏn|after an epileptic attack, simple and quasiautomatic functions are less affected and more rapidly recovered than the more complex ones.
81949|Jackson sign|jak′sŏn|during quiet respiration the movement of the paralyzed side of the chest may be greater than that of the opposite side, whereas in forced respiration the paralyzed side moves less than the other.
97094|Jackson veil|jak′sŏn|
46142|jacksonian|jak-sō′nē-ăn|Described by John Hughlings Jackson.
29788|jacksonian epilepsy||
80744|jacksonian seizure|jak-sō′nē-ăn|a motor seizure that initially involves one part of the body and then progressively spreads to other parts of the body on the same side; may become generalized; often originates in or near the contralateral rolandic neocortex.
46143|Jacobaeus|yah′kō-bā′ŭs|Hans C., Swedish surgeon, 1879–1937.
62836|Jacobaeus operation|yah′kō-bā′ŭs|obsolete term for pleurolysis.
46144|Jacobson|jā′kob-sŏn|Ludwig L., Danish anatomist, 1783–1843.
13662|Jacobson canal|yah′kōb-sŏn|
14723|Jacobson cartilage|yah′kōb-sŏn|
59422|Jacobson nerve|jā′kob-sŏn|
63212|Jacobson organ|jā′kob-sŏn|
69868|Jacobson plexus|jā′kob-sŏn|
76801|Jacobson reflex|jā′kob-sŏn|flexion of the fingers elicited by tapping the flexor tendons over the wrist joint or the lower end of the radius.
46145|Jacquart|zhah-kahr′|Henri, 19th-century French physician.
4168|Jacquart facial angle|zhah-kahr′|a facial angle with the intersection always at the nasal spine point.
46146|Jacquemin|zhah-kuh-min[h]′|Emile, 19th-century French chemist.
90602|Jacquemin test|zhah-kuh-min[h]′|a test for phenol; to the suspected fluid an equal amount of aniline is added, and, after thorough admixture, a little solution of sodium hypochlorite; if phenol is present the fluid becomes blue.
46147|Jacques|zhahk|Paul, 19th-century French physician.
69869|Jacques plexus|zhahk|a nerve plexus within the muscular coat of the uterine (fallopian) tube.
46148|Jadassohn|yah′dah-sōn|Josef, German dermatologist in Switzerland, 1863–1936; introduced the patch test for contact dermatitis.
60391|Jadassohn nevus|yah′dah-sōn|
88149|Jadassohn-Lewandowski syndrome|yah′dah-sōn lev′ahn-dov′skē|
3829|Jadassohn-Pellizzari anetoderma|yah′dah-sōn pel-ĭ-zah′rē|cutaneous atrophy preceded by inflammatory erythematous or urticarial lesions of the trunk and upper portions of the extremities, and enlarging to 2–3 cm before undergoing involution.
46149|Jaeger|yā′gĕr|Eduard, Ritter von Jaxthal, Austrian ophthalmologist, 1818–1884.
90960|Jaeger test types|yā′gĕr|type of different sizes used for testing the acuity of near vision.
46150|Jaffe|yah′fē|Henry L., U.S. pathologist, 1896–1979
46151|Jaffe|yah′fē|Max, German biochemist, 1841–1911.
76169|Jaffe reaction|yah′fē|a bright orange-red complex resulting from the treatment of creatinine with alkaline picrate solution; the basis of most routine creatinine tests.
90603|Jaffe test|yah′fē|a quantitative test for creatinine based on its reaction with alkaline picrate;&#&a qualitative test for the presence of indicanuria; after an equal amount of HCl is added to the urine, the further addition of chloroform and CaCl₂ gives rise to blue or purple chloroform droplets that sink to the bottom if indican is present.
25583|Jaffe-Lichtenstein disease|yah′fē lik′tĕn-stīn|obsolete term for fibrous dysplasia of bone.
88150|Jahnke syndrome|jahn′kĕ|Sturge-Weber syndrome without glaucoma.
32667|jail fever||
46152|JAK|jak|Abbreviation for Janus kinase.
65104|jake paralysis||polyneuropathy produced by drinking synthetic Jamaican ginger (or “jake” in the vernacular) containing triorthocresylphosphate.
46153|Jakob|yah′kŏb|Alfons M., German neuropsychiatrist, 1884–1931.
46154|jalap|jal′ap|The dried tuberous root of Exogonium purga, E. jalapa, or Ipomoea purga (family Convolvulaceae); used as a cathartic.
77552|jalap resin||resin extracted from the dried tuberous root of Exogonium purga; a purgative.
81730|Jamaican vomiting sickness||
46156|James|jāmz|Thomas N., 20th-century U.S. cardiologist and physiologist.
46155|James|jāmz|George C.W., U.S. radiologist, 1915–1972.
32895|James fibers|jāmz|atrio-His bundle connections thought to be the basis for the short P-R interval syndrome; these fibers should be distinguished from the controversial internodal tracts of the atrium.
92959|James tracts|jāmz|
98906|Jamestown Canyon virus||a member of the California group of arboviruses (family Bunyaviridae), which has been associated with a mild febrile illness in humans in North America.
46157|Jamestown weed|jāmz′town wēd|
46158|Janet|zhah-nā′|Pierre M.F., French neurologist, 1859–1947.
90604|Janet test|zhah-nā′|to distinguish between functional or organic anesthesia; the patient, eyes closed, is told to say “yes” or “no” on feeling (or not) the touch of the examiner's finger.  In functional anesthesia, the patient may say “no” when an anesthetic area is touched.  In organic anesthesia, the patient will say nothing, being unaware that he is touched.
46159|Janeway|jān′wā|Edward G., U.S. physician, 1841–1911.
