46134|Jaboulay pyloroplasty
46134|Jaboulay amputation
46135|Jaccoud arthritis
46135|Jaccoud arthropathy
46141|Jackson membrane
46141|Jackson veil
46140|jacksonian epilepsy
46140|Jackson law
46140|Jackson rule
46140|Jackson sign
46142|jacksonian epilepsy
46142|jacksonian seizure
46143|Jacobaeus operation
46144|Jacobson canal
46144|Jacobson cartilage
46144|Jacobson nerve
46144|Jacobson organ
46144|Jacobson plexus
46144|Jacobson reflex
46145|Jacquart facial angle
46146|Jacquemin test
46147|Jacques plexus
46148|Jadassohn nevus
46148|Borst-Jadassohn type intraepidermal epithelioma
46148|Jadassohn-Pellizzari anetoderma
46148|Franceschetti-Jadassohn syndrome
46148|Jadassohn-Lewandowski syndrome
46149|Jaeger test types
46150|Jaffe-Lichtenstein disease
46151|Jaffe reaction
46151|Jaffe test
46153|Creutzfeldt-Jakob disease
46156|James fibers
46156|under fiber
46156|James tracts
46156|under tract
46155|Swyer-James syndrome
46155|Swyer-James-MacLeod syndrome
46158|Janet test
46159|Janeway lesion
46160|conjoined twins
46160|under twin
46163|Jansen operation
46164|Jansky-Bielschowsky disease
46164|Jansky classification
18032|Blood Groups Appendix
46169|Jarisch-Herxheimer reaction
46169|Bezold-Jarisch reflex
46170|Jarman score
46171|Jarvik artificial heart
46224|Jaworski bodies
46224|under body
46584|Jüngling disease
46227|Jeanselme nodules
46227|under nodule
46228|Peutz-Jeghers syndrome
46228|Jeghers-Peutz syndrome
46229|jejuno-
46243|Jellinek formula
46250|Jendrassik maneuver
46253|Jenner stain
46252|Jenner-Kay unit
46254|Levey-Jennings chart
46255|Jensen disease
46256|Jensen sarcoma
46269|Jervell and Lange-Nielsen syndrome
46273|Jeune syndrome
46274|Jewett sound
46274|Jewett and Strong staging
4895|Blood Groups Appendix
46282|Terminologia Anatomica
4896|low frequency blood groups in Blood Groups Appendix
46283|Jobert de Lamballe fossa
46283|Jobert de Lamballe suture
46284|Jod-Basedow phenomenon
46285|Joffroy reflex
46285|Joffroy sign
46286|johnin
46286|Johne disease
46289|Stevens-Johnson syndrome
46288|Dubin-Johnson syndrome
46291|Wheeler-Johnson test
46290|Johnson method
46484|Jolles test
46485|Jolly bodies
46485|under body
46485|Howell-Jolly bodies
46485|under body
46486|Jolly reaction
46489|Jones criteria
46489|under criterion
46488|Bence Jones
46487|Ross-Jones test
46491|Jonnesco fossa
46493|Joubert syndrome
46494|joule
46494|Joule equivalent
4897|Blood Groups Appendix
46496|Judkins technique
97315|anterior jugular vein
97315|external jugular vein
97315|internal jugular vein
36650|transposon
46582|Jung muscle
46581|jungian psychoanalysis
46592|pelvis justo major
46593|pelvis justo minor
