46620|k||Abbreviation for kilo-; used with SI and metric units.
46612|K||Symbol for dissociation constant; kinetic energy; luminous efficiency.
46607|K||Symbol for potassium (preceded by superscript number, indicates isotope); kalium; phylloquinone; kelvin; lysine; lysyl.&#&In optics, the coefficient of scleral rigidity.&#&In contact lens fitting, the radius of curvature of the flattest meridian of the apical cornea.
46621|k||Symbol for rate constants, under constant or velocity constants, under constant.
4898|K antigens||
46716|K blood group|blŭd grūp|
14109|K capture||
15680|K cell||cell type of the diffuse neuroendocrine system  located in the digestive tract, mostly stomach and duodenum, which produces glucose-dependent insulinotropic polypeptide (GIP) on stimulation by the presence of lipids in the lumen of the stomach and duodenum. GIP facilitates the secretion of insulin by pancreatic beta cells.
19438|K complex||high amplitude, diphasic frontocentral slow waves in the electroencephalogram related to arousal from sleep by a sound; characteristic of sleep stages 2, 3, and 4.
77178|K region||carbons 9 and 10 of the phenanthrene ring system; thought by some to be the reactive spot in certain hydrocarbon carcinogens.
81501|K shell||the innermost electron orbit or shell; it can hold two electrons.
98911|K virus||a polyomavirus, family Papovaviridae, which causes pneumonia in young mice by various routes of inoculation.
74832|K-radiation||usually a very penetrating form of x-radiation excited by cathode rays (high-speed electrons) impinging upon a metal anode such as tungsten; the energy of the radiation is a function of the binding energy of the K-shell electrons of the metal anode.
47374|K-wire|wīr|Abbreviation for Kirschner wire.
75930|K:A ratio||Abbreviation for ketogenic:antiketogenic ratio.
46613|Kₐ||Symbol for dissociation constant of an acid; association constant2 (often used with gases).
46614|Kb||Symbol for dissociation constant of a base.
46622|kcₐₜ||The overall catalytic rate of an enzyme; symbol for turnover number; V(null) divided by the total enzyme concentration.
46615|Kd||Symbol for dissociation constant.
46616|Kₑq||Symbol for equilibrium constant.
46617|Ki||Symbol for the dissociation constant of an inhibitor; in enzyme kinetics, Kii reflects the values of Ki that affect the intercept of a double-reciprocal plot, whereas Kiₛ reflects the values of Ki that affect the slope of the same plot.
46618|Kₘ||Symbol for Michaelis constant; Michaelis-Menten constant.
46619|Kw||Symbol for autoprotolysis constant of water.
46623|kabure|kah-bū′rē|
46073|kabure itch||
46624|Kaes|kāz|Theodor, German neurologist, 1852–1913.
46625|kafindo|kă-fin′dō|
46626|kahweol|kah′wē-awl|A diterpene in coffee beans.
76374|kainate receptor||a type of glutamate receptor that participates in excitatory neurotransmission.
46627|kainic acid|kā-in′ik as′id|A glutamate analogue that exhibits powerful and long-acting excitatory and toxic activity on neurons.  In neurobiology, it is used as a research tool to destroy neurons and as an activator of glutamate receptors; it has been used as an anthelmintic against nematodes.
46628|kairomone|kī′rō-mōn|Chemical messenger emitted by organisms of one species that benefits or affects organisms of another species, a flower scent that attracts or repels animal species.
46629|Kaiserling|kī′zĕr-ling|Karl, German pathologist, 1869–1942.
33794|Kaiserling fixative|kī′zĕr-ling|a method of preserving histologic and pathologic specimens without altering the color by immersing them in an aqueous solution of potassium nitrate, potassium acetate, and formalin.
46630|kak-|kak|
46631|kal-|kal|Potassium; sometimes improperly written as kalio-.
46632|kala azar|kah′lah ah-zahr′|
46633|kalemia|kă-lē′mē-ă|The presence of potassium in the blood.
46634|kaliopenia|kā′lē-ō-pē′nē-ă|Insufficiency of potassium in the body.
46635|kaliopenic|kā′lē-ō-pē′nik|Relating to kaliopenia.
46636|Kalischer|kah′lish-ĕr|Siegfried, late 19th-century German physician.
46637|kalium (K)|kā′lē-ŭm|
46638|kaliuresis|kā′lē-yū-rē′sis|
46639|kaliuretic|kā′lē-yū-ret′ik|
46640|kallidin|kal′i-din|A decapeptide vasodilator consisting of bradykinin with a lysyl group attached to the amino terminus.  This group can be removed by an aminopeptidase in the blood to yield bradykinin.
46642|kallidin 10||
46641|kallidin 9||
46643|kallidin I||
46644|kallidin II||
46645|Kallikak|kal′ĭ-kak|The pseudonym for a celebrated family with two lines of descendants, one of respectable citizens, the other of social misfits and criminals.
46646|kallikrein|kal′i-krē′in|A group of enzymes (plasma, tissue, pancreatic, urinary, or submandibular kallikrein) that converts kininogen by proteolysis to bradykinin or kallidin. Trypsin and plasmin can also effect the conversion. Plasma kallikrein activates factor XII and acts on kininogen. Tissue kallikrein is a serine endopeptidase that can generate kallidin from kininogen.
89318|kallikrein system||a blood serum system, the activity of which is initiated by factor XII leading to the production of prekallikrein activator and then to kallikrein which, after activation by plasmin, splits bradykinin from kininogen.
46648|Kallmann|kahl′mahn|Franz Josef, U.S. medical geneticist and psychiatrist, 1897–1965.
88421|Kallmann syndrome|kahl′mahn|
46649|kaluresis|kal′yū-rē′sis|The increased urinary excretion of potassium.
46650|kaluretic|kal′yū-ret′ik|Relating to, causing, or characterized by kaluresis.
46651|Kandori|kahn-dōr′ē|Fumio, 20th-century Japanese ophthalmologist.
13846|kang cancer||a carcinoma of the skin of the thigh or abdomen in certain Indian or Chinese workers thought to result from irritation by heat from a hot brick oven (kang) or fire basket (kangri).
14348|kangri burn carcinoma||
46652|Kanner|kahn′ĕr|Leo, Austrian psychiatrist in U.S., 1894–1981.
88422|Kanner syndrome|kahn′ĕr|
46653|kanyemba|kan-yem′bă|
46654|kaodzera|kah′od-ze′rā|A disease similar to sleeping sickness, caused by Trypanosoma brucei rhodesiense, prevalent in Zimbabwe (the former Rhodesia).
46655|kaolin|kā′ō-lin|Hydrated aluminum silicate; when powdered and freed from gritty particles by elution, kaolin is used as a demulcent and adsorbent. In dentistry, used to add toughness and opacity to porcelain teeth.
