47400|l||Symbol for liter; liquid; length (in italics).
47399|L||Symbol for linking number.
47398|L||Abbreviation for left (left eye); lumbar vertebrae (L1 to L5).&#&Symbol for inductance; liter; leucine; leucyl.&#&Abbreviation for limes; used with a lower case letter, plus sign, subscript letter, or subscript plus sign as a symbol for various doses of toxin.
16430|L chain||
26525|L doses||a group of terms that indicate the relative activity or potency of diphtheria toxin; the L doses are distinctly different from the minimal lethal dose and minimal reacting dose, inasmuch as the latter two represent the direct effects of toxin, whereas the L doses pertain to the combining power of toxin with specific antitoxin.
34823|L form||
80768|L selectin||cell surface receptor produced by leukocytes.
81502|L shell||the next lowest energy level of electrons in the atom, after the K shell (q.v.).
95719|L unit of streptomycin||
47401|l-||Levorotatory.
47402|l-||Prefix indicating a chemical compound to be structurally (sterically) related to l-glyceraldehyde.
76376|L-AP₄ receptor||a type of glutamate receptor that also binds a particular synthetic agonist and acts as a cation channel.
25611|L-chain disease||
58290|L-chain myeloma||
48538|l-cone|kōn|Long-wavelength–sensitive cone (red cone).
10999|L-D body||
23377|l-dehydroascorbic acid|dē-hī′drō-as-kōr′bik as′id|The reversibly oxidized form of ascorbic acid; it is antiscorbutic, but is converted in the body to 2,3-diketo-l-gulonic acid, which has no vitamin C activity.
26451|l-dopa|dō′pă|
33252|L-ficolin||a protein that structurally resembles mannose-binding lectin (MBL). The polypeptide chains have a N-terminal region, a collagenlike domain and a globular region, which is fibrinogenlike. L-ficolin is a plasma proteins generated in the liver. It can form oligomers and is capable of activating complement.
37786|l-glyceric aciduria|gli-sĕr′ik as′i-dūr′ē-ă|Excretion of l-glyceric acid in the urine; a primary metabolic error due to deficiency of d-glyceric dehydrogenase resulting in excretion of l-glyceric and oxalic acids, leading to the clinical syndrome of oxalosis with frequent formation of oxalate renal calculi.
38745|l-gulonic acid|gū-lon′ik as′id|Reduction product of glucuronic acid (–CHO → —CH₂OH); oxidation product of l-gulose (–CHO → —COOH); a precursor (except in certain primates, guinea pigs, certain fishes, and the Indian fruit bat) of ascorbic acid via l-gulonolactone.
38748|l-gulono-γ-lactone|gū-lon′ō-lak′tōn|
38746|l-gulonolactone|gū-lon′ō-lak′tōn|The immediate precursor of ascorbic acid in those animals capable of ascorbic acid biosynthesis.
38747|l-gulonolactone oxidase||the enzyme that catalyzes the conversion of l-gulonolactone and O₂ to H₂O₂ and l-xylo-hexulonolactone, a precursor of ascorbic acid; absent in humans.
51026|l-α-narcotine|nar′kō-tēn|
31722|L-L factor||
54311|L-meromyosin||the relatively low molecular weight product (mol. wt. about 120,000) of the tryptic digestion of myosin.
96848|L-phase variants||bacterial variants that do not have rigid cell walls but that may contain varying amounts of cell wall material; they are spheric to coccobacillary in shape and vary in size from small bodies that pass through filters, which retain bacteria to bodies that are larger than the bacterial form; they are gram-negative and resistant to penicillin. The variants differ greatly from the parent bacterial cells in mode of reproduction, physiology, growth requirements, and individual and colonial morphology; they are generally considered to be nonpathogenic, even if derived from a pathogenic bacterium.
74833|L-radiation||an x-radiation of slight penetrating power excited by cathode rays (high-speed electrons) impinging on a metal anode; the energy of the radiation is a function of the binding energy of the L-shell electrons of the metal anode.
78161|l-rhamnose (Rha)|ram′nōs|A methylpentose present in several plant glycosides, found in lipopolysaccharides of Enterobacteriaceae, and in rutinose (a disaccharide), and in free form in poison sumac.
81185|l-serine dehydratase||a deaminating hydro-lyase converting l-serine to pyruvate and NH₃; a part of amino acid catabolism.
47056|L-shaped kidney||anatomic variant of cross-fused renal ectopy in which the crossed kidney does not assume a transverse position and has no attachment to the inferior pole of the normal kidney.
82940|l-sorbose|sōr′bōs|A very sweet reducing, but not fermentable, 2-ketohexose obtained from the berries of the rowan/mountain ash, Sorbus aucuparia (family Rosaceae), and from sorbitol by fermentation with Acetobacter suboxydans; epimeric with d-fructose and used in the manufacture of vitamin C.
84889|l-stercobilinogen|ster′kō-bī-lin′ō-jen|Reduction product of l-urobilinogen, precursor of l-stercobilin in the final stages of bilirubin metabolism; excreted in feces, wherein it is oxidized to stercobilin.
100253|l-xylulosuria|zī′lū-lō-syū′rē-ă|
51374|L.R.C.P.||Abbreviation for Licentiate of the Royal College of Physicians (of England).
51375|L.R.C.P.(E)||Abbreviation for Licentiate of the Royal College of Physicians (Edinburgh).
51376|L.R.C.P.(I)||Abbreviation for Licentiate of the Royal College of Physicians (Ireland).
51377|L.R.C.S.||Abbreviation for Licentiate of the Royal College of Surgeons (of England).
51378|L.R.C.S.(E)||Abbreviation for Licentiate of the Royal College of Surgeons (Edinburgh).
51379|L.R.C.S.(I)||Abbreviation for Licentiate of the Royal College of Surgeons (Ireland).
51381|L.R.F.P.S.||Abbreviation for Licentiate of the Royal Faculty of Physicians and Surgeons, a Scottish institution.
75934|L:S ratio||abbreviation for lecithin/sphingomyelin ratio.
26526|L⁺ dose||alternatives for L†, the limes tod dose of diphtheria toxin, the smallest amount of toxin that, when mixed with one unit of antitoxin and injected subcutaneously into a 250-g guinea pig, results in death of the animal within 96 hours (based on the average in a series); on theoretic grounds, one might expect that the difference between the L₊ and L₀ doses would be identical to 1 MLD, but this is not so in actual practice; with various toxic filtrates, the difference may range from several to more than 100 MLDs, indicating that the toxin-antitoxin combination is not a firm chemical union that occurs in constant proportions.
47403|LA||Abbreviation for lupus anticoagulant.
47404|La||Symbol for lanthanum.
47409|la belle indifférence|lah bel an-dif-er-ahns′|
98918|La Crosse virus||a bunyavirus of the California group, family Bunyaviridae, and an agent of bunyavirus encephalitis.
47642|Laënnec|lah-ĕ-nek′|René T.H., French physician, 1781–1826.
17831|Laënnec cirrhosis|lah-ĕ-nek′|cirrhosis in which normal liver lobules are replaced by small regeneration nodules, sometimes containing fat, separated by a fairly regular framework of fine fibrous tissue strands (hob-nail liver); usually due to chronic alcoholism. Can cause severe impairment of liver function, portal hypertension with ascites and esophageal varices, and life-threatening complications.
66352|Laënnec pearls|lah-ĕ-nek′|obsolete term for small round translucent, tenacious bodies in the sputum of some people with asthma; when floated in water, they unfurl and become recognizable as Curschmann spirals.
47405|Laband|lah-band′|Peter F., 20th-century U.S. dentist.
88447|Laband syndrome|lah-band′|fibromatosis of the gingivae associated with hypoplasia of the distal phalanges, nail dysplasia, joint hypermotility, and sometimes hepatosplenomegaly; autosomal dominant inheritance.
47407|Labbé|lah-bā′|Ernest M., French physician, 1870–1939.
47406|Labbé|lah-bā′|Leon, French surgeon, 1832–1916.
93657|Labbé triangle|lah-bā′|an area bounded below by a horizontal line touching the lower edge of the cartilage of the left ninth rib, laterally by the line of the false ribs, and to the right side by the liver; here the stomach is normally in contact with the abdominal wall.
97320|Labbé vein|lah-bā′|
47408|label|lā′bĕl|To incorporate into a compound a substance that is readily detected, such as a radionuclide, whereby its metabolism can be followed or its physical distribution detected.&#&The substance so incorporated.&#&Any display of written, printed, or graphic materials accompanying a pharmaceutical or a medical device at any time while such is in interstate commerce or offered for sale; often used as a synonym for package insert (q.v.).
8316|labeled atom||a radioactive atom, or a stable but rare one, which by its presence in a molecule helps localization or measurement of that molecule.
92033|labeled thyroxine||
47410|labia|lā′bē-ă|Plural of labium.
47446|labia oris||
47451|labia uteri||
47411|labial|lā′bē-ăl|Relating to the lips or any labium.&#&Toward a lip.&#&One of the letters formed by means of the lips.
5996|labial arch||an orthodontic arch wire that approximates the labial surfaces of the teeth.
9461|labial bar||a major connector located labial to the dental arch joining two or more bilateral parts of a mandibular removable partial denture.
11981|labial branches of mental nerve||branches of mental nerve to lower lip.
19274|labial commissure (of mouth)||junction of upper and lower lips lateral to the angle of the mouth.
28533|labial embrasure||a space existing on the facial aspect of the interproximal contact area between adjacent anterior teeth.
33832|labial flange||the portion of the flange of a denture that occupies the labial vestibule of the mouth.
36970|labial gingiva||that portion of the gingiva that covers the labial surfaces of the teeth and the alveolar process.
37148|labial glands||mucous glands in the submucous tissue of the lips.
40564|labial hernia||hernia through the canal of Nuck.
62116|labial occlusion||malposition of a tooth in a labial direction;
65908|labial part of orbicularis oris (muscle)||the major part of the orbicularis oris muscle within the body of the lips.
84000|labial splint||an appliance of plastic, metal, or in combination, made to conform to the outer aspect of the dental arch and used in the management of jaw and facial injuries.
86393|labial sulcus||a furrow between the developing lip and gum.
86931|labial surface of tooth||vestibular surface of an anterior tooth that contacts the vestibular surface of the upper or lower lips.
87324|labial swelling||the female embryonic genital swelling which elongates to become the definitive labium majus.
94517|labial tubercle||
97321|labial veins||
98520|labial vestibule||that part of the oval vestibule related to the lips.
47412|labialism|lā′bē-ăl-izm|A form of stammering in which there is confusion in the use of the labial consonants.
47413|labially|lā′bē-ăl-ē|Toward the lips.
47414|labile|lā′bīl, -bil|An adaptability to alteration or modification, relatively easily changed or rearranged.&#&Certain constituents of serum affected by increases in heat.&#&An electrode that is kept moving over the surface during the passage of an electric current.&#&In psychology or psychiatry, denoting free and uncontrolled mood or behavioral expression of the emotions.&#&Easily removable, a labile hydrogen atom.
1521|labile affect||rapid shifts in outward emotional expressions; often associated with organic brain syndromes such as intoxication.
21956|labile current||an electrical current applied to the body by means of electrodes that are constantly shifted about.
28401|labile elements||tissue cells, as of epithelium, connective tissue, etc., that continue to multiply by mitosis during the life of the individual.
31710|labile factor||
42633|labile hypertension||frequently changing levels of elevated blood pressure.
73999|labile pulse||frequent changes in pulse rate.
47415|lability|lă-bil′i-tē|The state of being labile.
47416|labio-|lā′bē-ō|The lips.
47417|labiocervical|lā′bē-ō-ser′vi-kăl|Relating to a lip and a neck; specifically, to the labial or buccal surface of the neck of a tooth.
47418|labioclination|lā′bē-ō-kli-nā′shŭn|Inclination of position more toward the lips than is normal; said of a tooth.
47419|labiodental|lā′bē-ō-den′tăl|Relating to the lips and the teeth; denoting certain letters the sound of which is formed by both lips and teeth.
86394|labiodental sulcus||
47420|labiogingival|lā′bē-ō-jin′ji-văl|Relating to the point of junction of the labial border and the gingival line on the distal or mesial surface of an incisor tooth.
47778|labiogingival lamina||a band of ectodermal epithelial cells growing into the mesenchyme of the embryonic jaws between the developing lip and the growing gingival elevation; it later opens to form the labiogingival groove.
47421|labioglossolaryngeal|lā′bē-ō-glos′ō-lă-rin′jē-ăl|Relating to the lips, tongue, and larynx; describing bulbar paralysis in which these parts are involved.
47422|labioglossopharyngeal|lā′bē-ō-glos′ō-fă-rin′jē-ăl|Relating to the lips, tongue, and pharynx; describing bulbar paralysis involving these parts.
47423|labiograph|lā′bē-ō-graf|An instrument for recording the movements of the lips in speaking.
5758|labiolingual appliance||an orthodontic appliance that consists of a maxillary labial arch wire and a mandibular lingual arch wire.
69312|labiolingual plane||a plane parallel to the labial and lingual surfaces of the teeth.
47424|labiomental|lā′bē-ō-men′tăl|Relating to the lower lip and chin.
47425|labionasal|lā′bē-ō-nā′săl|Relating to the upper lip and the nose, or to both lips and the nose.&#&Denoting a letter that is both labial and nasal in the production of its sound.
47426|labiopalatine|lā′bē-ō-pal′ă-tīn|Relating to the lips and the palate.
47427|labioplacement|lā′bē-ō-plās′ment|Positioning (of a tooth) more toward the lips than normal.
47428|labioplasty|lā′bē-ō-plas′tē|Plastic surgery of a lip.
34291|labioscrotal folds||lateral folds at either side of the embryonic cloacal membrane that develop into either the scrotum or the labia majora.
87325|labioscrotal swellings||paired primordial elevations flanking the genital tubercle and the urogenital orifice of the embryo; they develop into the labioscrotal folds, which become the labia majora in the female and unite to form the scrotum of the male.
47429|labioversion|lā′bē-ō-ver′zhŭn|Malposition of an anterior tooth from the normal line of occlusion toward the lips.
