52080|m||Symbol for molarity.
52078|M||Symbol for mega-2; morgan; molarity (moles per liter, also written M or m); myopia or myopic; methionine; methionyl; 6-mercaptopurine ribonucleoside in a nucleic acid; L. misce, mix; metal.&#&Symbol for a blood factor.
52083|m||Symbol for molarity, moles per liter (also written M or M).
52082|m||Symbol for meter; milli-; minim; mass; magnetic dipole moment; molality.
4911|M antigen||an antigen found in the cell of Streptococcus pyogenes; associated with virulence.
9387|M band||
15703|M cell||
19596|M concentration||the maximum number of bacterial cells that can be produced in a unit volume of growth medium.
50434|M line||a fine line in the center of the A band of the sarcomere of striated muscle myofibrils.
67825|M phase||
73001|M protein||
81503|M shell||the lowest energy level at which electron transitions give rise to x-rays.
53263|M'Dowel|mik-dow′ĕl|Benjamin G., Irish anatomist, 1829–1885.
55616|M'Naghten|mik-naw′tĕn|Daniel, British criminal, tried in March, 1843.
79180|M'Naghten rule|mik-naw′tĕn|the classic English test of criminal responsibility (1843): “to establish a defense on the ground of insanity, it must be clearly proved that, at the time of committing the act, the party accused was laboring under such a defect of reasoning, from disease of the mind, as not to know the nature and quality of the act he was doing, or if he did know it, that he did not know he was doing what was wrong.”
52084|m-||Abbreviation for meta-2.
16851|m-chloral|klōr′ăl|A polymer of chloral obtained by prolonged contact with sulfuric acid; it has properties similar to those of chloral hydrate.
53247|m-cone|kōn|Middle wavelength sensitive cone (green cone).
21205|m-cresol|krē′sol|A local antiseptic with a higher germicidal power than phenol and less toxicity to tissues; used in disinfectants and fumigants; its acetate derivative is used as a topical antiseptic and fungicide.
53252|M-CSF||Abbreviation for macrophage colony-stimulating factor.
55610|M-mode||A diagnostic ultrasound presentation of the temporal changes in echoes in which the depth of echo-producing interfaces is displayed along one axis with time (T) along the second axis; motion (M) of the interfaces toward and away from the transducer is displayed.
27710|M-mode echocardiography||
52079|M.||Abbreviation for L. misce, mix.
53260|m. dict.||Abbreviation for [L.] more dicto, as directed.
53217|M.C.||Abbreviation for Magister Chirurgiae, Master of Surgery; Medical Corps.
53233|M.Ch.||Abbreviation for Magister Chirurgiae, Master of Surgery.
53265|M.D.S.||Abbreviation of Master of Dental Surgery.
56229|m.p.||Abbreviation for melting point.&#&Abbreviation for [L.] modo praescripto, in the manner prescribed.
56236|M.R.C.P.||Abbreviation for Member of the Royal College of Physicians (of England).
56237|M.R.C.P.(E)||Abbreviation for Member of the Royal College of Physicians (Edinburgh).
56238|M.R.C.P.(I)||Abbreviation for Member of the Royal College of Physicians (Ireland).
56239|M.R.C.S.||Abbreviation for Member of the Royal College of Surgeons (England).
56240|M.R.C.S.(E)||Abbreviation for Member of the Royal College of Surgeons (Edinburgh).
56241|M.R.C.S.(I)||Abbreviation for Member of the Royal College of Surgeons (Ireland).
56252|M.S.D.||Abbreviation for Master of Science in Dentistry.
56267|m.u.||Abbreviation for mouse unit.
80610|M2 segment of middle cerebral artery||
75938|M:E ratio||the ratio of myeloid to erythroid precursors in bone marrow; normally it varies from 2:1 to 4:1; an increased ratio is found in infections, chronic myelogenous leukemia, or erythroid hypoplasia; a decreased ratio may mean a depression of leukopoiesis or normoblastic hyperplasia depending on the overall cellularity of the bone marrow.
4912|M₁ antigen||
52081|Mr||Symbol for molecular weight ratio or relative molecular mass.
52085|MA||Abbreviation for mental age; mentoanterior position; Master of Arts (Magister Artium); Medical Assistant.
52086|ma||Abbreviation for milliampere.
52334|Ma-huang|mah-hwahng′|Chinese name for Ephedra equisetina.
52087|MAA||Abbreviation for macroaggregated albumin.
52088|MAB||Abbreviation for monoclonal antibody.
52089|MAC||Abbreviation for minimal anesthetic concentration; minimal alveolar concentration; membrane attack complex.&#&Abbreviation for Mycobacterium avium complex.
19443|MAC complex||
52090|Mac-||
52091|Macaca|mă-kah′kă|A large genus of Old World monkeys (family Cercopithecidae) that includes the macaque and rhesus monkeys, and the Barbary apes. Macaca mulatta, the rhesus monkey, is used as a research animal.
52092|macaque|mă-kahk′|
84424|Macchiavello stain|mah-kē-ā-vel′ō|a basic fuchsin-citric acid-methylene blue sequence in smears that produces red staining of rickettsiae and inclusion bodies, with nuclei staining blue.
52093|MacConkey|mă-kon′kē|Alfred T., British bacteriologist, 1861–1931.
1607|MacConkey agar|mă-kon′kē|medium containing peptone, lactose, bile salts, neutral red, and crystal violet, used to identify gram-negative bacilli and characterize them according to their status as lactose fermenters. Fermenters appear as pink colonies whereas nonfermenters are colorless.
52094|Mace|mās|Acronym for methylchloroform 2-chloracetophenone (the prototypical lacrimator) in a light petroleum dispersant and a pressurized propellant.
52095|macerate|mas′ĕr-āt|To soften by steeping or soaking.
52096|maceration|mas′ĕr-ā′shŭn|Softening by the action of a liquid.
52097|Macewen|mă-kū′ĕn|William, Scottish surgeon, 1848–1924.
81971|Macewen sign|mă-kū′ĕn|percussion of the skull gives a cracked-pot sound in cases of hydrocephalus.
87443|Macewen symptom|mă-kū′ĕn|
93666|Macewen triangle|mă-kū′ĕn|
52098|Mach|mahk|Ernst, scientist in Hapsburg Empire, 1838–1916.
9388|Mach band|mahk|a relatively bright or dark band perceived in a zone where the luminance increases or decreases rapidly.
