74584|q||Abbreviation for specific humidity.
74583|q||In cytogenetics, symbol for long arm of a chromosome (in contrast to p for the short arm).&#&Abbreviation for [L.] quodque, each; every.&#&q. Symbol for heat; specific humidity.
74577|Q||Symbol for coulomb; quantity; quaternary; glutamine; glutaminyl; radiant energy;  pseudouridine; coenzyme Q; electric charge; the second product formed in an enzyme-catalyzed reaction; radiant energy.
4200|Q angle||the angle formed by lines representing the pull of the quadriceps muscle and the axis of the patellar tendon.
9397|Q bands||
25191|Q discs||
29580|Q enzyme||1,4-α-glucan branching enzyme in plants.
32731|Q fever||a disease caused by the rickettsia Coxiella burnetii, which is propagated in sheep and cattle, in which it produces no symptoms; human infections result from contact not only with such animals but also with other infected humans, air and dust, wild reservoir hosts, and other sources.
90754|Q tip test||a test for determining the mobility of the urethra.
99696|Q wave||the initial deflection of the QRS complex when such deflection is negative (downward).
74586|Q-banding|band′ing|
84490|Q-banding stain||
48064|Q-switched laser||(quality-switched); a laser in which the quality, or energy storage capacity is altered between a very high and a low value.
74599|Q-TWiST||Time without symptoms or toxicity; a quality of life measurement.
74588|q.d.||Abbreviation for L. quaque die, every day.
74591|q.h.||Abbreviation for L. quaque hora, every hour.
74592|q.i.d.||Abbreviation for L. quater in die, four times a day.
74594|q.l.||Abbreviation for L. quantum libet, as much as desired.
74597|Q.R.||Abbreviation for [L.] quantum rectum, however much is correct.
74598|q.s.||Abbreviation for L. quantum sufficiat or satis, as much as suffices.
74733|q.v.||Abbreviation for [L.] as much as you wish.
74579|Q₁₀||Symbol for the increase in rate of a process produced by raising the temperature 10°C; rate of contraction of an excised heart approximately doubles for every 10°C (Q₁₀ = 2).
74580|QCO||Symbol for the microliters STPD of CO₂ given off per milligram of tissue per hour.
74578|QO||Symbols for oxygen consumption (1).
74585|QALY|kwah′lē|Acronym for quality-adjusted life years, an adjustment that allows for prevalence of activity limitation.
74587|QBEND/10 (CD34)||Highly specific marker of angiosarcomas and of Kaposi sarcoma.
74589|QF||Abbreviation for quality factor, the same as relative biologic effectiveness in radiation protection.
