74738|R||Symbol for gas constant; one of two stereochemical designations in the Cahn, Ingold, and Prelog system; the third product formed in an enzyme-catalyzed reaction.
74735|R||Abbreviation or symbol for electrical resistance; radical (usually an alkyl or aryl group, ROH is an alcohol, RNH₂ an amine); Réaumur; respiration; respiratory exchange ratio; roentgen; the remainder of a chemical formula; the calculated unit representing vascular resistance in the cardiovascular system; arginine; arginyl; purine nucleoside.
74740|r||Symbol for correlation coefficient.&#&Abbreviation for racemic, occasionally used in naming compounds in place of the more common dl or (±), as “r-alanine” (more often as the prefix rac-).
74739|r||Abbreviation for roentgen; radius.
4929|R antigen||
29581|R enzyme||
31777|R factors||
68997|R pili||specialized pili found on bacterial cells, similar to F pili and associated with R plasmids.
69452|R plasmids||
99697|R wave||the first positive (upward) deflection of the QRS complex in the electrocardiogram; successive upward deflections within the same QRS complex are labeled R′, R′′, etc.
76014|R-banding|band′ing|
84495|R-banding stain||a reverse Giemsa chromosome banding method that produces bands complementary to G-bands; induced by treatment with high temperature, low pH, or acridine orange staining; often used together with G-banding on human karyotype to determine whether there are deletions.
68001|R-on-T phenomenon||a premature ventricular (QRS) complex in the electrocardiogram interrupting the T wave of the preceding beat; often predisposes to serious ventricular arrhythmias.
45243|R-R interval||the time elapsing between two consecutive R waves in the electrocardiogram.
76020|R.C.P.||Abbreviation for Royal College of Physicians (of England).
76021|R.C.P.(E)||Abbreviation for Royal College of Physicians (Edinburgh).&#&Symbol for reactivity.
76022|R.C.P.(I)||Abbreviation for Royal College of Physicians (Ireland).
76023|R.C.P.S.C.||Abbreviation for Royal Colleges of Physicians and Surgeons of Canada.
76024|R.C.S.||Abbreviation for Royal College of Surgeons (England).
76025|R.C.S.(E)||Abbreviation for Royal College of Surgeons (Edinburgh).
76026|R.C.S.(I)||Abbreviation for Royal College of Surgeons (Ireland).
76032|R.D.H.||Abbreviation for Registered Dental Hygienist.
79074|R.Ph.||Abbreviation for Registered Pharmacist.
79078|R.Q.||Abbreviation for respiratory quotient.
78815|R/O||Abbreviation for rule out.
74737|Rf||Symbol denoting movement of a substance in paper or thin layer chromatography relative to the solvent front (retardation factor); equal to the migration distance of a substance divided by the migration distance of the solvent front.
96656|Rf value||
74741|RA||Abbrviation for rheumatoid arthritis.
74742|Ra||Symbol for radium.
74743|rabbeting|rab′et-ing|Obsolete term for making congruous stepwise cuts on apposing bone surfaces for stability after impaction.
32735|rabbit fever||
33166|rabbit fibroma||
99009|rabbit fibroma virus||a poxvirus of the genus Leporipoxvirus, family Poxviridae, closely related to vaccinia and myxoma viruses, that causes Shope fibroma.
99010|rabbit myxoma virus||the poxvirus of the genus Leporipoxvirus causing myxomatosis of rabbits.
88752|rabbit syndrome|rab′it sin′drōm|
99011|rabbitpox virus||an Orthopoxvirus that causes epidemics of pox in laboratory rabbits; immunologically, it is closely related to vaccinia virus but is more virulent in rabbits.
74744|rabid|rab′id|Relating to or suffering from rabies.
74745|rabies|rā′bēz|Highly fatal infectious disease that may affect all species of warm-blooded animals, including humans; transmitted by the bite of infected animals including dogs, cats, skunks, wolves, foxes, raccoons, and bats, and caused by a neurotropic species of Lyssavirus, a member of the family Rhabdoviridae, that has tropism for the central nervous system and the salivary glands; inhalation infection possbile (aerosolized virus in bat caves, attics). The symptoms are characteristic of a profound disturbance of the nervous system, excitement, aggressiveness, and madness, followed by paralysis and death. In animals, clinical signs are variable, and sometimes drooling and tongue paralysis are the only signs. Transmission of the virus can occur before clinical signs are expressed. Characteristic cytoplasmic inclusion bodies (Negri bodies) found in many neurons aid rapid laboratory diagnosis.
37498|rabies immune globulin (human)||globulin fraction of pooled plasma of high anti-rabies virus titer from immunized persons.
43746|rabies immunoglobulin||
