79251|S||Symbol for entropy.
79247|S||Abbreviation for sacral vertebra (S1–S5); spheric, spheric lens; Svedberg unit.&#&Symbol for siemens; sulfur; entropy in thermodynamics; substrate in the Michaelis-Menton mechanism; percentage saturation of hemoglobin (when followed by subscript O₂ or CO); serine; seryl; one of the two stereochemical designations (in italics) in the Cahn-Ingold-Prelog system.&#&Fourth product in a multisubstrate enzyme.
79259|s||Symbol for selection coefficient; sedimentation coefficient.
79257|s||Abbreviation for sinister (L, left), semis, (L, half), second (unit of time); in subscript, denotes steady state.
4933|S antigen||a photoreceptor protein found in rods and in the pineal gland, exerting an inhibitory function in the light transduction cascade.
31790|S factor||the specific variables, or empirically most minute subclusters of intercorrelations or common variance, found in different intelligence tests (specific).
66776|S peptide||
67846|S phase||
71571|S potential||prolonged, slow, depolarizing or hyperpolarizing responses to illumination; initiated between the photoreceptor and ganglion cell layers of the retina.
73038|S protein||the major fragment produced from pancreatic ribonuclease by the limited action of subtilisin, which cleaves the ribonuclease between residues 20 and 21; the smaller fragment (residues 1–20) is S peptide.
82049|S sign of Golden||in pulmonary radiology, the combination of an atelectatic lobe and a central obstructing mass produces a concavity and a convexity, like the letter “S.”
95754|S unit of streptomycin||
99701|S wave||a negative (downward) deflection of the QRS complex following an R w; successive downward deflections within the same QRS complex are labeled S′, S′′, etc.
79260|S-A||Abbreviation for sinuatrial.
60665|S-A node||abbreviation for sinuatrial node.
1233|S-adenosyl-l-homocysteine|a-den′ō-sil-hō-mō-sis′te-ēn|Compound formed by the demethylation of S-adenosyl-l-methionine; produced by many methyltransferases.
79387|S-adenosyl-l-methionine (SAM, AdoMet, SAM-e)|a-den′ō-sil′me-thī′ō-nēn|A nutraceutical with antioxidative stress effect; may be used in management of liver disease; is a precursor of cysteine. In human medicine, may be used to scavenge free radicals associated with toxic insults to liver (e.g., alcohol, infection). During liver-function compromise, the resident enzyme system that generates SAM-e endogenously is compromised.
50495|S-BP line||a line connecting the sella with the Bolton point; it indicates the posterior portion of the cranial base in cephalometrics.
80300|s-cone|kōn|Short wavelength sensitive c. (blue c.).
50504|S-N line||a line connecting a point (S) representing the center of the sella turcica with the frontonasal junction (N); it denotes the anterior portion of the cranial base in cephalometrics.
4210|S-N-A angle||in cephalometrics, an angle measuring the anteroposterior relationship of the maxillary basal arch on the anterior cranial base; it shows the degree of maxillary prognathism.
4211|S-N-B angle||an angle showing the anterior limit of the mandibular basal arch in relation to the anterior cranial base.
60554|S-nitrosohemoglobin|nī-trō′sō-hē′mō-glō′bin|A compound formed by the binding of nitric oxide with hemoglobin; release and uptake of the nitric oxide group produce changes in vascular resistance and blood flow, which assist in oxygen homeostasis.
82604|S-nitrosothiol||A type of organic sulfur–containing nitrite; can transport nitric oxide  through the body by binding to the sulfur group.
