89431|T||Symbol for ribothymidine; tension (T+, increased tension; T−, diminished tension); tera-; tesla, the unit of magnetic field strength; tritium; threonine; torque; transmittance.&#&As a subscript, refers to tidal volume.&#&Abbreviation for thoracic vertebra (T1–T12); tocopherol.
89444|t||Symbol for temperature (Celsius); tritium.
89443|t||Abbreviation for metric ton; time.
89439|T||Symbol for absolute temperature (kelvin).
1752|T agglutinogen||obsolete term for an agglutinogen formed from a latent receptor on human red blood cells by the action of an enzyme in cultures of certain bacteria.
89447|T and A||Abbreviation for tonsillectomy and adenoidectomy.
4945|T antigens||tumor antigens expressed by tumor cells or cells transformed by certain DNA tumor viruses, including adenoviruses and papovaviruses.
15912|T cell||
76395|T cell antigen receptors||receptors present on T cells that interact with both processed antigen and major histocompatibility antigens simultaneously; these are heterodimers, each consisting of either an α and β chain or a γ and ΄ chain, designated CD3, also known as TCR.
51966|T cell–rich B-cell lymphoma||monoclonal B-cell lymphoma that contains abundant reactive T cells; more than 90% of the cells are of T-cell origin, masking the large cells that form the neoplastic B-cell component.
15920|T cytotoxic cells (Tc)||
26211|t distribution||the distribution of the quotient of independent random variables, the numerator of which is a standardized normal variate and the denominator the positive square root of the quotient of a chi-square (χ²) distributed variate and its number of degrees of freedom.
29590|T enzyme||1,4-α-d-glucan 6-α-d-glucosyltransferase.
32978|T fiber||a fiber that branches at right angles to the right and left; term used to describe the branching patterns of granular cell axons in the molecular layer of the cerebellum.
38636|T group||abbreviation for training group.
15926|T helper subset 1 cells||a subset of CD4⁺ T cells that can secrete IFN-γ and TNF-β and are responsible for cellular immunity.
15927|T helper subset 2 cells||a subset of CD4⁺ T cells that synthesize IL-4, IL-5, and IL-9 and facilitate immunoglobulin synthesis.
51899|T lymphocyte||a lymphocyte formed in the bone marrow from which it migrates to the thymic cortex to become an immunologically competent cell; T lymphocytes have long lifespans (months to years) and are responsible for cell-mediated immunity; T lymphocytes form rosettes with sheep erythrocytes and differentiate and divide in the presence of transforming agents (mitogens); T lymphocytes have characteristic T cell receptor-CD3 complexes as surface markers and may be further categorized by function, such as helper and cytotoxic.
58342|T myelotomy||midline myelotomy with lateral cuts into the anterior horns.
89368|T system||transverse tubules that invaginate the sarcolemma in skeletal and cardiac muscle fibers.
90857|t test||a test that uses a statistic that under the null hypothesis has the t distribution, to test whether two means differ significantly.
94425|T tube||a tube shaped like a T, the top of which is placed within a tubular structure such as the common bile duct and the stem placed through the skin; used for decompression.
94773|T tubule||
99704|T wave||the next deflection in the electrocardiogram after the QRS complex; represents ventricular repolarization.
92772|T-2 toxin||a mycotoxin from Fusarium species found in grain, responsible for hemorrhagic disease in livestock; may cause GI disease in humans.
9434|T-bandage||
10230|T-binder||two strips of cloth at right angles; used for retaining a dressing, as on the perineum.
13080|t-butoxycarbonyl (BOC, t-BOC, Boc)|byū-toks′ē-kar′bŏn-il|An amino-protecting group used in peptide synthesis.
31805|T-cell growth factor||obsolete term for interleukin-2.
31806|T-cell growth factor-1||obsolete term for interleukin-2.
31807|T-cell growth factor-2||obsolete term for interleukin-4.
89808|T-coil|koyl|Abbreviation for telecoil.
4947|T-dependent antigen||an antigen that requires T-cell help to generate a humoral immune response by an antigen-specific cell. Most antigens are T-dependent.
33711|T-E fistula||
15925|T-helper cells (Th)||a subset of lymphocytes that secrete various cytokines that regulate the immune response: subset 1, which synthesize gamma-interferon and TNF-β and are involved in cell-mediated immunity; subset 2, which synthesize IL-4, IL-5, and IL-9 and are involved in immunoglobulin synthesis.
92302|T-mycoplasma|mī′kō-plaz′mă|
80336|T-score||a measurement expressed in standard deviation units from a given mean used in assessment of osteoporosis, equal to a patient's bone mineral density measurement by DEXA minus the value in a young healthy person, divided by the standard deviation of the measurement in the population.
16957|t-tube cholangiography||x-ray imaging of contrast material injected through the side arm of a branched drainage catheter that was inserted into the common bile duct after cholecystectomy with bile duct exploration; used to check for residual calculi before removing the t-tube.
96448|T.A.B. vaccine||
92071|t.i.d.||Abbreviation for L. ter in die, three times a day.
92286|t.i.w.||Abbreviation for three times a week.
89435|T1||In magnetic resonance, the time for 63% of longitudinal relaxation to occur; the value is a function of magnetic field strength and the chemical environment of the hydrogen nucleus; for protons in fat and in water, in a 1.5T magnet, about 250 milliseconds and 3000 milliseconds, respectively. A T1-weighted image will have a bright fat signal.
43573|T1 weighted image||MRI made with pulse spin echo or inversion recovery sequence with short TR and TE to show contrast between tissues with different T1 values; an image with greater signal intensity from fat-containing tissues.
89436|T2||In magnetic resonance, the time for 63% of transverse relaxation to occur; the value is a function of magnetic field strength and the chemical environment of the hydrogen nucleus; for protons in fat and in water, in a 1.5T magnet, about 60 milliseconds and 250 milliseconds, respectively. A T2-weighted image will have a bright water signal.
43574|T2 weighted image||image made with a sequence with long TR and TE to show contrast in tissues with varying T2 relaxation times; water gives a strong signal.
89437|T2*||The effective T2 relaxation time, shorter than T2 because of magnetic field inhomogeneities; the observed time constant of free induction decay.  In gradient echo images, contrast depends on T2*, whereas in sequences with a 180° rephasing pulse, the contrast depends on T2.
89441|T₃||Symbol for 3,5,3′-triiodothyronine.
90884|T₃ uptake test||
89442|T₄||Symbol for thyroxine.
89445|tₘ||Symbol for temperature midpoint (Celsius).
89440|Tₘ||Symbol for temperature midpoint (kelvin); melting point.
89446|TA||Abbreviation for Terminologia Anatomica.
89448|Ta||Symbol for tantalum.
89449|tab||Abbreviation for tablet.
