95373|ubiquinol
95374|ubihydroquinone
95384|UDPglucose 4-epimerase
95387|uridine diphosphoglucose
95388|UDPgalactose 4-epimerase
95388|uridine diphosphoglucose 4-epimerase
95389|hexose-1-phosphate uridylyltransferase
95389|phosphogalactoisomerase
95391|UDPglucuronate-bilirubinglucuronoside glucuronosyltransferase
95390|UDPglucuronate-bilirubin glucuronosyltransferase
4426|parchment right ventricle
87458|Uhthoff syndrome
88977|Uhthoff symptom
88334|Uhthoff symptom
95403|ulcus
85170|aphtha2
36996|necrotizing ulcerative gingivitis
95477|ulcer
95485|cubitus2
95487|ulnaris
7517|arteria ulnaris
11479|margo ulnaris antebrachii
11479|margo medialis antebrachii
11479|medial border of forearm
11479|ulnar margin of forearm
12232|posterior branch of medial cutaneous nerve of forearm
13046|common flexor sheath (of hand)
13727|canalis ulnaris
13727|canal of Guyon
49832|ulnar collateral ligament of elbow joint
49833|ligamentum collaterale ulnare articulationis cubiti
49833|medial collateral ligament of elbow
49833|ulnar collateral ligament
49834|internal collateral ligament of the wrist
49834|medial ligament of wrist
12231|communicating branch of superficial radial nerve with ulnar nerve
28636|eminentia carpi ulnaris
57261|extensor carpi ulnaris (muscle)
57262|flexor carpi ulnaris (muscle)
39406|caput ulnare
39407|caput ulnare musculi extensoris carpi ulnaris
52811|ulnar border of forearm
59621|nervus ulnaris
59621|cubital nerve
61204|incisura ulnaris
7518|arteria recurrens ulnaris
7518|recurrent ulnar artery
76965|pronator reflex
97571|venae ulnares
95488|ulnar
11103|ultimopharyngeal body
21765|electron beam tomography
95508|submicroscopic
14453|echocardiography
76005|supersonic rays
95513|sonogram
95514|sonograph
95515|echographer
95515|sonographer
95516|echography
95516|sonography
14454|echocardiography
95530|fine structure
46821|actinic conjunctivitis
46821|arc-flash conjunctivitis
46821|flash keratoconjunctivitis
46821|ophthalmia nivalis
46821|snow conjunctivitis
46821|welder's conjunctivitis
18689|opal codon
58084|opal mutation
95541|omphalic
7519|arteria umbilicalis
20390|chorda umbilicalis
20390|funiculus umbilicalis
20390|funis1
22472|vitellointestinal cyst
26905|yolk stalk
30799|omphalocele
32157|fascia umbilicalis
32157|umbilical prevesical fascia
32157|umbilicovesical fascia
33623|fissura umbilicalis
33623|left portal scissura
35155|fissure for ligamentum teres
