96380|v||Abbreviation for volt; initial rate velocity; velocity; vel [L. or].&#&As a subscript, refers to venous blood.
96378|V||Abbreviation for volume.
96375|V||Abbreviation for vision or visual acuity; volt; with subscript 1, 2, 3, etc., the abbreviation for unipolar electrocardiogram leads.&#&Symbol for vanadium; valine; valyl; volume, frequently with subscripts denoting location, chemical species, and/or conditions.
4957|V antigen||viral antigen that is intimately associated with the virus particle, is protein in nature, has multiple antigenicities, and is strain specific; antibody to such antigen is demonstrable as protective or neutralizing antibody, such as hemagglutinin projections on surface of influenza virus.
36681|V gene||the gene coding for the major part of the variable region of an immunoglobulin chain.
48576|V lead||a unipolar lead with the central terminal as the indifferent electrode; V is the symbol for unipolar (Latin “U”).
99710|V wave||a large pressure wave visible in recordings from either atrium or its incoming veins, normally produced by venous return but apparently becoming very large when blood regurgitates through the AV valve beyond the chamber from which the recording is made.  This regurgitant wave is not a true V wave, which is a passive (filling) wave.
14400|V-2 carcinoma||a transplantable, highly malignant carcinoma of experimental animals; developed as a result of malignant change in a virus-induced papilloma of a domestic rabbit.
97047|V-bends|bendz|V-shaped bends incorporated in an archwire, usually placed mesially or distally to the canines (cuspids) and used as a “dead” area of wire through which torquing bends may be placed.
99319|V-max||
99321|V-MI||Abbreviation for Volpe-Manhold Index.
30463|V-pattern esotropia||convergent strabismus greater in downward than in upward gaze.
31029|V-pattern exotropia||divergent strabismus greater in upward than in downward gaze.
6269|V-shaped area of esophagus||
33901|V-Y flap||a technique in which a flap is incised in the shape of a V but advanced and inset so that the resulting suture line has the shape of a Y;  used to gain additional length of tissue.
99488|V-Y plasty|plas′tē|
96376|VD||Symbol for physiologic dead space.
96379|Vₘₐₓ||Symbol for maximum velocity.
96377|VT||Symbol for tidal volume.
96382|VA||Abbreviation for ventriculoatrial.
96383|VAC||Abbreviation for ventriculoatrial conduction.
96384|vaccenic acid|vak-sen′ik as′id|An unsaturated fatty acid of which both cis and trans isomers are found in butter and other animal fats.
96385|vaccina|vak-si′nă|
96386|vaccinal|vak′si-năl|Relating to vaccine or vaccination.
96387|vaccinate|vak′si-nāt|To administer a vaccine.
68321|vaccination||vaccinophobia.
96388|vaccination|vak′si-nā′shŭn|The act of administering a vaccine.
96390|vaccinator|vak′si-nā′tŏr|A person who vaccinates.&#&A scarifier or other instrument used in vaccination.
96391|vaccine|vak′sēn, vak-sēn′|
11105|vaccine bodies||old term pertaining to intracellular bodies that were erroneously thought to be forms in the life cycle of a protozoan organism, Cytorhyctes vaccinae, postulated to be the causal agent of vaccinia.
51617|vaccine lymph||that collected from the vesicles of vaccinia infection, and used for active immunization against smallpox.
99085|vaccine virus||
96456|vaccinia|vak-sin′ē-ă|An infection, primarily local and limited to the site of inoculation, induced in humans by inoculation with the vaccinia virus, type species in the genus Orthopoxvirus (family Poxviridae) to confer resistance to smallpox. On about the third day after this vaccination, papules form at the site of inoculation, which are transformed into umbilicated vesicles and later pustules; they then dry up, and the scab falls off on about the 21st day, leaving a pitted scar; in some cases there are more or less marked constitutional disturbances. Because of the global elimination of smallpox, routine vaccination is not now practiced.
96457|vaccinia gangrenosa||
99086|vaccinia virus||the poxvirus (genus Orthopoxvirus) used in the immunization of people against variola (smallpox), usually causing a local reaction but sometimes generalized vaccinia, especially in children; the virus is closely related serologically to the viruses of variola and cowpox, but certain differences have been demonstrated that indicate that they are perhaps distinct but closely related strains of a variola-vaccinia-cowpox complex; the lineage of vaccinia virus is uncertain, and it is very unlikely that it descended from Jenner original virus.
96461|vaccinial|vak-sin′ē-ăl|Relating to vaccinia.
96462|vacciniform|vak-sin′i-fōrm|Resembling vaccinia.
96463|vaccinist|vak′si-nist|
96464|vaccinization|vak′sin-i-zā′shŭn|Vaccination repeated at short intervals until it will no longer take.
96465|vaccinogen|vak-sin′-ō-jen|A source of vaccine, such as an inoculated heifer.
