31834|biotin
76007|intermediate rays
54033|pupillary membrane
54033|cell membrane
41315|homeorrhesis
99500|waddling gait
35927|waddle
25883|hyaloideoretinal degeneration
89016|hyaloideoretinal degeneration
88373|hyaloideoretinal degeneration
52168|hyperglobulinemic purpura
52168|Waldenström purpura
52168|Waldenström syndrome
74219|Waldenström macroglobulinemia
89018|Waldenström macroglobulinemia
88375|Waldenström macroglobulinemia
81484|Waldeyer space
83197|Waldeyer sheath
78742|pharyngeal lymphatic ring
93035|dorsolateral fasciculus
48526|dorsolateral fasciculus
95301|ambulatory typhoid
95301|latent typhoid
99512|paries
99558|exotropia
89019|posterior inferior cerebellar artery syndrome
88376|posterior inferior cerebellar artery syndrome
13742|minor sublingual ducts
13742|under duct
26910|minor sublingual ducts
36249|ganglion impar
70086|cavernous nerve plexus
286|perforating abscess
15957|ameboid cell
30240|erysipelas migrans
38010|diving goiter
47076|floating kidney
51007|hepatoptosis
63237|floating organ
63237|ptotic organ
64341|shifting pacemaker
70398|migratory pneumonia
83916|floating spleen
86192|Wangensteen tube
94437|Wangensteen suction
11530|Dermatobia hominis
71200|porus
99567|ox warbles
5669|Barcroft-Warburg apparatus
29595|NADPH dehydrogenase
29596|Atmungsferment
81638|pentose phosphate pathway
81639|pentose phosphate pathway
89020|Romano-Ward syndrome
88377|Romano-Ward syndrome
99576|homeothermic
4306|homeotherm
81640|distal splenorenal shunt
99580|verruca
94956|adenolymphoma
94956|papillary cystadenoma lymphomatosum
99605|variola verrucosa
27272|isolated dyskeratosis follicularis
41572|cutaneous horn
82656|sodium carbonate
37264|gastric glands
15959|water-clear cell of parathyroid
76252|Wassermann test
90911|Wassermann reaction
99611|emaciation
25884|runt disease
89021|runting syndrome
89021|HIV wasting syndrome
88378|runting syndrome
88378|HIV wasting syndrome
99613|aromatic water
13888|noma
37384|soluble glass
46081|cutaneous larva migrans
46081|schistosomal dermatitis
99626|water of metabolism
99641|water of combustion
15960|wasserhelle cell
74028|cannonball pulse
74028|collapsing pulse
74028|piston pulse
74028|pulsus celerrimus
74028|triphammer pulse
85144|drain-trap stomach
99653|sluice
88379|acute fulminating meningococcal septicemia
88379|Friderichsen-Waterhouse syndrome
89022|acute fulminating meningococcal septicemia
89022|Friderichsen-Waterhouse syndrome
72648|occipitomental projection
72648|Waters view
98616|Waters projection
74930|maxillary sinus radiograph
56561|mill wheel murmur
31285|epiphora
39668|DNA helix
39668|double helix
39668|twin helix
34834|waveshape
99717|wave form
99718|beeswax
99718|cera
2079|fatty alcohol
34835|wax pattern
23701|trial denture
66281|wax form
23346|amyloid degeneration
23346|Zenker degeneration
33441|acroasphyxia
47077|amyloid kidney
51008|lardaceous liver
83917|lardaceous spleen
37267|accessory thyroid gland
88380|Verner-Morrison syndrome
89023|Verner-Morrison syndrome
99756|ischial bursitis
31286|pterygium1
99759|interdigital folds
99759|plica interdigitalis
48268|Weber-Fechner law
63238|prostatic utricle
82090|Weber syndrome
89025|Weber sign
88382|Weber sign
25885|relapsing febrile nodular nonsuppurative panniculitis
48269|Fechner-Weber law
48269|Weber law
11356|intermediate cuneiform (bone)
11356|lateral cuneiform (bone)
11356|medial cuneiform (bone)
46478|schindylesis
87286|schindylesis
32278|cuneate fasciculus
94561|cuneate tubercle
99099|western equine encephalomyelitis virus
9148|Haemophilus influenzae
25886|syphilitic osteochondritis
18621|Neisseria meningitidis
48270|overproduction theory
80922|pressure sense
48527|cell-free zone
48527|Weil basal zone
100531|Weil basal layer
25887|infectious icterus
25887|infectious jaundice1
76254|Weil-Felix test
90916|Weil-Felix reaction
76983|aponeurotic reflex
93493|Mitchell treatment
82091|Chvostek sign
14777|articular disc of acromioclavicular joint
20394|oblique cord of interosseous membrane of forearm
32992|retinaculum of articular capsule of hip
49848|oblique cord of interosseous membrane of forearm
9149|Clostridium perfringens
4231|sphenoidal angle of parietal bone
19915|ultraviolet keratoconjunctivitis
51967|small lymphocytic lymphoma
89028|eosinophilic cellulitis
88385|eosinophilic cellulitis
99820|wheal
98139|cavity of septum pellucidum
37266|duodenal glands
25888|spinal muscular atrophy type I
8496|spinal muscular atrophy type I
88386|multiple endocrine neoplasia syndrome type 1
89029|multiple endocrine neoplasia syndrome type 1
23127|decussation of superior cerebellar peduncles
90917|thyroid suppression test
5442|sensory aphasia
6270|Wernicke center
16114|sensory speech center
16114|Wernicke area
16114|Wernicke field
16114|Wernicke region
16114|Wernicke zone
25890|Wernicke syndrome
28950|Wernicke syndrome
33273|Wernicke center
74844|optic radiation
76256|Wernicke sign
77247|Wernicke center
82092|Wernicke reaction
89031|superior hemorrhagic polioencephalitis
89031|Wernicke disease
89031|Wernicke encephalopathy
88388|superior hemorrhagic polioencephalitis
