100096|X||Symbol for reactance when expressed on ohms.
100095|X||Symbol for the Kienböck unit when expressed in quantity; xanthosine; halogen atom; unspecified amino acid (also expressed as Xaa).
25903|X disease||one of several viral diseases of obscure etiology.
43928|X inactivation||
76008|X ray||
99711|x wave||the negative wave in the atrial and venous pulse curves produced when ventricular ejection moves the floors of the atria toward the ventricular apices.
100534|X zone||a transient adrenocortical zone present in some rodents at birth, most notably in mice, situated between the zona reticularis and the suprarenal medulla; it degenerates in males with the secretion at puberty and in females during their first pregnancy; it slowly enlarges in unmated females after puberty and does not degenerate until middle age; the X zone appears to secrete no hormone;&#&misnomer for the fetal suprarenal cortex of primates.
100211|X-inactivation|in′ak-ti-vā′shŭn|
51998|X-inactivation center lyonization||a centrally positioned, unique site of the transcriptionally silenced X chromosome where the process of chromosome inactivation begins and is spread.
100223|X-linked|linkt|Pertaining to genes borne on the X chromosome. Avoid confusing this word with sex-linked.
1582|X-linked agammaglobulinemia (XLA)||an X-linked recessive B-cell immune deficiency condition, with hypo- or agammaglobulinemia; the immune deficiency becomes apparent as maternally transmitted immunoglobulin levels decline in early infancy.
36684|X-linked gene||a gene located on an X chromosome.
42867|X-linked hypogammaglobulinemia||a congenital, primary immunodeficiency characterized by decreased numbers (or absence) of circulating B lymphocytes with corresponding decrease in immunoglobulins of the five classes; associated with marked susceptibility to infection by pyogenic bacteria (notably, pneumococci and Haemophilus influenzae) beginning after loss of maternal antibodies; X-linked recessive inheritance caused by mutation in the Bruton tyrosine kinase gene (BTK) on Xq.
42868|X-linked hypogammaglobulinemia with growth hormone deficiency||hypogammaglobulinemia combined with a reduced number of B cells; characterized by short stature, delayed puberty, and recurrent infections.
43305|X-linked ichthyosis||a form of ichthyosis, with onset at birth or in early infancy and affecting males; characterized by scaling predominantly on the scalp, neck, and trunk that progresses centripetally; the palms and soles are spared; histologic manifestations are hyperkeratosis, a granular layer in the epidermis, and normal epidermal cell turnover; X-linked recessive inheritance, caused by mutation in the steroid sulfatase gene (STS) on Xp.
44606|X-linked inheritance||the pattern of inheritance that may result from a mutant gene on an X chromosome.
51261|X-linked locus||any locus that in normal karyotypes is borne on the X chromosome.
25904|X-linked lymphoproliferative disease (XLP)||
88410|X-linked lymphoproliferative syndrome||an X-linked recessive immunodeficiency and lymphoproliferative disease caused by mutation in the SH2 domain protein 1A gene (SH2D1A) on Xq; characterized by defective cellular or humoral immune response to Epstein-Barr virus; manifestations include fulminant infectious mononucleosis, B-cell malignancies, and hypogammaglobulinemia.
89053|X-linked lymphoproliferative syndrome||an X-linked recessive immunodeficiency and lymphoproliferative disease caused by mutation in the SH2 domain protein 1A gene (SH2D1A) on Xq; characterized by defective cellular or humoral immune response to Epstein-Barr virus; manifestations include fulminant infectious mononucleosis, B-cell malignancies, and hypogammaglobulinemia.
60172|X-linked recessive bulbospinal neuronopathy||
30464|X-pattern esotropia||decreasing convergence from the primary position in both upward and downward gaze.
31030|X-pattern exotropia||increasing divergence from primary position in both upward and downward gaze.
100226|x-radiation|eks′rā′dē-ā′shŭn|Radiant energy from an x-ray tube.
100227|x-ray|eks′rā|The ionizing electromagnetic radiation emitted from a highly evacuated tube, resulting from the excitation of the inner orbital electrons by the bombardment of the target anode with a stream of electrons from a heated cathode.&#&Ionizing electromagnetic radiation produced by the excitation of the inner orbital electrons of an atom by other processes, such as nuclear delay and its sequelae.
26553|x-ray dosimetry||
36719|x-ray generator||the electronic device that controls production of x-rays in radiography; a key function is rectification of line voltage to produce a smooth direct current voltage to the x-ray tube.
55307|x-ray microscope||a microscope in which images are obtained by using x-rays as an energy source that are recorded on a very finely grained film; alternately, the image can be enlarged by projection; if film is used, it may be examined with a light microscope at fairly high magnifications.
91418|x-ray therapy||radiation therapy using x-rays; sometimes used ironically to refer to excessive use of diagnostic radiation.
94438|x-ray tube||
85240|X-strabismus||strabismus in which exotropia is more marked when one is looking upward or downward than when one is looking straight ahead.
100097|Xaa||Symbol for unspecified amino acid (also expressed as X).
100098|Xan||Abbreviation for xanthine.
100099|xanth-||
100100|xanthelasma|zan′thĕ-laz′mă|
100102|xanthelasma palpebrarum||soft, yellow-orange plaques on the eyelids or medial canthus, the most common form of xanthoma; may be associated with low-density lipoproteins, especially in younger adults.
100103|xanthematin|zan-thēm′ă-tin|A yellow substance derived from hematin by treating with nitric acid.
100104|xanthemia|zan-thē′mē-ă|
100105|xanthene|zan′thēn|The basic structure of many natural products, drugs, dyes (fluorescein, pyronin, eosins), indicators, pesticides, antibiotics, etc.&#&A class of molecules based upon xanthene (1).
27145|xanthene dyes||derivatives of the compound xanthene; include the pyronins, rhodamines, and fluoresceins.
100106|xanthic|zan′thik|Yellow or yellowish in color.&#&Relating to xanthine.
100107|xanthidylic acid|zan′thi-dil′ik as′id|
100108|xanthine (Xan)|zan′thēn|Oxidation product of guanine and hypoxanthine, precursor of uric acid; occurs in many organs and in the urine, occasionally forming urinary calculi; elevated in molybdenum cofactor deficiency and in xanthinuria.
100109|xanthine dehydrogenase||an oxidoreductase oxidizing xanthine to urate with NAD⁺ as the oxidant. A lower rate of oxidation is observed in individuals with molybdenum cofactor deficiency.
100110|xanthine nucleotide||
64177|xanthine oxidase||a flavoprotein containing molybdenum; an oxidoreductase catalyzing the reaction of xanthine, O₂, and H₂O to produce urate and superoxide. Also oxidizes hypoxanthine, some other purines and pterins, and aldehydes. A lower rate of oxidation is observed in patients with molybdenum cofactor deficiency.
100111|xanthine ribonucleoside||
100112|xanthinol niacinate|zan′thi-nōl nī′ă-sin′āt|A peripheral vasodilator.
100113|xanthinuria|zan′thi-nyū′rē-ă|Excretion of abnormally large amounts of xanthine in the urine.&#&A disorder [MIM*278300], characterized by urinary excretion of xanthine in place of uric acid, hypouricemia, and occasionally the formation of renal xanthine stones. There are two types: type I is due to xanthine dehydrogenase (XDH) deficiency, and type II is due to deficiencies of both XDH and aldehyde oxidase. Autosomal recessive inheritance, caused by mutation in the XDH gene on chromosome 2p in some cases.
100114|xanthism|zan′thizm|A pigmentary anomaly of blacks, characterized by red or yellow-red hair color, copper-red skin, and often by dilution of iris pigment; autosomal recessive inheritance caused by mutation in the tyrosinase-related protein 1gene (TYRP1) on chromosome 9.
100115|xanthiuria|zan′thi-yū′rē-ă|
100116|xantho-||Yellow, yellowish.
100117|xanthoastrocytoma|zan′thrō-as′trō-sī-tō′mă|
100119|xanthochromatic|zan′thō-krō-mat′ik|Yellow-colored.
