100258|Y||Symbol for yttrium; tyrosine; pyrimidine nucleoside.
11114|Y body||a single fluorescent spot originating in the long arm of the Y chromosome and visible in somatic nuclei of buccal smears.
14780|Y cartilage||the connecting cartilage for the ilium, ischium, and pubis; it extends through the acetabulum.
99712|y wave||the negative wave in the atrial and venous pulse curves reflecting rapid filling of the ventricles just after the atrioventricular valves open.
100261|y-||Abbreviation for yocto-.
100259|Y-||Abbreviation for yotta-.
4233|y-angle||in craniometry, the angle at the inion formed by lines drawn from the hormion and the lambda.
8986|Y-axis||a cephalometric indicator of the vertical and horizontal coordinates of mandibular growth expressed in degrees of the inferior facial angle formed by the intersection of the sella-gnathion plane with the Frankfort horizontal plane.
100310|Y-linkage|link′ij|The state of a genetic factor (gene)'s being borne on the Y chromosome. This idea is analogous with X-linkage, but given that the Y chromosome does not fully take part in chiasma formation and recombination, it is not amenable to analysis by conventional linkage methods. Little is known about its content. There is a gene for the H-Y antigen, and indirect arguments suggest that there is a principle that determines the formation of the testis and masculinization of the fetus but its localization, although narrowing the limits, remains elusive.
36685|Y-linked gene||a gene located on a Y chromosome.
44607|Y-linked inheritance||the pattern of inheritance that may result from a mutant gene located on a Y chromosome.
51262|Y-linked locus||any (haploid) locus that in normal karyotypes is borne on the Y chromosome. The known content is so far small.
49852|Y-shaped ligament||
100260|y⁺||
99106|Yaba monkey virus||
99105|Yaba virus||a poxvirus from the Yatapoxvirus, family Poxviridae, distinct from monkeypox virus, which causes Yaba tumors in monkeys.
100262|YAC||Abbreviation for yeast artificial chromosomes, under chromosome.
100263|YAG||Abbreviation and acronym for yttrium-aluminum-garnet.
100264|yang|yang|
100266|Yang-Monti catheterizable channel|yang-mahn′tē kath′ĕ-tĕr-ī′a-bil chan′el|A variant of the Mitrofanoff procedure in which a short segment of bowel is reconfigured into a long tube positioned between bladder and skin to permit intermittent catheterization.
100265|yanggona|yang′gō-nă|
27954|Yangtze edema||
32805|Yangtze Valley fever||
100267|yaqona|ya′kō-nă|A Fijian drink made from the powdered root of Piper methysticum (family Piperaceae); excessive drinking of it causes a state of hyperexcitability and a loss of power in the legs; chronic intoxication induces roughening of the skin and a state of debility.
100268|Yato-byo|yah′tō-bi-ō′|Japanese term (“wild hare disease”) for tularemia.
100269|yaw|yaw|An individual lesion of an eruption of yaws.
100271|yawn|yawn|To gape.&#&An involuntary opening of the mouth, usually accompanied by inspiration; it may be a sign of drowsiness or of vital depression, as after hemorrhage, but is often caused by suggestion.
100272|yawning|yawn′ing|The act of producing a yawn.
100273|yaws|yawz|An infectious tropical disease caused by Treponema pertenue and characterized by the development of crusted granulomatous ulcers on the extremities; may involve bone, but, unlike syphilis, does not produce central nervous system or cardiovascular pathology.
100277|Yb||Symbol for ytterbium.
100278|year|yēr|An approximately 365-day period, the time the earth takes to revolve around the sun.
100280|years of potential life lost (YPLL)||measure of the relative impact of various diseases and lethal forces on society, computed by estimating the years that people would have lived if they had not died prematurely due to injury, cancer, heart disease, or other causes.
