100332|Z||Abbreviation for benzyloxycarbonyl (carbobenzoxy-); symbol for an amino acid that is either glutamic acid, glutamine, or a substance that yields glutamic acid on acid hydrolysis of peptides (4-carboxyglutamate or 5-oxyproline); carbobenzoxy; in italics, zusammen.
100335|z||Abbreviation for zepto-.
100333|Z||Abbreviation for atomic number.
9404|Z band||
25205|Z disc||
33309|Z filament||the thin zig-zag structure at the Z line of striated muscle fibers to which the actin filaments attach.
36686|Z gene||the structural gene for β-galactosidase.
50537|Z line||a cross-striation bisecting the I band of striated muscle myofibrils and serving as the anchoring point of actin filaments at either end of the sarcomere.
80339|Z score||a score expressed in standard deviation units from a given mean of age-matched controls.
100334|Z-||Abbreviation for zetta-.
100336|z-||Abbreviation for zepto-.
23775|Z-DNA||a form of DNA in which the helix is left handed and the overall appearance is elongated and slim.
100602|Z-plasty|plas′tē|Technique to increase soft tissue length along a selected axis; change the direction of a malaligned scar 90 degrees; obliterate or create a web or cleft (as in syndactyly or thumb-web contractures); or alter surface contour. The central limb is located along the malaligned scar or the site of greatest tension; opposing flaps are constructed at each end (or at intervals) along the central limb at angles of 30–90 degrees depending on clinical circumstances. The flaps are elevated and transferred, reorienting the central limb by 90 degrees.
73057|Z-protein||a fatty acid–binding protein that participates in the intracellular movement of fatty acids.
44708|Z-tract injection||a technique in which the skin and subcutaneous tissue are displaced laterally before inserting the needle intramuscularly; used to prevent leakage along the track of the needle and consequent tissue irritation.
100337|Zaffaroni|zah-fah-rō-nē|Alejandro, 20th-century Uruguayan-U.S. chemist and biochemist.
89383|Zaffaroni system|ză-fă-rō′nē|a chromatographic system for the separation of steroids.
100338|zafirlukast|za′fir-lū′kast|A blocker of leukotriene D₄ and E₄ (LTD₄ and LTE₄) components of a slow-reacting substance of anaphylaxis (SRSA); used for the prophylaxis of asthma attacks.
100339|Zaglas|zag-las′|John, 19th-century anatomist's assistant in Edinburgh, Scotland.
49853|Zaglas ligament|zăg′lăs|a short thick fibrous band extending from the posterior superior spine of the ileum to the second transverse tubercle of the sacrum.
100340|Zahn|zahn|Friedrich W., German pathologist, 1845–1904.
44358|Zahn infarct|zahn|a pseudoinfarct of the liver, consisting of an area of congestion with parenchymal atrophy but no necrosis; due to obstruction of a branch of the portal vein.
99108|Zaire virus|zah-ēr′|a variant of Ebola virus.
95468|Zambezi ulcer||
25906|Zamboni disease|zam-bō′nē|name applied to a range of problems, including acute pulmonary edema, associated with activity in enclosed ice rinks, resultant from inhalation of various nitrogen oxides in the exhaust of the gasoline-powered ice resurfacing machine, the Zamboni.
100341|Zambusch|zam′bush|Leo von, 20th-century German physician.
100342|zanamivir|zan-am′i-vir|An agent that inhibits neuraminidase of influenza virus.
100343|ZAP-70|zap|Acronym for zeta-chain–associated protein.
100344|Zappert|tsap′ert|Julius, Austrian physician, 1867–1942.
16474|Zappert counting chamber|zahp′ĕrt|a special, standardized glass slide used for counting cells (especially erythrocytes and leukocytes) and other particulate material in a measured volume of fluid; the central portion is precisely ground in such a manner that the uniformly flat surface is exactly 0.1 mm lower than that of two parallel ridges on which a special, uniformly flat coverslip may be placed; accurately etched lines on the flat central portion form the boundaries of groups of squares of known areas, thereby providing the basis for determining the volume of fluid in which the cells are counted. Glass slides of this type are frequently known as hemocytometers.
45255|Zarit burden interview||a structured verbal interaction used to evaluate levels of stress in family members or caregivers of Alzheimer patients.
100345|Zavanelli|za-va-nel′ē|William, 20th-century U.S. obstetrician.
52620|Zavanelli maneuver|zah-vah-nel′lē|
100421|Zöllner|zel′ner|Johann F., German physicist, 1834–1882.
50539|Zöllner lines|tsōrl′nĕr|
100346|zea|zē′ă|The styles and stigmas of Zea mays (family Gramineae), Indian corn; formerly used as a diuretic and antispasmodic.
100347|zearalenone|zē-ă-ral′e-nōn|One of the resorcylic acid lactones; used in veterinary medicine as an anabolic.
100348|zeatin|zē′ă-tin|A cytokinin first isolated from kernels of sweet corn.
100349|zeaxanthin|zē′ă-zan′thin|
100350|zeaxanthol|zē′ă-zan′thol|
11116|zebra body||metachromatically staining membrane-bound granules, measuring 0.5–1 mcm in diameter and containing lamellae with a 5.8 nm spacing, reported in Schwann cells and macrophages of patients suffering from metachromatic leukodystrophy.
100351|Zeeman|tsē′man|Pieter, Dutch physicist and Nobel laureate, 1865–1943.
28055|Zeeman effect||the splitting of spectral lines into three or more symmetrically placed lines when the light source is subjected to a magnetic field.
100352|ZEEP||Abbreviation for zero end-expiratory pressure.
100353|zein|zē′in|A prolamine present in maize; it lacks chiefly the amino acids l-tryptophan and l-lysine and is also low in cysteine content. It is the main storage protein in maize.
100354|Zeis|zīs|Eduard, Dresden ophthalmologist, 1807–1868.
37269|Zeis glands|zīs|sebaceous glands opening into the follicles of the eyelashes.
100355|zeisian|zīs′ē-ăn|Relating to or described by Eduard Zeis.
85752|zeisian sty||inflammation of one of the Zeis glands.
100356|zeitgeist|zīt′gīst|In psychology, the climate of opinion, conventions of thought, covert influences, and unquestioned assumptions that are implicit in a given culture, the arts, or sciences at any point in time, and in which a person operates and thus is influenced.
100357|Zellweger|zel′weg-ĕr|Hans U., U.S. pediatrician, 1909–1990.
88417|Zellweger syndrome|zel′weg-ĕr|a metabolic disorder with neonatal onset, characterized by distinctive facies, muscular hypotonia, hepatomegaly with jaundice, renal cysts, epiphyseal stippling of the patellae, cerebral dysmyelination, and neuronal migration defects and psychomotor retardation; there is a perturbation in peroxisomal biogenesis; autosomal recessive inheritance, caused by mutation in any one of several peroxin (PEX) genes on chromosome 6, 7, 8, or 12.
89060|Zellweger syndrome|zel′weg-ĕr|a metabolic disorder with neonatal onset, characterized by distinctive facies, muscular hypotonia, hepatomegaly with jaundice, renal cysts, epiphyseal stippling of the patellae, cerebral dysmyelination, and neuronal migration defects and psychomotor retardation; there is a perturbation in peroxisomal biogenesis; autosomal recessive inheritance, caused by mutation in any one of several peroxin (PEX) genes on chromosome 6, 7, 8, or 12.
100358|zelophobia|zē′lō-fō′bē-ă|Morbid fear of jealousy.
100359|zelotypia|zē′lō-tip′ē-ă|Excessive zeal, carried to the point of morbidity, in the advocacy of any cause.
100360|Zenker|zen′kĕr|Friedrich A., German pathologist, 1825–1898.
23348|Zenker degeneration|zen′kĕr|obsolete term for a form of severe hyaline degeneration or necrosis in skeletal muscle, occurring in severe infections.
26292|Zenker diverticulum|zen′kĕr|
33811|Zenker fixative|zen′kĕr|a rapid fixative consisting of mercuric chloride, potassium dichromate, sodium sulfate, glacial acetic acid, and water useful for trichrome stains; must be washed to remove potassium dichromate and treated with iodine solution to remove mercuric chloride; tissues tend to become brittle if left in the fixative for more than 24 hours.
65136|Zenker paralysis|zen′kĕr|obsolete term for lesion of the common peroneal nerve, usually at the fibular neck.
100361|zeolite|zē′ō-līt|A naturally occurring hydrated sodium aluminum silicate, Na₂O·Al₂O₃·(SiO₂)ₓ·(H₂O)ₓ, used for softening of hard water by exchanging its Na⁺ for the Ca²⁺ of the water; thus zeolite is an ion exchanger. Some synthetic ion exchangers are termed synthetic zeolites, although no chemical relationship exists.
100362|zeoscope|zē′ō-skōp|A device for determining the alcoholic content of a liquid by ascertaining its exact boiling point.
100363|zepto- (z)||Prefix used in the SI and metric systems to signify submultiples of 10−²¹.&#&Prefix used in the metric system and SI to signify one sextillionth (10−²¹).
100364|zero|zē′rō|The figure 0, indicating the absence of magnitude, or nothing.&#&In thermometry, the point from which the figures on the scale start in one or the other direction; in the Celsius and Réaumur scales, zero indicates the freezing point for distilled water; in the Fahrenheit scale, it is 32° below the freezing point of water.
92601|zero degree teeth||prosthetic teeth having no cusp angles in relation to the horizontal.
72009|zero end-expiratory pressure (ZEEP)||airway pressure that, at the end of expiration, equals atmospheric pressure.
100366|zero gravity|zē′rō grav′i-tē|A physical state existing in space or at a time in flight when the centrifugal thrust of a parabolic glide or turn exactly counteracts the force of gravity.
23776|zero time-binding DNA||DNA that has become the duplex form at the start of a reassociation process.
76264|zero-order reaction||a reaction that proceeds at a particular rate independently of the concentration of the reactant or reactants.
100367|ZES||Abbreviation for Zollinger-Ellison syndrome.
100368|zeta|zā′tă|The sixth letter of the Greek alphabet, ζ.&#&In chemistry, denotes the sixth in a series, the sixth carbon from a functional group.&#&Symbol for electrokinetic potential.
71579|zeta potential||the degree of negative charge on the surface of a red blood cell; the potential difference between the negative charges on the red cell and the cation in the fluid portion of the blood.
75955|zeta sedimentation ratio (ZSR)||the ratio of the zetacrit to the hematocrit, normally 0.41–0.54 (41–54%); it is a sensitive indicator of the erythrocyte sedimentation rate (ESR) and, unlike the latter, is unaffected by anemia, which tends to elevate the ESR.
73058|zeta-chain–associated protein||protein tyrosine kinase involved in T-cell signal transduction. Inadequate production of it is associated with low CD8⁺ cell counts and severe combined immunodeficiency.
100369|zetacrit|zā′tă-krit|The packed cell volume produced by vertical centrifugation of blood in capillary tubes, allowing controlled compaction and dispersion of red blood cells; read with a hematocrit to produce the zeta sedimentation ratio.
100370|zetaprotein|zā′tă-prō′tēn|
100371|zetta-||Prefix used in the metric system and SI to signify one sextillion (10²¹).
100372|zeugmatography|zūg′mă-tog′ră-fē|Term coined by Lauterbur in 1972 for the joining of a magnetic field and spatially defined radiofrequency field gradients to generate a two-dimensional display of proton density and relaxation times in tissues, the first nuclear magnetic resonance image.
100373|zidovudine|zī-dō′vū-dēn|A thymidine analog that is an inhibitor of in vitro replication of HIV virus, the causative agent of AIDS and ARC, and is used in the management of these diseases.
100374|Ziegler|zēg′ler|Samuel L., U.S. ophthalmologist, 1861–1926.
100375|Ziehen|zē′hen|Georg T., German psychiatrist, 1862–1950.
25907|Ziehen-Oppenheim disease|tsē-en op′ēn-hīm|
100376|Ziehl|zēl|Franz, German bacteriologist, 1857–1926.
