93764|(2,4,5-trichlorophenoxy)acetic acid (2,4,5-T)|trī-klōr′ō-fe-nok′sē-a-sē′tik as′id|A herbicide and defoliant synthesized by condensation of chloracetic acid and 2,4,5-trichlorophenol, used as the principal constituent of Agent Orange.
24619|(2,4-dichlorophenoxy) acetic acid (2,4-D)|dē-klōr′ō-fe-nok′sē a-sē′tik as′id|An herbicide, more toxic to broad-leaved dicotyledonous plants (weeds) than to monocotyledonous ones (grains and grass), used with (2,4,5-trichlorophenoxy)acetic acid as a constituent of Agent Orange.
83643|(4E)-sphingenine|sfing′ĕ-nēn
6969|(anterior and posterior) radicular arteries||branches of spinal arteries distributed to the posterior and anterior roots of spinal nerves and their coverings.
6970|(anterior and posterior) superior pancreaticoduodenal artery||origin, gastroduodenal; one of two terminal arteries, anterior and superior; distribution, head of pancreas, duodenum, bile duct; anastomoses (anterior and posterior), inferior pancreaticoduodenal, splenic.
97129|(anterior and posterior) vestibular veins||veins draining the saccule and utricle; they are tributaries of both the labyrinthine veins and the vein of the vestibular aqueduct.
83072|(cranial) extradural space||space between the cranial bones and the external periosteal layer of the dura; it becomes an actual space only pathologically, as when as extradural or epidural hemorrhage occurs forming a hematoma.
31986|(deep) cervical fascia||fascia of the neck; it is divided into an external or investing layer (superficial lamina) that surrounds the neck and encloses the trapezius and sternocleidomastoid muscles, a middle or pretracheal layer in relation to the infrahyoid muscles and cervical viscera, and a deep or prevertebral layer applied to the vertebrae and axial muscles.
56713|(elevator) muscle of soft palate|
7210|(lateral and medial) palpebral arteries||branches of the ophthalmic supplying the upper and lower eyelids, consisting of two sets, lateral and medial.
8|a||Abbreviation for total acidity; ante; area; asymmetric; auris; artery; arteria [TA].&#&Symbol for atto-.&#&As a subscript, refers to systemic arterial blood.
7|A||Symbol for absorbance; affinity; Helmholtz energy.
4|A||Abbreviation for ampere; adenine; alanine; alanyl.&#&As a subscript, refers to alveolar gas.&#&Symbol (usually capitalized italic, A) for absorbance.&#&Symbol for adenosine or adenylic acid in polynucleotides; alanine or alanyl in polypeptides.&#&First substrate in a multisubstrate enzyme-catalyzed reaction.
9|a||Symbol for specific absorption coefficient; abbreviation for absorptivity; activity.
