27572|E||Symbol for exa-; extraction ratio; glutamic acid; energy; electromotive force; glutamyl; internal energy.&#&As a subscript, refers to expired gas; obsolete symbol for einsteinium.
27578|e||Symbol for elementary charge; base of natural, or Napierian, logarithms (2.71828...). It is the limit of 1 + (1/n!).
27576|E||Abbreviation for entgegen.
79006|E rosette|ro-zet′|the adherence of erythrocytes to cells. Sheep erythrocytes will adhere spontaneously to human T cells, forming rosettes.
80767|E selectin||cell surface receptor produced by endothelium.
27639|E-cadherin|ē-căd-hĕr′in|
28178|E-LAM||Abbreviation for endothelial-leukocyte adhesion molecule.
87946|E-M syndrome||
90494|E-rosette test||a test to identify T lymphocytes by mixing purified blood lymphocytes with serum and sheep erythrocytes; rosettes of erythrocytes form around human T lymphocytes on incubation.
30401|E-selectin|ē-sē-lek′tin|An adhesion molecule involved in leukocytotaxia, expressed on endothelial cells after stimulation by cytokines.
27573|E₀⁺||Symbols for oxidation-reduction potential
27574|E₁||Symbol for estrone.
27575|E₂||Symbol for estradiol.
27577|Eₐ||Abbreviation for energy of activation.
79007|EAC rosette||indicates the presence of complement receptors. Erythrocytes (E) coated with antibody (A) and complement (C) are incubated with test cells; if the test cells have complement receptors, the EAC will adhere to these cells, forming rosettes.
7988|EAC rosette assay||
70180|Eadie-Hofstee plot|ē′de hahf′stē|a graphic representation of enzyme kinetic data in which velocities, v,  are plotted on the vertical axis as a function of the v:[S] ratio on the horizontal axis. On occasion, these axes are reversed. Sometimes referred to as the Eadie-Augustinsson plot or Woolf-Eadie-Augustinsson-Hofstee plot.
27579|EAE||Abbreviation for experimental allergic encephalitis; experimental allergic encephalomyelitis.
27581|Eagle|ē′gĕl|Watt W., 20th-century U.S. otolaryngologist.
27580|Eagle|ē′gĕl|Harry, U.S. physician and cell biologist, 1905–1992.
53494|Eagle basal medium|ē′gĕl|a solution of various salts containing 13 naturally occurring amino acids, several vitamins, two antibiotics, and phenol red; used as a tissue culture medium.
53495|Eagle minimum essential medium (MEM)|ē′gĕl|a tissue culture medium similar to Eagle basal medium but with different amounts and a few exclusions (antibiotics and phenol red).
87933|Eagle syndrome|ē′gel|pain (usually pharyngeal) and inflammation (usually tonsillar) due to overlong styloid process or calcification about the stylohyoid ligament. Therapy is surgical.
87932|Eagle-Barrett syndrome|ē′gĕl bar′ĕt|
19414|EAHF complex||a combination of allergies consisting of eczema, asthma and hay fever.
27582|Eales|ēlz|Henry, English ophthalmologist, 1852–1913.
25440|Eales disease|ēlz|peripheral retinal periphlebitis causing recurrent retinal or intravitreous hemorrhages in young adults.
27583|ear|ēr|The organ of hearing and equilibrium, composed of the external ear, consisting of the auricle, external acoustic meatus, and tympanic membrane; the middle ear, or tympanic cavity, with its auditory ossicles and associated muscles; and the internal ear, vestibulocochlear organ, which includes the bony labyrinth (of semicircular canals, vestibule, and cochlea), vestibular and cochlear labyrinths.
11218|ear bones||
13625|ear canal||
13626|ear canal|ēr kă-nal′|
21729|ear crystals||
51049|ear lobe||
21154|ear lobe crease||a diagonal crease found on one or both earlobes with a possible connection to coronary heart disease in males.
99728|ear wax||
76751|ear-cough reflex||reflexive cough resulting from stimulation within the auditory canal .
27607|earache|ēr′āk|Pain in the ear.
27608|eardrum|ēr′drŭm|
27609|Earle|ĕrl|Wilton R., U.S. pathologist, 1902–1964.
33207|Earle L fibrosarcoma|ĕrl|a transplantable fibrosarcoma derived from subcutaneous tissue of a mouse of C3H strain, grown in tissue culture to which 20-methylcholanthrene had been added.
82794|Earle solution|ĕrl|a tissue culture medium containing CaCl₂, MgSO₄, KCl, NaHCO₃, NaCl, NaH₂PO₄·H₂O, and glucose.
27477|early childhood onset autosomal dominant dystonia||
23013|early deceleration||slowing of the fetal heart rate early in the uterine contraction phase, denoting compression of the fetal head.
56515|early diastolic murmur||a murmur that begins with the second heart sound, as the murmur of aortic insufficiency.
25210|early discharge||discharge of a woman and the newborn from the hospital within 24 hours of a vaginal delivery or 48 hours after a cesarean section.
87934|early dumping syndrome||
29190|early endosomes||membrane-bound compartments located near the cell membrane with an internal pH of 6.0. Pinocytotic vesicles fuse with early endosomes and, frequently, receptors and ligands are uncoupled here. Receptors are returned to the cell membrane and ligands or other material delivered by pinocytotic vesicles are transferred to late endosomes.
8670|early infantile autism||
89180|early latent syphilis||infection with Treponema pallidum, the organism of syphilis, after the primary and secondary phases have subsided, during the first year after infection, before any manifestations of tertiary syphilis have appeared.
29779|early posttraumatic epilepsy||seizures beginning within 1 week after craniocerebral trauma.
76110|early reaction||
71554|early receptor potential (ERP)||a voltage arising across the eye from a charge displacement within photoreceptor pigment, in response to an intense flash of light.
80733|early seizure||a seizure occurring within 1 week after craniocerebral trauma.
89179|early syphilis||primary, secondary, or early latent syphilis, before any tertiary manifestations have appeared.
25441|early-onset Alzheimer disease|altz′hī-mĕr|Alzheimer disease developing before age 65.
77690|early-phase response||prompt onset of symptoms following an antigenic stimulus.
27610|earpiece|ēr′pēs|A part of a device inserted into the external auditory canal to deliver sound to the ear.
27611|earplug|ēr′plug|Generic term for occlusive devices for the external auditory canal for protection of hearing against noise-induced hearing loss or to prevent water from getting into the ear.
27612|earth|ĕrth|Soil; the soft material of the land, as opposed to rock and sand.&#&An easily pulverized mineral.&#&An insoluble oxide of aluminum or of certain other elements characterized by a high melting point.
99729|earth wax||
99631|earthy water||a water containing a large amount of mineral matter, chiefly sulfate, in solution.
27617|earwax|ēr′waks|
81724|East African sleeping sickness||
94311|East African trypanosomiasis||
28893|eastern equine encephalomyelitis (EEE)||
98812|eastern equine encephalomyelitis virus||a virus of the genus Alphavirus (formerly group A arbovirus), in the family Togaviridae, occurring in the eastern U.S.; it is normally present in certain wild birds and small rodents as an inapparent infection but is capable of causing eastern equine encephalomyelitis in horses and humans following transfer by the bites of culicine mosquitoes.
27618|eat|ēt|To take solid food.&#&To chew and swallow any substance as one would food.&#&To corrode.
68218|eating||phagophobia.
25995|eating disorders (ED)||a group of mental disorders including anorexia nervosa, bulimia nervosa, pica, and rumination disorder of infancy.
29780|eating epilepsy||epileptic, often generalized, seizures provoked by eating; a type of reflex epilepsy.
27619|Eaton|ē′tŏn|Lee M., U.S. neurologist, 1905–1958.
27620|Eaton|ē′tŏn|Monroe A., 20th-century U.S. microbiologist.
1676|Eaton agent|ē′tŏn|
87935|Eaton-Lambert syndrome|ē′tŏn lam′bert|
27621|EB||Abbreviation for elementary bodies1, under body.
98813|EB virus||
27622|Ebbinghaus|eb′ing-hows|Hermann, German, 1850–1909.
90492|Ebbinghaus test|eb′ing-hows|a psychological test in which the patient is asked to complete certain sentences from which several words have been deleted.
27623|Eberth|ā′berth|Karl J., German physician, 1835–1926.
9119|Eberth bacillus|ā′berth|
50376|Eberth lines|ā′berth|lines appearing between the cells of the myocardium when stained with silver nitrate.
67291|Eberth perithelium|ā′berth|an incomplete layer of connective tissue cells encasing the blood capillaries.
27624|Ebner|eb′nĕr|Victor von.
37108|Ebner glands|eb′nĕr|serous glands of the tongue opening into the foliate papillae as well as into the bottom of the trough surrounding the circumvallate papillae.
77841|Ebner reticulum|eb′nĕr|a network of nucleated cells in the seminiferous tubules.
32627|Ebola hemorrhagic fever||
98814|Ebola virus|ēb′ō-lă|a virus of the family Filoviridae, morphologically similar to but antigenically distinct from Marburg virus; the cause of Ebola fever (viral hemorrhagic fever). Transmission is parenteral. After an incubation period of about 1 week, disease comes on acutely with fever, headache, vomiting and diarrhea, weakness, and a maculopapular rash. Gastrointestinal bleeding and other hemorrhagic manifestations, including disseminated intravascular coagulation, may occur. The case fatality rate approximates 80%. Specific prevention and treatment are not available.
98815|Ebola virus Côte-d'Ivoire||
98816|Ebola virus Reston||
98817|Ebola virus Sudan||
98818|Ebola virus Zaire||
27625|ebonation|ē′bō-nā′shŭn|Removal of loose fragments of bone from a wound.
27627|Ebstein|eb′stēn|Wilhelm, German physician, 1836–1912.
4416|Ebstein anomaly|eb′stēn|congenital downward displacement of the tricuspid valve into the right ventricle.
25442|Ebstein disease|eb′stēn|
81895|Ebstein sign|eb′stīn|in pericardial effusion, obtuseness of the cardiohepatic angle on percussion.
27628|EBT||Abbreviation for electron beam tomography.
27629|ebullism|eb′yū-lizm|Formation of water vapor bubbles in the tissues brought on by an extreme reduction in barometric pressure; occurs if the body is exposed to pressures above an altitude of about 19,000 m (about 63,000 ft), or if a diver rises rapidly from a great depth to the surface.
27630|ebur|ē′bŭr|A tissue resembling ivory in outward appearance or structure.
27631|ebur dentis||
27632|eburnation|ē′bŭr-nā′shŭn|A change in exposed subchondral bone in degenerative joint disease in which it is converted into a dense substance with a smooth surface like ivory.
27633|eburnation of dentin||a condition observed in arrested dental caries wherein decalcified dentin is burnished and takes on a polished, often brown-stained appearance.
27634|eburneous|ē-bŭr′nē-ŭs|Resembling ivory, especially in color.
27635|eburnitis|ē-bŭr-nī′tis|Increased density and hardness of dentin, which may occur after the dentin is exposed.
27636|EBV||Abbreviation for Epstein-Barr virus.
27637|EC||Abbreviation for Enzyme Commission of the International Union of Biochemistry, used in conjunction with a unique number to define a specific enzyme in the Enzyme Commission's list [Enzyme Nomenclature] (1984); EC 1.1.1.1 defines an alcohol dehydrogenase and EC 2.6.1.1 defines aspartate aminotransferase, also known as glutamic-oxalacetic transaminase (GOT).
27638|ec-||Out of, away from.
27641|ecaudate|ē-kaw′dāt|Tailless.
27642|ecboline|ek′bŏ-lēn|
27643|eccentric|ek-sen′trik|Abnormal or peculiar in ideas or behavior.&#&Proceeding from a center.
3077|eccentric amputation||amputation with the scar of the stump off-center.
20103|eccentric contraction||controlled relaxation of a contracted muscle, movement occurring as a result of the lengthening of the muscle(s).
33762|eccentric fixation||a monocular condition in which the line of sight connects the object and an extrafoveal retinal area.
42698|eccentric hypertrophy||thickening of the wall of the heart or other cavity, with dilation.
43847|eccentric implantation||implantation in which the blastocyst lies in a uterine crypt, as in the mouse, rat, and hamster.
62110|eccentric occlusion||any occlusion other than centric.
71315|eccentric position||
77329|eccentric relation||any relation of the mandible to the maxillae other than centric relation.
27644|eccentrochondroplasia|ek-sen′trō-kon′drō-plā′zē-ă|Abnormal epiphysial development from eccentric centers of ossification.
27645|eccentropiesis|ek-sen′trō-pī-ē′sis|Pressure exerted from within outward.
27646|ecchondroma|ek′kon-drō′mă|A cartilaginous neoplasm arising as an overgrowth from normally situated cartilage, as a mass protruding from the articular surface of a bone, in contrast to enchondroma.&#&An enchondroma which has burst through the shaft of a bone and become pedunculated.
27647|ecchondrosis|ek′kon-drō′sis|
27648|ecchordosis physaliphora|ek′kor-dō′sis fiz′a-li′fōr-ă|A notochordal rest (fragment of embryonic tissue) of the cranial clivus that may form a small tumor.
