31307|F||Symbol for faraday, Faraday constant, force; free energy.
31306|F||Symbol for fractional concentration, followed by subscripts indicating location and chemical species; Fahrenheit; farad; fertility; visual field; fluorine; folate; filial generation, followed by subscript numerals indicating specified matings; phenylalanine; variance ratio.&#&Abbreviation for focus1; French scale.
31308|f||Symbol for femto-; respiratory frequency; fugacity; formyl; fumarose form (usually following the symbol for the monosaccharide); function.
1679|F agent||obsolete term for F plasmid.
26203|f distribution||the distribution of the ratio of two independent quantities each of which is distributed like a variance in normally distributed samples. So named in honor of the English statistician and geneticist R.A. Fisher.
68993|F pili||
68994|F pilus||a structure responsible for attachment of individual male (F⁺) to female (F−) bacteria, forming conjugal pairs.
69449|F plasmid||the prototype conjugative plasmid associated with conjugation in the K-12 strain of Escherichia coli.
91120|F thalassemia||
99682|f wave||atrial fibrillation wave.
99681|F waves||
901|F-actin|ak′tin|the association of G-actin subunits into a fibrous (F) protein caused by an increase in salt concentration; the conversion of G-actin to F-actin is catalyzed by small concentrations of magnesium ion, is reversible, and is accompanied by the conversion of the bound ATP molecule to ADP and phosphate and the conversion of one reactive -thiol group to an unreactive form.
31309|F.A.A.N.||Abbreviation for Fellow of the American Academy of Nursing.
31310|F.A.A.O.S.||Abbreviation for Fellow of the American Academy of Orthopaedic Surgery.
31316|F.A.B.O.S.||Abbreviation for Fellow of the American Board of Orthopaedic Surgery.
31320|F.A.C.C.P.||Abbreviation for Fellow of the American College of Chest Physicians.
31321|F.A.C.D.||Abbreviation for Fellow of the American College of Dentists.
31600|F.A.C.N.M.||Abbreviation for Fellow of the American College of Nuclear Medicine.
31601|F.A.C.N.P.||Abbreviation for Fellow of the American College of Nuclear Physicians.
31602|F.A.C.O.G.||Abbreviation for Fellow of the American College of Obstetricians and Gynecologists.
31603|F.A.C.P.||Abbreviation for Fellow of the American College of Physicians or Fellow of the American College of Prosthodontists.
31604|F.A.C.R.||Abbreviation for Fellow of the American College of Radiology.
31606|F.A.C.S.||Abbreviation for Fellow of the American College of Surgeons.
31607|F.A.C.S.M.||Abbreviation for Fellow of the American College of Sports Medicine.
31845|F.A.G.D.||Fellow of the Academy of General Dentistry.
32371|F.C.A.P.||Abbreviation for Fellow of the College of American Pathologists.
32372|F.C.C.P.||Abbreviation for Fellow of the College of Chest Physicians.
32814|F.F.R.||Abbreviation for Fellow of the Faculty of Radiologists (United Kingdom).
33247|F.I.C.D.||Fellow of the International College of Dentists.
35263|F.R.A.C.P.||Abbreviation for Fellow of the Royal Australasian College of Physicians.
35460|F.R.C.P.||Abbreviation for Fellow of the Royal College of Physicians (of England).
35461|F.R.C.P.(C)||Abbreviation for Fellow of the Royal College of Physicians (Canada).
35462|F.R.C.P.(E)||Abbreviation for Fellow of the Royal College of Physicians (Edinburgh).
35463|F.R.C.P.(I)||Abbreviation for Fellow of the Royal College of Physicians (Ireland).
35464|F.R.C.S.||Abbreviation for Fellow of the Royal College of Surgeons (of England).
35465|F.R.C.S.(C)||Abbreviation for Fellow of the Royal College of Surgeons (Canada).
35466|F.R.C.S.(E)||Abbreviation for Fellow of the Royal College of Surgeons (Edinburgh).
35467|F.R.C.S.(I)||Abbreviation for Fellow of the Royal College of Surgeons (Ireland).
35612|F.R.S.||Abbreviation for Fellow of the Royal Society.
35613|F.R.S.C.||Abbreviation for Fellow of the Royal Society (Canada).
35650|F/U||Abbreviation for follow-up.
98842|FA virus||a strain of mouse encephalomyelitis virus.
31909|Fañanás|fah-nyah′nahs|J., Spanish physician.
15596|Fañanás cell|fah-nyah′nahs|a specialized astrocyte found in the cerebellar cortex.
31312|Fab||
31311|FAB||Abbreviation for French-American-British (classification of acute leukemias).
18028|FAB classification||French-American-British classification of acute leukemias based on the study of microscopic features and cytochemistry of blast cells; it subdivides acute myelogenous leukemias into 8 groups (M₀–M₇) and acute lymphoblastic leukemias into 3 groups (L₁–L₃); widely used in clinical practice.
35410|Fab fragment||the antigen-binding fragment of an immunoglobulin molecule, containing the variable regions of both light and heavy chains.
68906|Fab piece||
31313|fabella|fă-bel′lă|A sesamoid bone in the tendon of the lateral head of the gastrocnemius muscle.
31314|Faber|fah′bĕr|Knud H., Danish physician, 1862–1956.
3630|Faber anemia|fah′bĕr|
87958|Faber syndrome|fah′bĕr|
90498|FABER test||acronym for flexion, abduction, external rotation.
90499|FABERE test||acronym for flexion, abduction, external rotation; extension.
31315|fabism|fā′bizm|
31317|fabrication|fab′ri-kā′shŭn|Telling false tales as true; the malingering of symptoms or illness or feigning an incorrect response or calculation during a psychological or mental status examination.
31318|Fabricius|fă-bris′iē-us|Girolamo (Hieronymus ab Aquapendente), Italian anatomist and embryologist, 1537–1619.
31319|Fabry|fah′brē|Johannes, German dermatologist, 1860–1930.
25465|Fabry disease|fah′brē|disease due to deficiency of α-galactosidase and characterized by abnormal accumulations of neutral glycolipids (globotriaosylceramide) in endothelial cells in blood vessel walls. Clinical findings include angiokeratomas on the thighs, buttocks, and genitalia; hypohidrosis; paresthesia in the extremities, cornea verticillata, and spokelike posterior subcapsular cataracts. Death results from renal, cardiac, or cerebrovascular complications; X-linked recessive inheritance caused by mutation of the α-galactosidase gene (GLA) on Xq.
31322|face|fās|The front portion of the head; the visage, including eyes, nose, mouth, forehead, cheeks, and chin; excludes ears.
34820|face form||the outline form of the face;&#&the outline form of the face from an anterior view.
66476|face peel||removal of epidermis and varying amounts of dermis by chemical trichloroacetic acid, phenol, croton oil, or other agents and/or mechanical agents (microderm abrasion) in order to improve rhytides, dyschromias, or scars; or involving use of chemotherapeutic agents (5-fluorouracil) to facilitate healing of dysplasias and actinic keratoses.
71934|face presentation||
77154|face region||the topographic subdivisions of the face, including nasal, oral, mental, orbital, infraorbital, buccal, parotid, and zygomatic.
90241|face tent||
96622|face validity||the extent to which the items of a test or procedure appear superficially to sample that which is to be measured.
