35870|G||Abbreviation or symbol for gravitational units, under unit; gap3; gauss; giga-; d-glucose, as in UDPG; guanosine, as in GDP; glycine; guanine.
35876|g||Unit of acceleration based on the acceleration produced by the earth's gravitational attraction, where 1 g = 980.621 cm/sec² (about 32.1725 ft/sec²) at sea level and 45° latitude. At 30° latitude, g equals 979.329 cm/sec².
35875|g||Abbreviation for gram; gaseous state.
35874|G||Symbol for newtonian constant of gravitation; Gibbs free energy; Gₐcₜ or G‡, Gibbs energy of activation; conductance.
4865|G antigen||an antigenic glycoprotein frequently associated with viral surfaces.
15613|G cells||enteroendocrine cells that secrete gastrin, found primarily in the mucosa of the pyloric antrum of the stomach.
31681|G factor||the single common variance or factor that is common to (empirically intercorrelates with) different intelligence tests (general);&#&a substance required for the growth of a specific organism.
34704|G force||inertial force produced by accelerations or gravity, expressed in gravitational units; one G is equal to the pull of gravity at the earth's surface at sea level and 45° north latitude (32.1725 ft/sec²; 980.621 cm/sec²).
25519|G protein diseases||a widely variant group of diseases resultant from mutations in G proteins; these include endocrine adenomas, cholera, and nightblindness.
72979|G proteins||intracellular membrane-associated proteins activated by several (β-adrenergic) receptors; they serve as second messengers or transducers of the receptor-initiated response to intracellular elements such as enzymes to initiate an effect. These proteins have a high affinity for guanine nucleotides and hence are named G proteins.
88008|G syndrome||a syndrome of characteristic facies associated with hypospadias, ventral curvature of the penis, and dysphagia. Apparently the same as the BBB syndrome of Opritz et al. Autosomal dominant inheritance.
95700|G unit of streptomycin||
902|G-actin||the globular (G) subunit of the actin molecule, having a molecular weight 42 kD; it is soluble in dilute salt, polymerizing to F-actin when the ionic strength is increased.
36550|G-banding|band′ing|
84362|G-banding stain||a chromosome-staining technique used in human cytogenetics to identify individual chromosomes, which produces characteristic bands; it utilizes acetic acid fixation, air drying, denaturing chromosomes mildly with proteolytic enzymes, salts, heat, detergents, or urea, and finally Giemsa stain; chromosome bands appear similar to those fluorochromed by Q-banding stain.
36555|G-CSF||Abbreviation for granulocyte colony-stimulating factor.
72980|G-protein||
38669|G-strophanthin|strō-fan′thin|
38671|g-tolerance|tol′ĕr-ants|The tolerance of a person or a piece of equipment to forces that develop as a result of acceleration or deceleration.
35871|G0||Symbol for gap(null)period.
35872|G1||Symbol for gap(null)period.
35873|G2||Symbol for gap(null)period.
36265|GM₁ gangliosidosis||three forms exist: infantile, generalized; juvenile; and adult; gangliosidosis characterized by accumulation of a specific monosialoganglioside, GM₁; due to deficiency of GM₁-β-galactosidase.
36266|GM₂ gangliosidosis||one of the hereditary metabolic disorders; several forms exist, including Tay-Sachs disease, Sandhoff disease, AB variant, and adult onset; characterized by accumulation of a specific metabolite, GM₂ ganglioside, due to deficiency of hexosaminidase A or B, or GM₂ activator factor.
35877|Ga||Symbol for gallium, preceded by superscript, it indicates an isotope.
35880|GABA||Abbreviation for γ-aminobutyric acid.
66246|GABA pathway||
35881|GABA-ergic|gab-ă-ĕr′jik|
35882|gabaergic|gab-ă-ĕr′jik|
35883|gabanergic|gab-ă-nĕr′jik|Pertaining to the action of gamma aminobutyric acid (GABA) or to neural or metabolic pathways in which it functions as a transmitter.
95419|Gaboon ulcer||a form of tropical ulcer affecting the residents of this region; it resembles a syphilitic ulcer, especially in the appearance of its scar.
35884|GAD||Abbreviation for glutamate decarboxylase; generalized anxiety disorder.
35885|Gaddum|gad′ŭm|John H., English pharmacologist, 1900–1965.
90528|Gaddum and Schild test|gad′ŭm shild|a sensitive method for identification of epinephrine in tissue or other material, based on the fluorescence of epinephrine exposed to ultraviolet light in the presence of alkali and oxygen; sensitivity ranges from 1:50,000,000 to 1:100,000,000.
35886|gadfly|gad′flī|
35887|gadodiamide|gad′ō-dī′ă-mid|A nonionic structural analog of gadolinium DPTA; used as a paramagnetic contrast medium in magnetic resonance imaging.
35888|gadoleic acid|gad′ō-lē′ik as′id|A cis-unsaturated fatty acid from cod liver oil and other sources.
35889|gadolinium (Gd)|gad′ō-lin′ē-ŭm|An element of the lanthanide group, atomic no. 64, atomic wt. 157.2&#&The paramagnetic properties of this element are used in contrast media for magnetic resonance imaging.
35890|gadopentetate|gad′ō-pen′tĕ-tāt|the methylglucamine salt of dianionic gadolinium DPTA, an acyclic chelate; used as a paramagnetic contrast medium in magnetic resonance imaging.
35891|gadoteridol|gad′ō-ter′i-dol|A nonionic macrocyclic analogue of gadolinium DOTA; used as a paramagnetic contrast medium in magnetic resonance imaging.
35892|Gaenslen|genz′lĕn|Frederick J., U.S. surgeon, 1877–1937.
81910|Gaenslen sign|genz′lĕn|pain on hyperextension of the hip with pelvis fixed by flexion of opposite hip; causes a torsion stress at the sacroiliac and lumbosacral joints.
35893|Gaffky|gahf′kē|Georg T.A., German hygienist, 1850–1918.
79816|Gaffky scale|gahf′kē|
89473|Gaffky table|gahf′kē|a numeric rating for the classification of tuberculosis according to the number of tubercle bacilli in the sputum, ranging from 1 (1–4 organisms in the whole preparation) to 9 (an average of 100 per field).
35894|GAG||Abbreviation for glycosaminoglycan.
35895|gag|gag|To retch; to cause to retch or heave.&#&To prevent from talking.&#&An instrument adjusted between the teeth to keep the mouth from closing during operations in the mouth or throat.
76772|gag reflex||contact of a foreign body with the mucous membrane of the fauces causes retching or gagging.
35897|gage|gāj|Variant spelling of gauge.
35898|gain|gān|Profit; advantage.&#&The ratio of output to input of an amplifying system, generally expressed in decibels in ultrasound.
35904|Gairdner|gārd′nĕr|William T., Scottish physician, 1824–1907.
25498|Gairdner disease|gārd′nĕr|attacks of cardiac distress accompanied by apprehension.
35905|Gaisböck|gīs′bŏk|Felix, German physician, 1868–1955.
88009|Gaisböck syndrome|gīs′bŏk|
35906|gait|gāt|Manner of walking.
5796|gait apraxia||apraxia for walking, accompanied by inability to make walking movements with the legs.
35928|Gal||Symbol for galactose.
