58679|N||Symbol for asparaginyl; newton; nitrogen; asparagine; asparaginyl; nucleoside; normal solution; haploid chromsome number.
58687|n||The number in a scientific study. Sample size.&#&Symbol for refractive index.
58686|n||Symbol for normal concentration.
58685|n||Symbol for nano-2; neutron reaction order.
90315|N terminus||
24960|N,N-dimethyltryptamine (DMT)|dī-meth′il-trip′tă-mēn|A psychotomimetic agent present in several South American snuffs (cohoba snuff) and in the leaves of Prestonia amazonica (family Apocynaceae). Effects are similar to those of LSD, but with more rapid onset, greater likelihood of a panic reaction, and a shorter duration (1–2 hours). It produces pronounced autonomic effects, including a marked increase in blood pressure.
556|N-acetylaspartate|as′ĕ-til-as-par′tāt|An acetylated derivative of aspartate found in the brain. Used as a marker in brain nuclear magnetic resonance and in neuroimaging.
576|N-acetylglucosamine|a-sĕ′til-glū-cōs′a-mēn|An acetylated amino sugar that is an important moiety of glycoproteins.
578|N-acetylglutamate (NAG)|a-sĕ′til-glū′tă-māt|The salt of N-acetylglutamic acid. An activator of carbamoyl phosphate synthetase I during urea synthesis; this amino acid causes a configurational change in the enzyme, thus increasing its activity. The inability to synthesize N-acetylglutamate results in a defect in urea biosynthesis.
579|N-acetylneuraminic acid (NeuAc)|a-sĕ′til-nur-a-min′ik as′id|The most common form of sialic acid in mammals.
1013|N-acylamino acid|as′il-am′i-nō as′id|An amino acid that has an acyl group attached to its amino group, as in hippuric acid (N-benzoylglycine) or phenaceturic acid.
1023|N-acylsphingosine|as′il-sfing′gō-sēn|A condensation product of an organic acid with sphingosine at the amino group of the latter compound.
2436|N-allylnormorphine|al′il-nor-mor′fēn|
14011|n-capric acid|kap′rik as′id|A fatty acid found among the hydrolysis products of fat in goat's milk, cow's milk, and other substances.
14018|n-caproic acid|kap-rō′ik as′id|A fatty acid found among the hydrolysis products of fat in butter, coconut oil, and some other substances.
14187|N-carbamoylaspartic acid|kar′bă-mō-il-as-par′tik as′id|
14190|N-carbamoylglutamate|kar′bă-mō-il-gloo-tam′ik as′id|An intermediate in the carbamoylation of ornithine to citrulline in the urea cycle; used in the treatment of patients with a deficiency of the enzyme that synthesizes N-acetylglutamate.
14257|N-carboxyanhydrides|kar-bok′sē-an-hī′drīdz|Heterocyclic derivatives of amino acids from which polypeptides may be synthesized.
14277|N-carboxyurea|kar-bok′sē-yū-rē′ă|
22992|n-decane|dek′ān|A paraffin hydrocarbon, CH₃—(CH₂)₈—CH₃.
22994|n-decanoic acid|dek′ă-nō′ik as′id|
26374|N-docosanoic acid|dō′kō-san-ō′ik as′id|
26383|N-dodecanoic acid|dō-dek′ă-nō-ik as′id|
28136|N-eicosanoic acid|ī′kō-să-nō′ik as′id|
