95370|U||Symbol for internal energy.
95369|U||Abbreviation for unit.&#&Symbol for kilurane; uranium; uridine in polymers; uracil; urinary concentration, when followed by subscripts indicating location and chemical species.
99708|U wave||a positive wave following an upright T wave of the electrocardiogram.  It is negative following an inverted T wave.
54877|u-score method||an older, simpler, but somewhat less efficient method of linkage analysis than that by maximum likelihood estimation.
95371|UA||Abbreviation for urinalysis.
95372|UARS||Abbreviation for upper airway resistance syndrome.
95373|ubihydroquinone|ū′bi-hī′drō-kwī′nōn|
95374|ubiquinol (QH₂, H₂Q)|ū′bi-kwī′nol, ū-bik′wi-nol|The reduction product of a ubiquinone.
95375|ubiquinone|ū′bi-kwī′nōn, ū-bik′wi-nōn|A 2,3-dimethoxy-5-methyl-1,4-benzoquinone with a multiprenyl side chain; a mobile component of electron transport.
95377|ubiquinone-10 (-Q₁₀)|ū′bi-kwī′nōn|2,3-dimethoxy-5-methyl-6-decaprenyl-1,4-benzoquinone.
95376|ubiquinone-6 (-Q₆)|ū′bi-kwī′nōn|2,3-dimethoxy-5-methyl-6-hexaprenyl-1,4 benzoquinone.
95378|ubiquitin|ū-bik′kwi-tin|A small (76 amino acyl residues) protein found in all cells of higher organisms and one with a structure that has changed minimally during evolutionary history; involved in at least two processes; histone modification and intracellular protein breakdown.
66255|ubiquitin-protease pathway||
89373|ubiquitin-proteasome system (UPS)||a multicomponent system that identifies and degrades unwanted proteins in the cytoplasm of all cells; involved in cell growth and differentiation, DNA replication and repair, apoptosis, and stress and immune responses.
95379|UDP||Abbreviation for uridine 5′-diphosphate.
95386|UDP-GlcUA||Abbreviation for uridine diphosphoglucuronic acid.
95380|UDP-N-acetylglucosamine:lysosomal enzyme N-acetylglucosaminyl-1-phosphotransferase|a-sē′til-glū′kō-sam′ēn-līsō-sōm′ăl en′zīm, a-sē′til-glū′kō-sam′in-il-fos|An enzyme that participates in the posttranslational modification of a number of lysosomal proteins; a deficiency or defect in this enzyme results in two forms of mucolipidoses, I-cell disease, and pseudo-Hurler polydystrophy.
95381|UDPG||Abbreviation for uridine diphosphoglucose.
95382|UDPGal||Abbreviation for uridine diphosphogalactose.
95383|UDPgalactose|gă-lak′tōs|Uridine diphosphogalactose.
95384|UDPgalactose 4-epimerase|glū′kōs ĕ-pim′ĕr-ās|
95385|UDPGlc||Abbreviation for uridine diphosphoglucose.
95387|UDPglucose|glū′kōs|
95388|UDPglucose 4-epimerase|glū′kōs ĕ-pim-ĕr′ās|An enzyme that catalyzes the reversible Walden inversion of UDPglucose to UDPgalactose; a deficiency of this enzyme is associated with one type of galactosemia.
95389|UDPglucose-hexose-1-phosphate uridylyltransferase|glū′kōs-heks′ōs-fos′fāt ū′ri-dil′il-trans′fĕr-ās|An enzyme that catalyzes the reversible reaction of α-d-glucose 1-phosphate UDPgalactose to produce UDPglucose and α-d-galactose 1-phosphate.
95391|UDPglucuronate-bilirubin glucuronosyltransferase|glū-kyū′rō-nāt-bil′i-rū′bin glū-kyū′ron-ō-sil-trans′fĕr-ās|Hepatic transferases that catalyze the transfer of the glucuronic moiety of UDP-glucuronic acid to bilirubin or bilirubin glucuronide, thus producing UDP and either bilirubin-glucoronoside or bilirubin bisglucuronoside, respectively; these bile conjugates are then secreted into the bile.
95390|UDPglucuronate-bilirubinglucuronoside glucuronosyltransferase|glū′kūr-ō-nāt bil-ē-rū′bin glū-kū-ron-o-sīd-glū-kū-ron-o-sil-tranz′fĕr-ās|
95392|UDPxylose|zī′lōs|A sugar derivative in which a pyrophosphate group links the 5′ position of uridine and the 1-position of d-xylose; formed by the decarboxylation of UDPglucuronic acid; required for the synthesis of proteoglycans; inhibits UDPglucose dehydrogenase.
95393|Uehlinger|yū′ling-gĕr|E., early 20th-century Swiss pathologist.
95394|UFA||Abbreviation for unesterified free fatty acid.
95395|Uffelmann|ūf′ĕl-mahn|Jules A.C., German physician, 1837–1894.
76322|Uffelmann reagent|ūf′ĕl-mahn|a solution prepared by adding a 2% solution of phenol in water to aqueous ferric chloride until the solution becomes violet; this turns lemon yellow in the presence of lactic acid, assumes an opaline tint in butyric acid, and is decolorized by hydrochloric acid.
95396|UFT||A 1:4 molar mixture of florafur and uracil.
95397|UGI||Abbreviation for upper gastrointestinal series.
95398|UGIS||Abbreviation for upper gastrointestinal series.
95399|Uhl|yūl|Henry S.M., 20th-century U.S. internist.
4426|Uhl anomaly|yūl|right ventricular myocardial aplasia, causing a dilated, thin-walled right ventricle without murmurs; death results in early childhood.
95400|Uhthoff|ut′hof|Wilhelm, German ophthalmologist, 1853–1927.
82084|Uhthoff sign|ut′hof|
87458|Uhthoff symptom|ut′hof|a transient temperature-dependent numbness, weakness, or loss of vision. Conduction stops in any nerve if the temperature becomes too elevated. In a damaged nerve, by demyelinization, this shutdown temperature is lowered, and may approach normal body temperature. Transient neurologic dysfunction may then appear with a hot shower, exercise, or fever.
88977|Uhthoff syndrome|ut′hof|
88334|Uhthoff syndrome|ut′hof|
95401|UIP||Abbreviation for usual interstitial pneumonia of Liebow.
95402|ukambin|ū-kam′bin|An African arrow poison from plants of the family Apocynaceae; a heart poison resembling digitalis or strophanthus in its action.
95403|ulcer|ŭl′sĕr|A lesion through the skin or a mucous membrane resulting from loss of tissue, usually with inflammation.
95469|ulcerate|ŭl′sĕr-āt|To form an ulcer.
95470|ulcerated|ŭl′sĕr-āt′ĕd|Having undergone ulceration.
95471|ulceration|ŭl′sĕr-ā′shŭn|The formation of an ulcer.&#&An ulcer or aggregation of ulcers.
95473|ulcerative|ŭl′sĕr-ă-tiv|Relating to, causing, or marked by an ulcer or ulcers.
