MS-DRG 	FY 2010 Final Rule Post-Acute DRG	FY 2010 Final Rule Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights	Geometric mean LOS	Arithmetic mean LOS
001	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC	24.8548	31.5	43.9
002	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC	11.754	16.4	21.2
003	Yes	No	PRE	SURG	"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R."	18.2667	31.6	38.5
004	Yes	No	PRE	SURG	"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R."	11.1941	22.9	28.2
005	No	No	PRE	SURG	LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT	10.1358	14.9	20.3
006	No	No	PRE	SURG	LIVER TRANSPLANT W/O MCC	4.7569	8.3	9.2
007	No	No	PRE	SURG	LUNG TRANSPLANT	9.4543	15.6	18.6
008	No	No	PRE	SURG	SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT	5.0615	10.4	12.3
009	No	No	PRE	SURG	BONE MARROW TRANSPLANT	6.5419	17.7	21.3
010	No	No	PRE	SURG	PANCREAS TRANSPLANT	4.2752	8.9	10.0
011	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC"	4.7341	12.7	16.3
012	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC"	3.0306	8.8	10.5
013	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC"	1.8643	5.7	6.9
020	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC	8.4392	14.8	18.3
021	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC	6.2068	12.2	14.4
022	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC	4.3765	7.4	8.9
023	No	No	01	SURG	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT	4.9401	8.5	12.1
024	No	No	01	SURG	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC	3.2566	5.7	8.0
025	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC	4.8236	9.4	12.1
026	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC	2.9421	6.1	7.7
027	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC	2.0902	3.1	4.1
028	Yes	Yes	01	SURG	SPINAL PROCEDURES W MCC	5.109	10.2	13.4
029	Yes	Yes	01	SURG	SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS	2.7768	4.8	6.7
030	Yes	Yes	01	SURG	SPINAL PROCEDURES W/O CC/MCC	1.6019	2.7	3.5
031	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W MCC	4.5341	9.0	13.2
032	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W CC	1.9186	3.7	5.5
033	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W/O CC/MCC	1.3331	2.2	2.8
034	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W MCC	3.19	4.4	6.9
035	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W CC	2.0165	2.0	2.9
036	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W/O CC/MCC	1.5744	1.3	1.6
037	No	No	01	SURG	EXTRACRANIAL PROCEDURES W MCC	2.919	5.7	8.3
038	No	No	01	SURG	EXTRACRANIAL PROCEDURES W CC	1.4783	2.4	3.4
039	No	No	01	SURG	EXTRACRANIAL PROCEDURES W/O CC/MCC	1.0033	1.4	1.7
040	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC	3.9518	9.4	12.9
041	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM	2.1249	5.2	7.0
042	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC	1.6448	2.4	3.3
052	No	No	01	MED	SPINAL DISORDERS & INJURIES W CC/MCC	1.4836	4.5	6.3
053	No	No	01	MED	SPINAL DISORDERS & INJURIES W/O CC/MCC	0.8382	3.1	4.0
054	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS W MCC	1.5637	5.0	6.8
055	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS W/O MCC	1.0613	3.6	4.9
056	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC	1.6952	5.7	7.7
