9059|b||As a subscript, refers to blood.&#&Abbreviation for bis [L.], twice; barn.
9058|B||Symbol for boron; for aspartic acid or asparagine when it is unclear which of the two amino acids is present; for bromouridine; second substrate in a multisubstrate enzyme-catalyzed reaction.&#&As a subscript, refers to barometric pressure.
10176|B bile||bile from the gallbladder.
15489|B cell||β cell of pancreas or of anterior lobe of hypophysis;
76366|B cell receptors||a complex comprising a membrane-bound immunoglobulin molecule and two associated signal-transducing α and β chains.
16421|B chain||the longer polypeptide component of insulin containing 30 amino acyl residues, beginning with a phenylalanyl residue (NH₂-terminus); insulin consists of a B chain linked to an A chain by two disulfide bonds; the amino acid composition of the B chain is a function of species;&#&the light chain of an immunoglobulin.
32837|B fibers||myelinated fibers autonomic nerves, with a diameter of 2 mcm or less, conducting at a rate of 3–15 meters per second.
51896|B lymphocyte||an immunologically important lymphocyte that is not thymus dependent, is short-lived, and resembles the bursa-derived lymphocyte of birds in that it is responsible for the production of immunoglobulins; it is the precursor of the plasma cell and expresses surface immunoglobulins (SIGS) but does not release them. It does not play a direct role in cell-mediated immunity. B lymphocyte can be characterized immunophenotypically by CD19 surface markers.
98755|B virus||
99670|B wave||the initial positive deflection in the electroretinogram, possibly arising from the inner nuclear layer of the retina.
20423|B-cell coreceptor||a complex of three proteins associated with the B-cell receptor (CR2, CD19, and TAPA-1).
31636|B-cell differentiating factor||
31637|B-cell differentiation/growth factors||various substances, usually obtained from the supernatant of T-cell cultures, such as interleukins-4, -5, and -&#&These substances are necessary for B-cell growth, maturation, and differentiation into plasma cells or B-memory cells.
31638|B-cell stimulatory factor 2||
23752|B-DNA||a form of DNA in which the helix is right-handed and the overall appearance is long and thin.
3060|B-E amputation||abbreviation for below-the-elbow amputation.
3062|B-K amputation||abbreviation for below-the-knee amputation.
10861|B-mode|mōd|A two-dimensional diagnostic ultrasound presentation of echo-producing interfaces; the intensity of the echo is represented by modulation of the brightness of the spot, and the position of the echo is determined from the angular position of the transducer and the transit time of the acoustical pulse and its echo.
66761|B-type natriuretic peptide (BNP)||cardiac neurohormone secreted by the left ventricle in response to elevated volume and pressure, leading to dilated blood vessels and sodium and water loss.
9779|B.D.S.||Abbreviation for Bachelor of Dental Surgery.
9780|B.D.Sc.||Abbreviation for Bachelor of Dental Science.
10118|b.i.d.||Abbreviation for L. bis in die, twice a day.
11628|b.p.||Abbreviation for boiling point; base pair.
98756|B19 virus||a human parvovirus associated with arthritis and arthralgia and a number of specific clinical entities, including erythema infectiosum and aplastic crisis in the presence of hemolytic anemia.
81822|B6 bronchus sign||in lung radiology, appearance of an air bronchogram of the superior segmental bronchus of the lower lobe because of segmental atelectasis or consolidation.
31634|BT factor||
9060|Ba||Symbol for barium.
9063|Babès|bah′besh|Victor, Roumanian bacteriologist, 1854–1926.
60628|Babès nodes|bah′besh|collections of lymphocytes in the central nervous system found in rabies.
9061|Babbitt|bab′it|Isaac, U.S. inventor, 1799–1862.
54591|Babbitt metal|bab′it|an alloy of antimony, copper, and tin; used occasionally in dentistry.
9062|Babcock|bab′kok|Stephen M., U.S. chemist, 1843–1931.
94367|Babcock tube|bab′kok|a tube in which milk, after treatment with sulfuric acid, is centrifuged and its fat content then determined in a graduated neck.
9064|Babesia|bă-bē′zē-ă|The economically most important genus of the protozoan family Babesiidae; characterized by multiplication in host red blood cells to form pairs and tetrads; it causes babesiosis (piroplasmosis) in most types of domestic animals, and two species cause disease in splenectomized or normal people; vectors are ixodid or argasid ticks.
9065|Babesia divergens||the cause of bovine babesiosis in western and central Europe; vector tick is Ixodes ricinus; it has caused human babesiosis in splenectomized patients in Europe; also found in reindeer.
9066|Babesia microti||a malarialike protozoan naturally parasitizing certain rodents (Peromyscus and Microtus spp.) in North America; human cases have been reported in the U.S. The local tick vector is Ixodes scapularis, the numbers and infection levels of which have greatly increased in recent years with the increase in the deer population, which serves as an abundant blood source for I. scapularis.
9067|Babesiella|bă-bē′zē-el′ă|
9068|Babesiidae|ba′bē-zī′i-dē, -zē′i-dē|A family of protozoan parasites (class Sporozoea, order Piroplasmida) occurring in the red blood cells of various mammals. The organisms, which are piriform, round, or oval, reproduce by schizogony to form tetrads or by binary fission to form pairs in the red blood cells; transmission is effected by ticks. The family includes the genera Babesia, Echinozoon, and Entopolypoides; Aegyptianella, formerly included, is now thought to be a rickettsia.
