22762|d||Symbol for day; for deci-; deuteron; diameter.
22760|D||Symbol for the vitamin D potency of cod liver oil, multiples of which (5D, 100D) are used to designate the vitamin D potency of irradiated ergosterol (viosterol) or other substances. Also, symbol for deuterium; dihydrouridine in nucleic acids; diffusing capacity; aspartic acid; diffusion coefficient (in italics).&#&In optics, abbreviation for diopter, or dexter (L. right).&#&In electrodiagnosis, abbreviation for duration, the current that is flowing and the circuit that is being closed.&#&In dental formulas, abbreviation for deciduous2.&#&As a subscript, refers to dead space.&#&D line in Na emission spectra.
4856|D antigen||one of 6 antigens that comprise the Rh locus. Antibody induced by D antigen is the most frequent cause of hemolytic disease of the newborn.
15558|D cell||
29555|D enzyme||
51303|D loop||a structure in replicating circular DNA.
99675|D wave||a positive or negative deflection in the electroretinogram occurring when a light stimulus is removed (off-response).
22908|D&C||Abbreviation for dilatation and curettage.
22916|D&E||Abbreviation for dilatation and evacuation; dilation and extraction.
22865|d'Arcet|dahr-sā′|Jean, French chemist, 1725–1801.
54594|d'Arcet metal|dahr-sā′|an alloy of lead, bismuth, and tin; used in dentistry.
22871|d'Arsonval|dahr-sahn-vahl′|Jacques Arsène, French biophysicist, 1851–1940.
21948|d'Arsonval current|dahr′sahn-vahl′|
36033|d'Arsonval galvanometer|dahr-sahn-vahl′|a sensitive galvanometer consisting of a moving coil suspended in a permanent magnetic field between delicate metallic wires or ribbons that serve as both torsion springs and conductors; a mirror on the coil deflects a beam of light along the scale.
24094|d'Espine|dā-pēn′|Jean H.A., French physician, 1846–1930.
81881|d'Espine sign|des-pēn′|bronchophony over the spinous processes heard, at a lower level than in health, in pulmonary tuberculosis;&#&an echoed whisper following a spoken word, heard in the stethoscope placed over the seventh cervical or first or second dorsal spine, in cases of tuberculosis of the mediastinal glands.
24303|d'Herelle|dĕ-rel′|Felix H., Canadian physician and bacteriologist, 1873–1949.
67928|d'Herelle phenomenon|dĕ-rel′|
26373|d'Ocagne|dō-kāyn′|Philbert M., French mathematician, 1862–1938.
60948|d'Ocagne nomogram|dō-kan[h]′yĕ|an alignment chart consisting of an arrangement of three or more graduated lines (straight or curved), each constituting a scale of values of a variable, constructed so that any straight line crossing these scales connects the simultaneously compatible values; from values for any two variables, the values of all other variables can be determined.
2835|d(-)-α-aminobenzylpenicillin|ă-mē-nō-ben′zil-pen′i-sil′in|
22764|d-||Prefix indicating that a chemical compound is sterically related to d-glyceraldehyde, the basis of stereochemical nomenclature.
22763|d-||Prefix indicating a chemical compound to be dextrorotatory; should be avoided when (+) or (−) could be used.
42066|d-3-hydroxybutyric acid dehydrogenase||an enzyme that reversibly catalyzes the interconversion of the two main ketone bodies, catalyzing acetoacetate + NADH + H⁺ ⇄ d-3-hydroxybutyrate + NAD⁺.
40475|d-altro-2-heptulose|al′trō hep′tū-lōs|
22845|d-amphetamine phosphate|am-fet′ă-mēn fos′fāt|
2963|d-amphetamine sulfate|am-fet′ă-mēn sŭl′fāt|
5863|d-arabino-2-hexulose||
24812|d-digitoxose|dij′i-toks′ōs|The carbohydrate moiety found in digitalis glycosides; 2,6-dideoxy-d-ribo-hexose.
