43229|i||Symbol for iso-.
43228|I||Abbreviation for intensity of electrical current, expressed in amperes.
43227|I||Symbol for iodine (a superscript number before the letter designates an isotope); luminous intensity or radiant intensity; ionic strength (in mol/L); isoleucine; inosine.&#&As a subscript, symbol for inspired gas.&#&Designation for I blood group.
4892|I antigens||antigens expressed on antigen-presenting cells in laboratory animal species; determine immune responses. They are analogous to MCH II class antigens in humans.
9381|I band||a light band on each side of the Z line of striated muscle fibers, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments.
15660|I cell||a cultured skin fibroblast containing membrane-bound inclusions; characteristic of mucolipidosis II.
25178|I disc||
68995|I pili||
77168|I region||that area of the H-2 complex of mice that contains Class II major histocompatibility complex genes.
25566|I-cell disease||
46104|I-V||Abbreviation for intraventricular.
46106|I.V.||Abbreviation for intravenous; intravenously.
43231|IADL||Abbreviation for instrumental activities of daily living.
43232|IAHS||Abbreviation for infection-associated hemophagocytic syndrome.
43233|IANC||Abbreviation for International Anatomical Nomenclature Committee.
43234|IAP||Abbreviation for intermittent acute porphyria.
43236|iatraliptics|ī′ă-tră-lip′tiks|Method of treatment by inunction.
43237|iatric|ī-at′rik|Pertaining to medicine or to a physician or healer.
43238|iatro-|ī′ă-trō|Physicians, medicine, treatment.
43239|iatrochemical|ī-at′rō-kem′i-kăl|Denoting a school of medicine practicing iatrochemistry.
43240|iatrochemist|ī-at′rō-kem′ist|A member of the iatrochemical school.
43241|iatrochemistry|ī-at′rō-kem′is-trē|The study of chemistry in relation to physiologic and pathologic processes, and the treatment of disease by chemical substance as practiced by a school of medical thought in the 17th century.
43242|iatrogenic|ī-at′rō-jen′ik|Denoting response to medical or surgical treatment, usually denotes unfavorable responses.
54742|iatrogenic methemoglobinemia||methemoglobinemia brought about deliberately by a therapy to induce it, usually with amyl nitrate, as an interim state that prevents more ominous hemoglobinopathies, particularly in cases of cyanide poisoning, and may allow rescue of the patient in a multistep therapeutic process.
70454|iatrogenic pneumothorax||pneumothorax caused by a medical procedure, most often central venous catheter insertion, thoracentesis, or transbronchial and transthoracic lung biopsy.
93322|iatrogenic transmission||infectious agents transmitted to patients due to medical interference, such as transmission by contaminated needles.
43243|iatrology|ī′a-trol′ō-jē|Rarely used term for medical science.
43244|iatromathematical|ī-at′rō-math′ĕ-mat′i-kăl|
80091|iatromathematical school||a group of academicians, of whom Descartes was one of the foremost proponents, who maintained that all physiologic processes were the result of physical laws.
43245|iatromechanical|ī-at′rō-mĕ-kan′i-kăl|
43246|iatrophysical|ī-at′rō-fiz′i-kăl|Denoting a school of medical thought in the 17th century that explained all physiologic and pathologic phenomena by the laws of physics.
43247|iatrophysicist|ī-at′rō-fiz′i-sist|A member of the iatrophysical school.
43248|iatrophysics|ī-at′rō-fiz′iks|Physics as applied to medicine.
43249|iatrotechnique|ī-at′rō-tek-nēk′|Rarely used term for the art of medicine and surgery; the technique or mode of application of medical science.
43250|IBC||Abbreviation for iron-binding capacity.
43251|IBD||Abbreviation for inflammatory bowel disease.
43252|ibogaine|ī′bō-gă-ēn|Indole alkaloid of the iboga group. Obtained from several parts of the African shrub Tabernanthe iboga (family Apocynaceae). Used by African hunters to arrest movement of the hunter; hallucinogenic, antidepressant, and euphoric.
43253|ibotenic acid|ī′bō-ten′ik as′id|Chemical similar to kainic acid extracted from poisonous mushroom species Amanita muscaria and A. pantherina (family Agaricaceae). It exhibits substantial neuroexcitatory properties and is used in neuropharmacologic research.
