61999|O||Symbol for oxygen; orotidine.&#&Abbreviation for opening (in formulas for electrical reactions).&#&An abbreviation derived from the German phrase ohne Hauch (without film), used as a designation for: antigens that occur in the bacterial cell, in contrast to those in the flagella; specific antibodies for such somatic antigens; the agglutinative reaction between somatic antigen and its antibody.
1744|O agglutinin||an agglutinin that is formed as the result of stimulation by, and that reacts with, the relatively thermostable antigen(s) that are part of the cell wall of certain microorganisms;
4917|O antigen||somatic antigen of enteric gram-negative bacteria. External part of cell wall lipopolysaccharide;
19042|O colony||growth of a nonmotile bacterium in discrete, compact colonies in contrast to a film of growth produced by some motile bacteria.
81504|O shell||the outermost shell of electrons, so called because displacement of electrons causes an emission in the visible or optic range.
62012|O'Beirne|ō-bārn|James, Irish surgeon, 1786–1862.
83591|O'Beirne sphincter|ō-bārn|
96714|O'Beirne valve|ō-bārn|
62284|O'Dwyer|ō-dwī′ĕr|Joseph P., U.S. physician, 1841–1898.
94406|O'Dwyer tube|ō-dwī′ĕr|a metal tube formerly used for intubation of the larynx in diphtheria.
62323|O'Hara|ō-har′ă|Michael, Jr., U.S. surgeon, 1869–1926.
34764|O'Hara forceps|ō-har′ă|two slender clamp forceps held together by a serrefine, once used in intestinal anastomosis; now obsolete.
32708|O'nyong-nyong fever||a denguelike disease caused by O'nyong-nyong virus, a member of the family Togaviridae, and transmitted by a mosquito, characterized by joint pains and notable lymphadenopathy followed by a maculopapular eruption of the face that extends to the trunk and extremities but fades in several days without desquamation.
98980|o'nyong-nyong virus||a virus of the genus Alphavirus, in the family Togaviridae, found in Uganda, Kenya, and the Republic of Congo, which causes o'nyong-nyong fever.
62004|o-||In chemistry, the abbreviation for ortho- (2).
16013|O-(triethylaminoethyl) cellulose||
558|O-acetylcarnitine|a-sĕ′til-kar′ni-tēn|The acetyl derivative of carnitine formed by carnitine acetyltransferase. Facilitates acetyl transport into the mitochondria and is an important fuel source for sperm.
1015|O-acylcarnitine|as′il-kar′ni-tēn|Condensation product of a carboxylic acid and carnitine; the transport form for a fatty acid crossing the inner mitochondrial membrane.
2833|o-aminobenzoic acid|ă-mē′nō-ben-zō′ik as′id|
16886|o-chlorobenzalmalononitrile|klōr′ō-ben′zal-ma-lon′ō-nī′trīl|A strong lacrimator that is an ingredient in chemical agents used in riot control.
16009|O-diethylaminoethyl cellulose||cellulose to which diethylaminoethyl groups have been attached; used in anion-exchange chromatography.
25021|o-diphenolase|dī-fen′ō-lās|
68499|O-phosphono-||Prefix indicating a phosphonic acid radical (–PO₃H₂) attached through an oxygen atom, hence a phosphoric ester.
68556|O-phosphoserine|fos′fō-ser′ēn|The phosphoric ester of serine; found as a constituent in many proteins (phosphorylase a and phosvitin).
68725|o-phthalaldehyde|thal-al′dĕ-hīd|A reagent used in the identification and the detection of amino acid.
89338|O-R system||abbreviation for oxidation-reduction system.
86173|O-succinylhomoserine (thiol)-lyase|sŭk′si-nil-hō′mō-ser′ēn thī′ōl-lī′ās|An enzyme catalyzing the reaction between cystathionine and succinate to form l-cysteine and O-succinyl-l-homoserine.
62220|o.d.||Abbreviation for L. omni die, every day.
62219|O.D.||Abbreviation for L. oculus dexter, right eye.&#&Abbreviation for Doctor of Optometry.
64012|O.U.||Abbreviation for Latin oculus uterque, each eye or both eyes.
62005|OA||Abbreviation for occipitoanterior position.
62006|OAC||Abbreviation for oculoauriculovertebral dysplasia (syndrome).
62007|OAE||Abbreviation for otoacoustic emission.
62008|oak apple|ōk ap′ĕl|
62009|oari-||Obsolete term for an ovary.
25695|oasthouse urine disease||an autosomal recessively inherited metabolic defect in the absorption of methionine that is converted by intestinal bacteria to α-hydroxybutyric acid; characterized by diarrhea, tachypnea, and marked urinary excretion of α-hydroxybutyric acid (causing an odor like that of an oasthouse).
15766|oat cell||
14370|oat cell carcinoma||
62010|oath|ōth|A solemn affirmation or attestation.
1611|oatmeal-tomato paste agar||a special culture medium for the production of ascospore formation in the dermatophytes.
88613|OAV syndrome||
62011|OB||Abbreviation for obstetrics.
73017|OB protein||
62031|OB/GYN||Abbreviation for obstetrics and gynecology.
62013|obeliac|ō-bē′lē-ak|Relating to the obelion.
62014|obeliad|ō-bē′lē-ad|Toward the obelion.
62015|obelion|ō-bē′lē-on|A craniometric point on the sagittal suture between the parietal foramina near the lambdoid suture.
90695|Ober test|ō′bĕr|test to evaluate a tight, contracted, or inflamed iliotibial tract; the patient lies on the uninvolved side and the involved hip is abducted by the examiner as the knee is flexed to 90 degrees; the hip is allowed to adduct passively; the degree of abduction or the production of pain along the iliotibial tract can assist in identifying the location of the inflammation or contracture.
62016|Obermayer|ō′bĕr-mī′ĕr|Friedrich, Austrian physician, 1861–1925.
90696|Obermayer test|ō′bĕr-mā-ĕr|a test for indican; solids in the urine are precipitated by means of a 20% solution of acetate of lead and then filtered, and to the filtrate is added fuming hydrochloric acid containing a small amount of ferric chloride solution; if indican is present, the addition of chloroform causes the formation of indigo, indicated by the blue color.
62017|Obermeier|ō′bĕr-mī′ĕr|Otto H.F., German physician, 1843–1873.
83823|Obermeier spirillum|ō′bĕr-mī-ĕr|
62018|Obersteiner|ō′bĕr-stī′nĕr|Heinrich, Austrian neurologist, 1847–1922.
50456|Obersteiner-Redlich line|ō′bĕr-stī-nĕr red′lik|
100503|Obersteiner-Redlich zone|ō′bĕr-stī-nĕr red′lik|the narrow line along the course of a nerve (or nerve root) where the Schwann cells and connective tissue that support its axons are replaced by glia cells. The zone marks the true boundary between the central and the peripheral nervous system. Usually located at or near the surface of the spinal cord or brainstem, it can extend (in the eighth cranial nerve) several millimeters out along the nerve.
62019|obese|ō-bēs′|Excessively fat.
62020|obesity|ō-bē′si-tē|An excess of subcutaneous fat in proportion to lean body mass. Excess fat accumulation is associated with increase in the size (hypertrophy) as well as the number (hyperplasia) of adipose tissue cells. Obesity is variously defined in terms of absolute weight, weight:height ratio, distribution of subcutaneous fat, and societal and esthetic norms. Measures of weight in proportion to height include relative weight (RW, body weight divided by median desirable weight for a person of the same height and medium frame according to actuarial tables), body mass index (BMI, kg/m²) and ponderal index (kg/m³). These do not differentiate between excess adiposity and increased lean body mass. In contrast, subscapular and triceps skinfold measurements and determination of the waist:hip ratio help define the regional deposition of fat and differentiate the more medically significant central obesity from peripheral obesity in adults. No single cause can explain all cases of obesity. Ultimately it results from an imbalance between energy intake and energy expenditure. Although faulty eating habits related to failure of normal satiety feedback mechanisms may be responsible for some cases, many obese people neither consume more calories nor eat different proportions of foodstuffs than nonobese persons. Contrary to popular belief, obesity is not caused by disorders of pituitary, thyroid, or adrenal gland metabolism. However, it is often associated with hyperinsulinism and relative insulin resistance. Studies of obese twins strongly suggest the presence of genetic influences on resting metabolic rate, feeding behavior, changes in energy expenditures in response to overfeeding, lipoprotein lipase activity, and basal rate of lipolysis. Environmental factors associated with obesity include socioeconomic status, race, region of residence, season, urban living, and being part of a smaller family. The prevalence of obesity is greater when weight is measured during winter rather than summer. Obesity is much more common in the southeastern U.S., although the northeastern and midwestern states also have high rates, a phenomenon independent of race, population density, and season.
44186|obesity index||body weight divided by body volume.
62029|obex|ō′beks|The point on the midline of the posterior aspect of the medulla oblongata that marks the caudal angle of the rhomboid fossa or fourth ventricle. It corresponds to a small, transverse medullary fold overhanging the calamus scriptorius.
62030|obfuscation|ob′fus-kā′shŭn|Rendering something dark or obscure.&#&A deliberate attempt to confuse or to prevent understanding.
