64302|P||In nucleic acid terminology, symbol for phosphoric residue.&#&Symbol for pressure; partial pressure.
64300|P||Symbol for peta-; phosphorus; phosphate; phosphate; proline; product; poise; power; frequently with subscripts indicating location and/or chemical species.&#&Followed by a subscript, refers to the plasma concentration of the substance indicated by the subscript; permeability constant.&#&Symbol for probability; when followed by the sign for “less than” (<), this indicates that a test statistic, a chi-square (χ²) test, gives a result unlikely to occur by chance.
64303|p||Abbreviation for pupil; optic papilla.&#&In polynucleotide symbolism, phosphoric ester or phosphate.&#&Symbol for pico-2; the negative decadic logarithm; proton; protein; momentum (in italics).&#&In cytogenetics, symbol for the short arm of a chromosome.
4921|P antigens||
15780|P cell||a characteristic specialized cell, with probable pacemaker function, found in the sinuatrial node and A-V junction.
66318|P congenitale|kon-jen′i-tā′lē|
28406|P elements||a class of transposable elements in Drosophila responsible for hybrid dysgenesis; used as tools for introducing genes into new locations in the genome.
29575|P enzyme||
31753|P factor||
70229|P mitrale|mī-trā′lē|Broad, notched P waves in several or many leads of the electrocardiogram with a prominent late negative component to the P wave in lead V₁, presumed to be characteristic of mitral valvular disease. (Although this term is extensively used in electrocardiographic literature, it is actually a misnomer and would be more appropriately called P-sinistrocardiale, as it results from overload of the left atrium regardless of the cause and may occur independently of disease of the mitral valve.)
71662|P pulmonale|pul′mō-nā′lē|Tall, narrow, peaked P waves in electrocardiographic leads II, III, and aVF, and often a prominent initial positive P wave component in V₁, presumed to be characteristic of cor pulmonale. (Although this term is extensively used in the electrocardiographic literature, it is actually a misnomer and should be more appropriately called P-dextrocardiale, because it results from overload of the right atrium regardless of the cause, as in tricuspid stenosis, and may occur independently of cor pulmonale.) In lung disease, P pulmonale is usually transient, occurring during exacerbations, usually asthmatic.
80769|P selectin||cell surface receptor present on endothelium and stimulated platelets that is involved with neutrophil migration into inflamed tissue.
86036|P substance of Lewis|lū′is|
99692|P wave||the first complex of the electrocardiogram, during sinus and atrial rhythms, representing depolarization of the atria; if the P wave is retrograde or ectopic in axis or form, it is labeled P′.
64313|p-||Abbreviation for para- (4).
64299|P-170||
2834|p-aminobenzoic acid (PABA)|ă-mē′nō-ben-zō′ik as′id|4-aminobenzoic acid, a factor in the vitamin B complex, required for biosynthesis of folate; neutralizes the bacteriostatic effects of the sulfonamides because it furnishes an essential growth factor for bacteria; elevated concentrations of the sulfonamides interfere with use of this agent and of folates; used as an ultraviolet screen in lotions and creams. It is produced in a test of pancreatic function.
18086|p-aminohippurate clearance||a good measure of renal plasma flow, which it slightly underestimates; when a low plasma concentration of p-aminohippurate (PAH) is maintained by intravenous infusion, the kidney extracts and excretes almost all of the PAH from the plasma before it reaches the renal vein.
