99490|W||Symbol for tungsten; watt; tryptophan; tryptophanyl.
17502|W chromosome||
31834|W factor||
76007|W rays||
6045|W-arch||a fixed maxillary expansion device attached to the lingual part of the molars, with either bilateral or unilateral extension arms.
100071|W-plasty|plas′tē|Surgery to alter the direction of a malaligned scar that is oriented perpendicular to the direction of regional skin creases to relieve a bandlike contracture and improve scar quality. The edges of the scar are excised as s series of angled cuts resembling multiple Ws; closure reorients the original scar.
100072|W.r.||Abbreviation for Wassermann reaction.
99491|Waage|vah′gĕ|P., Norwegian chemist, 1833–1900.
99492|Waaler|vāl′ĕ|Erik, 20th-century Norwegian biologist.
99493|Waardenburg|vār-den′bĕrg|Petrus Johannes, Dutch ophthalmologist, 1886–1979.
89015|Waardenburg syndrome|văr-den-berg|disorder characterized by lateral displacement of inner canthi (dystopia canthorum), broad nasal root, heterochromia iridis, sensory hearing impairment, white forelock, and synophrys; autosomal dominant inheritance with type 1 distinguished from type 2 by the presence of dystopia canthorum. Types 1 and 3 are caused by mutation in the PAX3 gene on chromosome 2q, whereas some cases of type 2 are caused by mutation in the microphthalmia transcription factor gene (MITF) on 3p. Type 4 is caused by mutations of EDNB on 13q, EDN3 on 20q, or SOX10 on 22q.
88372|Waardenburg syndrome|văr-den-berg|disorder characterized by lateral displacement of inner canthi (dystopia canthorum), broad nasal root, heterochromia iridis, sensory hearing impairment, white forelock, and synophrys; autosomal dominant inheritance with type 1 distinguished from type 2 by the presence of dystopia canthorum. Types 1 and 3 are caused by mutation in the PAX3 gene on chromosome 2q, whereas some cases of type 2 are caused by mutation in the microphthalmia transcription factor gene (MITF) on 3p. Type 4 is caused by mutations of EDNB on 13q, EDN3 on 20q, or SOX10 on 22q.
36683|Waardenburg type 4 syndrome gene|vahr′den-bŭrg|mutation of gene responsible for some cases of the disorder; located on 13q22; gene encodes a protein required for development of early neural crest-derived progenitor cells.
36682|Waardenburg types 1 and 3 syndrome gene|vahr′den-bŭrg|mutations of the gene are responsible for Waardenburg types 1 and 3 syndromes; located at 2q35; gene encodes a DNA-binding protein that may regulate the expression of other genes; mutations cause neural crest-derived melanocyte deficiency.
99494|Wachendorf|vahk′en-dōrf|Eberhard J., German botanist and anatomist, 1702–1758.
54033|Wachendorf membrane|vah′ken-dōrf|
99495|Wachstein|wak-stīn′|Max, U.S. histologist and pathologist, 1905–1965.
84530|Wachstein-Meissel stain for calcium-magnesium-ATPase|wahk-stīn′mīs′el|procedure similar to Gomori nonspecific acid phosphatase stain, except that incubation is carried out with ATP as substrate at neutral pH; enzyme activity is generally demonstrated at cell membranes.
99497|Wada|wah-dah|Juhn A., 20th-century Japanese-Canadian neurologist.
90907|Wada test|wah-dah|unilateral internal carotid injection of amobarbital to determine the laterality of speech; injection on the dominant side causes transient aphasia or mutism; used prior to surgical treatment of epilepsy.
99498|wadding|wahd′ing|Carded cotton or wool in sheets, used for surgical dressing.&#&Fibrous material used in packing a firearm shell, often found in gunshot wounds inflicted at close range.
99499|Waddington|wahd-ing-tin′|Conrad H., British embryologist and geneticist, 1905–1975.
41315|waddingtonian homeostasis||
99500|waddle|wahd′ĕl|
35927|waddling gait||
99501|wafer|wā′fĕr|A thin sheet of dried flour paste used to enclose a powder. The wafer is moistened and folded over the drug, so that it can be swallowed without taste.
99502|Wagner|vahg′ner|Hans, Swiss ophthalmologist, 1905–1989.
25883|Wagner disease|vahg′nĕr|
89016|Wagner syndrome||
88373|Wagner syndrome||
88374|WAGR syndrome||acronym denoting Wilms tumor, aniridia, genitourinary malformations, and mental retardation.
89017|WAGR syndrome||acronym denoting Wilms tumor, aniridia, genitourinary malformations, and mental retardation.
99503|Wagstaffe|wag′staf|William, English surgeon, 1843–1910.
99504|waist|wāst|The portion of the trunk between the ribs and the pelvis.
75954|waist-hip ratio||ratio of the abdominal circumference at the navel to maximum hip and buttocks circumference.
21062|waiter's cramp||an occupational dystonia characterized by spasm of the back muscles and dominant arm in people who wait tables.
99505|Walcher|vălk′ĕr|Gustav A., German obstetrician, 1856–1935.
71367|Walcher position|vălk′ĕr|obsolete term for a supine position of the parturient woman, in which the lower extremities fall over the edge of the table.
99506|Waldenström|vahl′den-strēm|Jan G., Swedish hematologist, 1906–1996.
52168|Waldenström macroglobulinemia|vahld′ĕn-strum|macroglobulinemia occurring in old people, characterized by proliferation of cells resembling lymphocytes or plasma cells in the bone marrow, anemia, increased sedimentation rate, and hyperglobulinemia with a narrow peak in γ-globulin or β₂-globulin at about 19 S units. The spleen, liver, or lymph nodes are often enlarged with frequent purpura or mucosal bleeding.
74219|Waldenström purpura|vahl′den-strōrm|
89018|Waldenström syndrome|văl′den-shtrōrm|
88375|Waldenström syndrome|văl′den-shtrōrm|
90908|Waldenström test|vahl′den-strem|a test for porphobilinogen or urobilinogen in urine that uses Ehrlich diazo agent; a red color is produced if either of the two substances is present in the urine.
99507|Waldeyer|vawl′dī-er, hahrts|Heinrich W.G. von, German anatomist and pathologist, 1836–1921.
35166|Waldeyer fossae|vahl′dā-ĕr|
37263|Waldeyer glands|vahl′dā-ĕr|coil glands near the margins of the eyelids.
81484|Waldeyer sheath|vahl′dā-ĕr|the tubular space between the bladder wall and the intramural portion of the ureter as it courses obliquely through this structure; actually a space and not a true sheath.
83197|Waldeyer space|vawl′dīr|
78742|Waldeyer throat ring|văl′dī-ĕr|
